Phone1	Phone2	Surprisal	OOV_Smoothed
#>	a_#>	2.0	4.699
#>	k_#>	2.0	4.699
#>	o_#>	2.0	4.699
#>	r_#>	2.0	4.699
<#	<#_j	0.0	4.699
<#_bʲ	<#_b	0.0	4.699
<#_d	<#_d	0.0	4.699
<#_j	<#_j	0.0	4.699
<#_k	<#_k	0.0	4.699
<#_lʲ	<#_l	0.0	4.699
<#_n	<#_n	0.0	4.699
<#_r	<#_r	0.0	4.699
<#_vʲ	<#_ʋ	0.0	4.699
<#_x	<#_x	0.0	4.699
<#_ʦʲ	<#_t	0.0	4.699
a	a	1.64	4.699
a	o_̌	2.558	4.699
a	aː	3.406	4.699
a	e_̌	3.728	4.699
a	j_eː	3.728	4.699
a	-	4.143	4.699
a	aː_̌	4.143	4.699
a	e	4.143	4.699
a	o	4.143	4.699
a_#>	o_#>	0.0	4.699
a_r	r	0.0	4.699
a_ˈ	a	0.0	4.699
b	b	0.0	4.699
bʲ	b	0.0	4.699
b̥_#>	b_#>	0.0	4.699
d	d	0.0	4.699
d̥_#>	d_#>	0.0	4.699
d̥ʲ	d̥	0.0	4.699
e	a	2.248	4.699
e	j_e	2.248	4.699
e	e	2.663	4.699
e	eː	2.663	4.699
e	j_eː	2.663	4.699
e	r̩	3.248	4.699
e_ˈ	e_̂	0.737	4.699
e_ˈ	e	1.322	4.699
i	-	1.459	4.699
i	i	1.459	4.699
i	iː	1.874	4.699
i_ˈ	i	0.0	4.699
k	k	0.807	4.699
k	̌_k	1.222	4.699
k_#>	k_#>	0.0	4.699
kʲ	-	0.0	4.699
lʲ	ʎ	0.848	4.699
lʲ	l	1.17	4.699
lʲ_#>	ʎ_#>	0.0	4.699
m	m	0.0	4.699
m_#>	m_#>	0.0	4.699
mʲ	m	0.0	4.699
n	n	0.0	4.699
n_ɨ	a_n	0.0	4.699
nʲ	n	0.485	4.699
nʲ	ɲ	1.807	4.699
o	oː	1.379	4.699
o	a	2.379	4.699
o	aː	3.115	4.699
o	e	3.115	4.699
o	uː	3.115	4.699
o	-	3.7	4.699
o_ˈ	o_̂	0.907	4.699
o_ˈ	a	2.322	4.699
o_ˈ	o	2.907	4.699
o_ˈ	̂	2.907	4.699
p	p	0.0	4.699
pʲ	p	0.0	4.699
r	r	0.585	4.699
r	-	2.07	4.699
r	r̩_̂	3.392	4.699
r_#>	r_#>	0.0	4.699
r_ɨ	a_r	0.0	4.699
s	s	0.0	4.699
s_#>	s_#>	0.0	4.699
sʲ	s	0.0	4.699
t	t	0.0	4.699
t_#>	t_#>	0.0	4.699
u	uː	0.415	4.699
u	u	2.0	4.699
v	ʋ	0.0	4.699
v_a	ʋ_a	0.0	4.699
v_o	o	0.0	4.699
v_u	u	0.0	4.699
v_ɨ	ʋ	0.0	4.699
vʲ	ʋ_j	0.585	4.699
vʲ	ʋ	1.585	4.699
w	-	0.0	4.699
w_#>	ʋ_#>	0.0	4.699
x	x	0.322	4.699
x	ɡ̊	2.322	4.699
x_#>	ɡ_#>	0.0	4.699
xʲ_i	̂_x	0.0	4.699
z	z	0.0	4.699
zʲ	z	0.0	4.699
æ	eː	1.524	4.699
æ	e_̌	1.939	4.699
æ	-	2.524	4.699
æ	eː_̌	2.939	4.699
æ	e	3.524	4.699
ɛ	-	1.0	4.699
ɛ	eː	1.0	4.699
ɣ	ɡ	0.0	4.699
ɨ	iː	1.193	4.699
ɨ	i	1.415	4.699
ɨ	-	2.415	4.699
ɨ_#>	#>	0.0	4.699
ɨ_ˈ	i	1.0	4.699
ɨ_ˈ	̂	1.0	4.699
ɫ	l	0.212	4.699
ɫ	-	2.874	4.699
ɫ_#>	o_#>	0.0	4.699
ɵ	-	1.0	4.699
ɵ	eː	2.0	4.699
ɵ	r̩ː	2.0	4.699
ʂ	ʃ	0.0	4.699
ʌ	-	0.0	4.699
ʐ	ʒ	0.0	4.699
ʐ̊	ʒ	0.0	4.699
ʣʲ	d	0.0	4.699
ʤ̥	d	0.0	4.699
ʦ	ʦ	0.0	4.699
ʦʲ	t	0.848	4.699
ʦʲ	t_i	1.17	4.699
ʧ	ʧ	0.585	4.699
ʧ	ʨ	1.585	4.699
ˈ	̂	0.334	4.699
ˈ	-	3.354	4.699
ˈ	̌	3.524	4.699
ˈ_#>	#>	0.0	4.699
