Phone1	Phone2	Surprisal	OOV_Smoothed
#>	s_#>	0.716	5.115
#>	ɐ_s_#>	1.354	5.115
<#_t	<#_tʲ	0.0	5.115
d	dʲ	0.807	5.115
d	d	1.222	5.115
j	tʲ	0.0	5.115
k	k	0.807	5.115
k	kʲ	1.222	5.115
m	mʲ	0.585	5.115
m	m	1.585	5.115
n	n	0.652	5.115
n	lʲ	2.459	5.115
n	s	2.459	5.115
o	ɐ	0.485	5.115
o	ɪ	1.807	5.115
p	pʲ	0.0	5.115
r	r	0.918	5.115
r	rʲ	1.087	5.115
s	s	1.115	5.115
s	sʲ	1.7	5.115
s	ɕ	2.115	5.115
t	t	1.17	5.115
t	ˈɪ	1.585	5.115
t	tʲ	2.17	5.115
v	vʲ	0.678	5.115
v	v	1.415	5.115
vʲ	vʲ	0.0	5.115
x	s	0.0	5.115
z	ʑ	0.485	5.115
z	ʒ	1.807	5.115
ɐ	ɪ	0.807	5.115
ɐ	ɐ	1.222	5.115
ɛ	e	1.0	5.115
ɛ	nʲ	1.0	5.115
ɡ̊	ɡ_ɐ	0.0	5.115
ɫ	ɫ	0.0	5.115
ʒ	ɡʲ	0.0	5.115
ʧ	kʲ	0.0	5.115
ˈa	ˈɐ	1.263	5.115
ˈa	ˈoː	2.0	5.115
ˈa	e	2.585	5.115
ˈa	ˈeː	2.585	5.115
ˈɔ	ˈaː	1.0	5.115
ˈɔ	ˈɪ_s	1.0	5.115
ˈɛ	ɛ	0.874	5.115
ˈɛ	ˈæː	1.874	5.115
ˈɛ	ˈɪ	2.459	5.115
ˈɤ	ˈɪ	0.0	5.115
