Phone1	Phone2	Surprisal
a	a	1.625
a	aː	2.044
a	e	2.047
a	eː	2.386
a_ˈ	a	0.0
b	b	0.0
bʲ	b	0.0
b̥	b	0.0
d	d	0.0
dʲ	d_e	0.0
i	i	0.661
i	iː	1.445
i_ˈ	i	0.0
j	j	0.0
j_ɐ	t_i	0.0
k	k	0.024
k	ɡ̊	5.903
l	l	0.55
l	-	1.658
lʲ	l	0.0
m	m	0.236
m	-	2.73
m_ɐ	m_a	0.0
mʲ	m	0.0
n	n	0.0
nʲ	n	0.0
o	o	0.709
o	o_̌	1.365
p	p	0.0
pʲ	p	0.0
r	r	0.194
r	-	2.988
rʲ	-	0.0
s	s	0.0
t	t	0.0
tʲ	t	0.0
u	uː	0.261
u	u	2.593
v	ʋ	0.0
v_ɐ	ʋ_a	0.0
vʲ	ʋ	0.0
x	x	0.0
z	z	0.0
z̥	-	0.0
ɐ	a	0.41
ɐ	t_i	2.929
ɐ	-	3.842
ɐ	uː	4.427
ɐ_r	r̩_̂	0.0
ɔ	o	0.767
ɔ	oː	1.278
ɛ	e	1.175
ɛ	eː	1.733
ɛ	a	3.026
ɛ	aː	3.61
ɛ	eː_̌	4.279
ɛ_m	a_m	0.0
ɛ_ˈ	e	0.0
ɡ	ɡ	0.0
ɤ	uː	1.396
ɤ	u	2.522
ɤ	r̩	2.604
ɤ	a	2.677
ɤ	r̩ː	2.999
ɤ_ˈ	̂	0.0
ɫ	l	0.41
ɫ	-	2.015
ɫ_a	l_a	0.0
ɫ_ɐ	l_aː	0.0
ʃ	ʃ	0.714
ʃ	ʨ	1.357
ʒ	ʒ	0.0
ʒ̊	ʒ	0.0
ʦ	ʦ	0.0
ʦʲ	ʦ	0.0
ʧ	ʧ	0.0
ˈ	̂	0.291
ˈ	̌	2.939
ˈ	-	4.261
