Phone1	Phone2	Surprisal	OOV_Smoothed
#>	i_s_#>	1.295	4.26
#>	s_#>	1.755	4.26
#>	n_#>	2.17	4.26
#>	o_#>	3.755	4.26
<#_d	<#_d	0.0	4.26
<#_n	<#_n	0.0	4.26
<#_s	<#_s	0.0	4.26
a	-	0.678	4.26
a	o	1.415	4.26
a_#>	#>	0.0	4.26
a_̂	o	0.0	4.26
aː	-	0.0	4.26
aː_̌	a	0.0	4.26
b	b	0.0	4.26
d	d	0.0	4.26
e	e	0.737	4.26
e	-	1.322	4.26
eː	e	1.0	4.26
eː	i	1.0	4.26
i	-	0.415	4.26
i	o_n	2.0	4.26
iː	-	0.0	4.26
iː_̌	u	0.0	4.26
j	-	0.0	4.26
k	k	0.0	4.26
l	l	0.0	4.26
m	m	0.0	4.26
n	n	1.0	4.26
n	n_a	1.0	4.26
o	-	0.585	4.26
o	o	1.585	4.26
oː	a	0.737	4.26
oː	a_l	1.322	4.26
p	p	0.0	4.26
r	r	0.0	4.26
r̩	i_r	0.0	4.26
s	s	0.0	4.26
t	t	0.0	4.26
u	-	0.0	4.26
uː	-	1.222	4.26
uː	i_l	1.807	4.26
uː	l	1.807	4.26
x	s	0.0	4.26
z	z	0.0	4.26
ɡ̊	-	0.0	4.26
ʋ	v	0.415	4.26
ʋ	-	2.0	4.26
ʒ	ɡ	0.0	4.26
ʦ	-	0.0	4.26
̂	-	0.0	4.26
̂_d̥	d	0.0	4.26
̌	-	0.0	4.26
