Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɔ_#>	0.0	4.878
<#_l	<#_l	0.0	4.878
<#_n	<#_n	0.0	4.878
<#_o	<#_w_ɔ	0.0	4.878
<#_r	<#_ʀ	0.0	4.878
<#_t	<#_t	0.0	4.878
<#_ʋ	<#	0.0	4.878
a	a	0.427	4.878
a	-	2.478	4.878
a	ɔ	3.7	4.878
a_k	kʲ_i	0.0	4.878
a_n	ɔ_m	0.0	4.878
a_r	ʀ_ɪ	0.0	4.878
aː	ɔ	1.585	4.878
aː	-	2.17	4.878
aː	a	2.17	4.878
aː	w	2.17	4.878
aː_̂	o	0.0	4.878
aː_̌	a	0.0	4.878
b	b	0.0	4.878
b̥	b̥	0.0	4.878
d	d	0.621	4.878
d	ʥ	2.0	4.878
d	-	3.322	4.878
d̥	d̥	0.0	4.878
e	ɛ	0.759	4.878
e	ɔ	2.138	4.878
e	-	2.459	4.878
e_#>	ɔ_#>	0.0	4.878
e_̂	e	0.0	4.878
eː	a	1.17	4.878
eː	-	1.585	4.878
eː	e	2.17	4.878
i	i	0.678	4.878
i	-	1.415	4.878
i_̂	e	1.263	4.878
i_̂	ɛ	1.585	4.878
i_̂	ɪ	2.0	4.878
iː	i	1.379	4.878
iː	e	1.7	4.878
iː	-	2.7	4.878
iː	ɪ	2.7	4.878
iː_̂	ɪ	0.0	4.878
iː_̌	e	0.0	4.878
j	j	0.0	4.878
k	k	0.0	4.878
l	w	0.807	4.878
l	l	1.222	4.878
l_#>	w_ɪ_#>	0.0	4.878
m	m	0.547	4.878
m	mʲ	1.663	4.878
n	n	0.778	4.878
n	ɲ	1.263	4.878
o	ɔ	0.12	4.878
o	w	3.644	4.878
oː	o	0.515	4.878
oː	ɔ	1.737	4.878
p	p	0.515	4.878
p	pʲ	1.737	4.878
r	ʀ	0.637	4.878
r	ʀʲ	2.222	4.878
r	ʃ	2.807	4.878
r̩	ɔ_ʀ	0.737	4.878
r̩	e_ʀ	1.322	4.878
s	s	0.0	4.878
s_#>	s_#>	0.0	4.878
t	t	0.837	4.878
t	ʨ	1.184	4.878
t_i	ʨ	0.0	4.878
u	w_u	0.737	4.878
u	w	1.322	4.878
uː	u	0.678	4.878
uː	-	3.0	4.878
uː	w	3.0	4.878
uː	ɔ_w	3.0	4.878
x	x	0.0	4.878
z	z	0.241	4.878
z	-	2.7	4.878
ɡ	ɦ	0.0	4.878
ɡ̊	x	0.0	4.878
ɡ̊_#>	#>	0.0	4.878
ɲ	ɲ	0.0	4.878
ʋ	ɥ	0.823	4.878
ʋ	w	1.524	4.878
ʋ	w_ɪ	3.524	4.878
ʒ	ʒ	0.0	4.878
ʦ	ʦ	0.737	4.878
ʦ	-	1.322	4.878
ʧ	ʧ	0.0	4.878
̂	-	0.0	4.878
̂_r	ʀʲ	0.0	4.878
̌	-	0.0	4.878
̌_n	n	0.0	4.878
