Phone1	Phone2	Surprisal	OOV_Smoothed
a	a	0.16	4.813
a	ɛ	3.248	4.813
a_ŋ	ɛ	0.0	4.813
b	b	0.0	4.813
b̥	b̥	0.0	4.813
d	d	0.0	4.813
d̥	d̥	0.0	4.813
e	ɛ	0.0	4.813
f	f	1.0	4.813
f	v	1.0	4.813
i	iː	0.0	4.813
j	j	0.926	4.813
j	-	1.926	4.813
j	ɛ	3.248	4.813
j	ɲ	3.248	4.813
j_ˈa	iː	0.0	4.813
j_ˈɞ	iː	0.0	4.813
k	k	0.0	4.813
l	l	0.0	4.813
m	m	0.0	4.813
m_ə	m̩	0.0	4.813
n	n	0.0	4.813
p	p	0.0	4.813
r	r	0.206	4.813
r	r̩	2.907	4.813
s	s	0.0	4.813
t	t	0.0	4.813
u	-	0.0	4.813
u̯ɛ	o	0.0	4.813
u̯ˈɛ	o	0.0	4.813
v	v	0.0	4.813
w	l	0.181	4.813
w	u	3.087	4.813
x	x	0.0	4.813
z	z	0.0	4.813
ŋ	-	0.0	4.813
ɔ	o	0.0	4.813
ə	ɪ	0.0	4.813
ɛ	ɛ	0.0	4.813
ɛ_#>	ɛ_#>	0.0	4.813
ɡ	ɦ	0.0	4.813
ɡ̊	x	0.0	4.813
ɲ	n	0.737	4.813
ɲ	ɲ	1.322	4.813
ʃ	ʃ	0.0	4.813
ʐ	r̝	0.0	4.813
ʒ	ʒ	0.0	4.813
ʣ	d	0.737	4.813
ʣ	ɟ	1.322	4.813
ʤ	ɦ	0.0	4.813
ʦ	t	0.621	4.813
ʦ	ʦ	2.0	4.813
ʦ	c	3.322	4.813
ʧ	c	1.415	4.813
ʧ	ʧ	1.415	4.813
ʧ	k	2.0	4.813
ˈa	ɛ	1.0	4.813
ˈa	-	2.0	4.813
ˈa	aː	2.0	4.813
ˈa_#>	a_#>	0.0	4.813
ˈa_r	r_aː	0.0	4.813
ˈa_w	ɛ_l	0.0	4.813
ˈa_ŋ	a	0.0	4.813
ˈe	ɛ	0.585	4.813
ˈe	ɛː	1.585	4.813
ˈi	iː	0.0	4.813
ˈõ	u	0.0	4.813
ˈu	uː	0.737	4.813
ˈu	o	1.322	4.813
ˈɔ	o	1.0	4.813
ˈɔ	a	2.0	4.813
ˈɔ	ɛ	2.0	4.813
ˈə	ɪ	0.0	4.813
ˈɛ	ɛ	0.0	4.813
ˈɛ_r	r̩	0.0	4.813
ˈɛ_s	ɛ_s	0.0	4.813
ˈɞ	a	1.585	4.813
ˈɞ	aː	1.585	4.813
ˈɞ	ɛ	1.585	4.813
ˈɞ_w	l̩	0.0	4.813
