Latvian	Kashubian	probability
ʧ	ʃ	1.0
ʃ	-	1.0
ɲ	m	1.0
ɡ̊	ɡ̊	1.0
ɛː	j	1.0
æː	-	1.0
z̥	z̥	1.0
w	v	1.0
u	-	1.0
t_s	i	1.0
r̩	r	1.0
p	p	1.0
l̩	w_ɔ	1.0
j	a_ˈ	1.0
iː	ə	1.0
e	õ_ʦ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
b̥	b̥	1.0
b	b	1.0
aː	-	1.0
au̯	-	1.0
ai̯	ɞ	1.0
a_l	w	1.0
z	z	0.878
ʣ	ʒ	0.8
m	m	0.729
v	v	0.659
t	t	0.653
ɡ	ɡ	0.641
k	-	0.637
l	w	0.632
i	-	0.612
ʦ	ʦ	0.581
r	r	0.577
uː	ə	0.574
d	d	0.502
d	ʣ	0.498
æ	-	0.489
s	i	0.474
iɛ̯	ɛ	0.45
uː	-	0.426
ʦ	k_u̯ɛ	0.419
n	-	0.418
n	n	0.408
uɔ̯	-	0.386
k	k	0.363
ɛ	ɛ_ˈ	0.342
s	s	0.318
uɔ̯	õ_ˈ	0.307
uɔ̯	ã_ˈ	0.307
a	a	0.305
æ	u̯ɛ	0.298
l	l	0.288
ɛ	-	0.284
iɛ̯	e_ˈ	0.275
iɛ̯	-	0.275
m	-	0.271
r	r̝	0.251
ɛ	a	0.248
t	-	0.225
a	ɔ_ˈ	0.22
æ	j_u	0.213
ɡ	-	0.209
v	v_j	0.209
s	-	0.207
ʣ	ʒ̊	0.2
i	a	0.2
a	a_ˈ	0.198
n	ɲ	0.174
ɡ	ʤ	0.15
a	u	0.145
v	f_j	0.132
a	u̯ɛ	0.132
ɛ	ɛ	0.125
r	r̝_e	0.123
z	ɡ	0.122
t	ʦ	0.121
i	ɞ_ˈ	0.095
i	ã	0.093
l	ɞ_ˈ	0.08
