Lower Sorbian	Lower Sorbian	probability
ʨ	ʦ	1.0
ʒ	ʒ	1.0
ʑ	ʣ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɨ_m	m_ə	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ʤ_i	1.0
ɡ	ɡ	1.0
ɛ_#>	ɛ_#>	1.0
z̥	z̥	1.0
x	x	1.0
w	w	1.0
v	v	1.0
t͡ʂ	x	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ɔ	r	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
j	-	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
<#_v_ɛ	<#_u̯ɛ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
k	k	0.895
rʲ	r̝	0.889
l	l	0.889
z	z	0.857
ɕ	ʦ	0.833
mʲ	m_j	0.75
ɨ	i	0.692
a	a	0.681
ɲ	ɲ	0.667
k_#>	k_#>	0.667
ʦ	ʦ	0.6
ɔ	ɔ	0.51
vʲ	v_j	0.5
kʲ	ʧ	0.5
kʲ	ʤ	0.5
ʦ	ʧ	0.4
e	ɛ	0.381
i	ə	0.364
i	i	0.364
ɲ	-	0.333
vʲ	v	0.333
k_#>	#>	0.333
ɪ	a_ˈ	0.316
u	õ	0.312
ɨ	ə	0.308
ɛ	u̯ɛ	0.304
e	-	0.286
i	i_ˈ	0.273
ɪ	ã_ˈ	0.263
ɛ	ɛ	0.261
mʲ	m	0.25
ɔ	u̯ɛ	0.204
e	ã	0.19
u	ə_ˈ	0.188
u	w_ʉ	0.188
u	ã_ˈ	0.188
ɔ	u	0.184
ɕ	r̝	0.167
vʲ	j	0.167
ɪ	j_ɞ	0.158
ɪ	e_ˈ	0.158
a	ɛ	0.149
z	-	0.143
e	e_ˈ	0.143
ɛ	a	0.13
ɛ	-	0.13
a	ɞ	0.128
u	-	0.125
rʲ	ɾ	0.111
l	-	0.111
ɪ	j	0.105
k	x	0.105
ɛ	u	0.087
ɛ	e	0.087
ɔ	ɛ	0.061
