Phone1	PhonEnv	Phone2	Surprisal
a	<|S|	a	1.0
a	<|S|	ə	2.263
a	<|S|	e_ˈ	3.263
a	<|S|	ɵ_ˈ	3.263
a	<|S|	-	3.585
a	<|S|#	a	0.798
a	<|S|#	ə	1.506
a	<|S|>	a	1.257
a	<|S|>	e_ˈ	2.403
a	<|S|>	ɵ_ˈ	2.403
a	<|S|>	-	2.725
a	<|S|>	ə	4.263
a	<|S|>_R	ɵ_ˈ	0.688
a	<|S|>_R	a	1.737
a	<|S|>_R	ə	4.585
a	<|S|R	ɵ_ˈ	0.765
a	<|S|R	a	1.678
a	<|S|R	ə	4.263
a	F_<|S|	a	0.464
a	F_<|S|	-	2.549
a	F_<|S|	ə	4.263
a	F_<|S|#	a	0.152
a	F_<|S|#	ə	4.585
a	F_<|S|>	a	0.515
a	F_<|S|>	-	2.206
a	F_<|S|>	ə	4.585
a	F|S|	a	0.515
a	F|S|	-	2.634
a	F|S|	ə	3.848
a	F|S|	e_ˈ	4.848
a	F|S|	ɵ_ˈ	4.848
a	F|S|#	a	0.193
a	F|S|#	ə	4.263
a	F|S|>	a	0.541
a	F|S|>	-	2.263
a	F|S|>	ə	4.263
a	|S|#	a	0.819
a	|S|#	ə	1.573
a	|S|#	e_ˈ	4.848
a	|S|#	ɵ_ˈ	4.848
a	|S|>	a	1.226
a	|S|>	e_ˈ	2.477
a	|S|>	ɵ_ˈ	2.477
a	|S|>	-	2.799
a	|S|>	ə	3.848
a	|S|>_R	ɵ_ˈ	0.765
a	|S|>_R	a	1.678
a	|S|>_R	ə	4.263
a	|S|R	ɵ_ˈ	0.903
a	|S|R	a	1.585
a	|S|R	ə	3.848
a	|S|R	e_ˈ	4.848
b	#|S|	b	0.507
b	#|S|	-	1.755
b	#|S|<	b	0.332
b	#|S|<	-	2.282
b	#|S|<_R	b	0.066
b	#|S|<_R	-	4.492
b	#|S|=	-	0.312
b	#|S|=	b	2.363
b	#|S|=_R	-	0.244
b	#|S|=_R	b	2.684
b	#|S|R	b	0.812
b	#|S|R	-	1.216
b	>|S|	b	0.111
b	>|S|	-	3.755
b	>|S|<	b	0.082
b	>|S|<	-	4.17
b	>|S|<_F	b	0.066
b	>|S|<_F	-	4.492
b	>|S|<_R	b	0.066
b	>|S|<_R	-	4.492
b	>|S|F	b	0.082
b	>|S|F	-	4.17
b	>|S|R	b	0.082
b	>|S|R	-	4.17
b	F_>|S|	b	0.082
b	F_>|S|	-	4.17
b	F_>|S|<	b	0.066
b	F_>|S|<	-	4.492
b	F|S|	b	0.111
b	F|S|	-	3.755
b	F|S|<	b	0.082
b	F|S|<	-	4.17
b	|S|<	b	0.247
b	|S|<	-	2.667
b	|S|<_F	b	0.082
b	|S|<_F	-	4.17
b	|S|<_R	b	0.082
b	|S|<_R	-	4.17
b	|S|=	-	0.433
b	|S|=	b	1.948
b	|S|=_R	-	0.312
b	|S|=_R	b	2.363
b	|S|F	b	0.111
b	|S|F	-	3.755
b	|S|R	b	0.507
b	|S|R	-	1.755
bʲ	#|S|	bʲ	0.0
bʲ	#|S|<	bʲ	0.0
bʲ	#|S|<_F	bʲ	0.0
bʲ	#|S|F	bʲ	0.0
bʲ	>|S|	bʲ	0.0
bʲ	>|S|<	bʲ	0.0
bʲ	>|S|<_F	bʲ	0.0
bʲ	>|S|F	bʲ	0.0
bʲ	F_>|S|	bʲ	0.0
bʲ	F_>|S|<	bʲ	0.0
bʲ	F_>|S|<_F	bʲ	0.0
bʲ	F_>|S|F	bʲ	0.0
bʲ	F|S|	bʲ	0.0
bʲ	F|S|<	bʲ	0.0
bʲ	F|S|<_F	bʲ	0.0
bʲ	F|S|F	bʲ	0.0
bʲ	|S|<	bʲ	0.0
bʲ	|S|<_F	bʲ	0.0
bʲ	|S|F	bʲ	0.0
b̥	>|S|	b̥	0.585
b̥	>|S|	b̥ʲ	1.585
b̥	>|S|#	b̥	0.585
b̥	>|S|#	b̥ʲ	1.585
b̥	F_>|S|	b̥	0.126
b̥	F_>|S|	b̥ʲ	3.585
