Old Church Slavonic	Lower Sorbian	probability
ˈʊ	-	1.0
ˈɪ	-	1.0
ˈɛ̃	ˈɪ	1.0
ˈɔ̃	ˈu	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧ	ʦ	1.0
ʦ_ɑ	t͡ʂ	1.0
ʦ	ʦ	1.0
ʃ	-	1.0
ɯ	e_ɲ	1.0
ɪ	-	1.0
ɔ̃	ˈu	1.0
u	ˈu	1.0
t_ɪ	ʨ	1.0
t_i	ɕ	1.0
s_ˈʊ	s	1.0
s_ˈɑ	s_a	1.0
s	s	1.0
rʲ	rʲ	1.0
r_ˈæ	rʲ	1.0
n_ɪ	ɲ	1.0
lʲ	-	1.0
j	j	1.0
i	ˈi	1.0
d_ʊ	d̥	1.0
n	n	0.929
z	z	0.927
k	k	0.841
ˈɯ	ˈɨ	0.823
ɑ	a	0.795
x	x	0.752
p	pʲ	0.655
r_ˈɪ	ˈa_r	0.646
ɡ_ʊ	ɡ̊	0.632
ɡ	ɡ	0.631
ʊ	ɨ	0.617
æ	ˈɪ	0.6
v	vʲ	0.591
d	d	0.589
ˈɔ	ˈɔ	0.585
ʒ	ʐ	0.553
ˈæ	ˈɪ	0.551
m	mʲ	0.506
l	w	0.5
b	b	0.499
m	m	0.494
ɔ	ɔ	0.486
t	t	0.475
t	ɕ	0.456
l	l	0.432
ɛ̃	ˈɪ	0.423
ˈɔ	ˈɛ	0.415
ˈɑ	ˈa	0.415
ˈɑ	a	0.413
æ	-	0.4
v	v	0.374
ɡ_ʊ	k	0.368
ɛ	-	0.359
r_ˈɪ	r	0.354
p	p	0.345
ˈi	-	0.337
r	rʲ	0.332
ˈɛ	ˈa	0.327
ˈi	ˈi	0.315
r	r	0.306
d	ʑ	0.29
ɛ̃	e	0.288
ɛ̃	-	0.288
ɔ	ˈɛ	0.279
ʒ	-	0.273
b	bʲ	0.272
ˈɛ	ˈe	0.26
ɛ	ɛ	0.256
x	k	0.248
ˈɛ	-	0.24
ɛ	ɔ	0.231
ʊ	-	0.229
b	b̥	0.229
ɡ	-	0.226
r	ɕ	0.222
ˈi	i	0.205
ɑ	ˈɔ	0.205
ˈæ	ɛ	0.196
ˈɯ	-	0.177
ʒ	ʒ	0.174
ˈɛ	ˈɔ	0.173
ˈɑ	ˈɔ	0.172
k	kʲ	0.159
ʊ	i	0.154
ɛ	ˈe	0.154
ˈæ	ˈɛ	0.152
ˈi	ˈɨ	0.143
ɡ	ɡʲ	0.143
r	ʂ	0.14
ɔ	ˈɔ	0.122
d	-	0.122
ɔ	v_ˈɛ	0.113
ˈæ	e	0.101
z	-	0.073
n	nʲ	0.071
t	-	0.069
l	ɛ	0.068
