Old Prussian	Old Prussian	probability
w	v	1.0
v_u	uː	1.0
v_iː	v	1.0
v_a	w	1.0
uː	uː	1.0
u_s	ʃ	1.0
s_i	s	1.0
s_#>	#>	1.0
s	s	1.0
p	p	1.0
o_#>	#>	1.0
m	m	1.0
l_u	ʎ	1.0
l	l	1.0
j	iɛ̯	1.0
iː_n	ɲ	1.0
i_ɡ	e	1.0
i_s	s	1.0
eː	ɛ	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
aːu̯	au̯	1.0
aːi̯	ai̯	1.0
aː	a	1.0
au̯	au̯	1.0
ai̯	v_iɛ̯	1.0
a_ŋ	uɔ̯	1.0
a_n	s	1.0
<#_ɡ	<#_ʣ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
k	k	0.8
z	z	0.778
r	r	0.778
t	t	0.769
v	v	0.667
o	a	0.667
#>	s_#>	0.667
i	i	0.636
u	-	0.6
e	ɛ	0.571
n	n	0.562
ɡ	ɡ̊	0.5
ɡ	ɡ	0.5
a	a	0.412
u	uː	0.4
i	-	0.364
v	-	0.333
o	aː	0.333
#>	ɛ_#>	0.333
e	-	0.286
n	s	0.25
t	-	0.231
z	z̥	0.222
r	r̩	0.222
k	ʦ	0.2
n	-	0.188
a	æ	0.176
a	-	0.176
e	æ	0.143
a	ɛ	0.118
a	aː	0.118
