Proto-Balto-Slavic	Macedonian	probability
́ˀ	-	1.0
́	-	1.0
ˀ	-	1.0
ʃ_u	x	1.0
ʃ_a	f	1.0
ʃ	v	1.0
ɡ_j	ʒ̊	1.0
ɡ_a	ɡ̊	1.0
ɛ	ɛ	1.0
ŋ	-	1.0
z	z	1.0
w_a	f	1.0
uː_́ˀ	i	1.0
u_́	o	1.0
u	-	1.0
t_a	t	1.0
sʲ	s	1.0
r_a	r	1.0
oː	a	1.0
o	-	1.0
n_t	t	1.0
n_s	s	1.0
n_a	n	1.0
m_t	t	1.0
m_b	b̥	1.0
m	m	1.0
l_a	ɫ	1.0
k_a	k	1.0
j	-	1.0
iː	i	1.0
i_r	r̩	1.0
eː_ˀ	e	1.0
eː	ɛ	1.0
ei̯	i	1.0
e_s	i	1.0
e	ɛ	1.0
b	b	1.0
aː	a	1.0
au̯	u	1.0
ai̯	ɛ	1.0
w	v	0.872
zʲ	z	0.811
l	ɫ	0.808
ɡ	ɡ	0.767
p	p	0.686
i	-	0.643
r	r	0.638
a_́	o	0.568
n	n	0.561
t	t	0.552
d	d	0.486
s	s	0.464
k	k	0.455
a_́	a	0.432
a	-	0.41
d	d̥	0.382
t	-	0.376
p	-	0.314
s	f	0.287
n	-	0.277
s	-	0.249
ɡ	ʒ	0.233
i	ɛ	0.204
k	ʧ	0.193
l	l	0.192
a	o	0.179
a	r	0.172
n	t	0.162
k	ʦ	0.159
i	o	0.153
r	r̩	0.151
r	a	0.145
k	-	0.137
d	ɟ	0.132
a	a	0.131
w	a_v	0.128
zʲ	ʣ	0.113
a	ɔ	0.108
zʲ	z̥	0.076
t	c	0.072
r	ɾ	0.066
k	ʃ	0.056
