Phone1	Phone2	PMI
<#_n	<#_n	9.16
<#_l	<#_l	8.739
<#_d	<#_d	8.664
<#_t	<#_t	8.193
ʦ	ʦ	7.835
<#_t	<#_ʨ	7.619
ʧ	ʧ	7.609
l_a	w_a	7.368
ɲ	ɲ	7.094
t_ŭ_#>	t_#>	7.005
o_#>	ɔ_#>	7.001
v_ẽː	ɥ_a	6.928
n	<#_n	6.909
ʒ	ʒ	6.835
ʒ	ʒ̊	6.792
s_ŭ_#>	s_#>	6.76
ẽː	ɥ_a	6.748
d	<#_d	6.613
<#_x	<#_x	6.551
r_ŭ_#>	ʀ_#>	6.531
k	k_#>	6.438
l_ɛː	l_ɛ	6.361
b	b	6.171
z	z	6.164
p	pʲ	6.163
<#_r	<#_ʀ	6.16
b	bʲ	6.08
p	p	6.073
t	<#_t	6.015
l_ŭ_#>	w_#>	6.01
k_ŭ_#>	k_#>	6.005
x	x	5.917
b	b̥	5.909
iː	i	5.774
s	s_#>	5.734
<#_d	d	5.685
<#_l	l	5.673
<#_n	n	5.667
d_l	d_w	5.654
t	t_#>	5.625
<#_j	<#_j	5.615
u	u	5.61
m	mʲ	5.601
uː	u	5.594
r	ʀ_#>	5.578
m	m	5.558
t	<#_ʨ	5.441
n	n	5.386
x	<#_x	5.356
õː	u	5.298
ʤ	ʃ_ʨ	5.21
d	d	5.15
l	<#_l	5.114
k	k	5.039
d_ŭ	d̥	4.881
d	d̥	4.873
ẽː	ɥ	4.867
ʤ	ʃ	4.794
v_ŭ	w_ɪ	4.783
ɨː	ɪ	4.774
s	s	4.711
o	ɔ_#>	4.657
ɛː	e	4.633
d	ʥ	4.606
l	w_#>	4.586
n_ĭ	ɲ	4.514
t	t	4.471
<#_a	<#_j_a	4.426
t_ĭ_#>	ʨ_#>	4.418
z_ŭ	z̥	4.404
ŭ	w_#>	4.395
r	ʀ	4.395
<#_j	j	4.383
n	ɲ	4.362
x	xʲ	4.313
r	ʀʲ	4.312
rʲ	ʀʲ	4.291
a	a	4.239
t	ʨ_#>	4.233
aː	a	4.221
e_#>	ɔ_#>	4.22
<#_t	ʨ	4.2
<#_x	x	4.179
l	l	4.171
i	i	4.164
<#_t	t	4.12
z	z̥	4.056
<#_a	j	4.048
j	ɪ	3.983
<#_v	<#_w	3.978
ẽ	ɛ	3.948
ẽː	a	3.925
t	ʨ	3.864
e	ɛ	3.86
o_#>	ɔ	3.843
ŭ	ʀ_#>	3.824
<#_o	<#_w_ɔ	3.758
oː	o	3.75
r	<#_ʀ	3.736
