Phone1	PhonEnv	Phone2	Surprisal
a	<|S|	a	0.874
a	<|S|	aː	1.585
a	<|S|	-	4.044
a	<|S|	j_a	4.044
a	<|S|#	a	0.442
a	<|S|#	aː	3.049
a	<|S|#	j_a	3.472
a	<|S|#	-	4.247
a	<|S|>	aː	0.599
a	<|S|>	a	1.99
a	<|S|>	-	3.779
a	<|S|>_A	aː	0.552
a	<|S|>_A	a	2.107
a	<|S|>_A	-	3.763
a	<|S|>_N	aː	0.206
a	<|S|>_N	a	3.196
a	<|S|>_N_A	aː	0.17
a	<|S|>_N_A	a	3.459
a	<|S|>_R	a	0.138
a	<|S|>_R	aː	3.907
a	<|S|>_R_A	a	0.114
a	<|S|>_R_A	aː	4.17
a	<|S|A	aː	0.599
a	<|S|A	a	1.99
a	<|S|A	-	3.779
a	<|S|N	aː	0.263
a	<|S|N	a	2.874
a	<|S|N_A	aː	0.206
a	<|S|N_A	a	3.196
a	<|S|R	a	0.174
a	<|S|R	aː	3.585
a	<|S|R_A	a	0.138
a	<|S|R_A	aː	3.907
a	F_<|S|	aː	0.631
a	F_<|S|	a	1.627
a	F_<|S|#	a	0.138
a	F_<|S|#	aː	3.907
a	F_<|S|>	aː	0.206
a	F_<|S|>	a	3.196
a	F_<|S|>_A	aː	0.17
a	F_<|S|>_A	a	3.459
a	F_<|S|A	aː	0.206
a	F_<|S|A	a	3.196
a	F|S|	aː	0.71
a	F|S|	a	1.521
a	F|S|#	a	0.174
a	F|S|#	aː	3.585
a	F|S|>	aː	0.263
a	F|S|>	a	2.874
a	F|S|>_A	aː	0.206
a	F|S|>_A	a	3.196
a	F|S|A	aː	0.263
a	F|S|A	a	2.874
a	|S|#	a	0.484
a	|S|#	aː	2.791
a	|S|#	j_a	3.525
a	|S|#	-	4.223
a	|S|>	aː	0.681
a	|S|>	a	1.814
a	|S|>	-	3.806
a	|S|>_A	aː	0.599
a	|S|>_A	a	1.99
a	|S|>_A	-	3.779
a	|S|>_N	aː	0.263
a	|S|>_N	a	2.874
a	|S|>_N_A	aː	0.206
a	|S|>_N_A	a	3.196
a	|S|>_R	a	0.174
a	|S|>_R	aː	3.585
a	|S|>_R_A	a	0.138
a	|S|>_R_A	aː	3.907
a	|S|A	aː	0.681
a	|S|A	a	1.814
a	|S|A	-	3.806
a	|S|N	aː	0.363
a	|S|N	a	2.459
a	|S|N_A	aː	0.263
a	|S|N_A	a	2.874
a	|S|R	a	0.237
a	|S|R	aː	3.17
a	|S|R_A	a	0.174
a	|S|R_A	aː	3.585
b	#|S|	b	0.0
b	#|S|<	b	0.0
b	>|S|	b	0.0
b	>|S|<	b	0.0
b	>|S|<_R	b	0.0
b	>|S|R	b	0.0
b	F_>|S|	b	0.0
b	F_>|S|<	b	0.0
b	F|S|	b	0.0
b	F|S|<	b	0.0
b	|S|<	b	0.0
b	|S|<_R	b	0.0
b	|S|R	b	0.0
bʲ	#|S|	b	0.0
