Phone1	Phone2	PMI
kʲ_i	k_oː	9.941
ɛ_#>	e_#>	9.921
d_#>	d̥_#>	9.875
b_#>	b̥_#>	9.87
ʃʲ	ʃ	9.407
i_nʲ	e_n	9.357
<#_r	<#_r	9.132
<#_rʲ	<#_r	9.101
<#_lʲ	<#_l	8.994
<#_n	<#_n	8.918
<#_j	<#_j	8.918
r_#>	r_#>	8.83
e_#>	i_#>	8.545
<#_ɔ	<#_j_e	8.479
d_#>	d̥	8.211
b_#>	b̥	8.206
b	b̥_#>	8.193
ɔ_#>	o_#>	8.125
rʲ	<#_r	8.101
r_e	a_r	7.938
ʒ	ʒ	7.833
ɐ_#>	a_#>	7.732
kʲ	k_oː	7.688
<#_j	j	7.254
ʦ	ʦ	7.166
ɛ	e_#>	7.118
ʦʲ	ʦ	7.095
lʲ	<#_l	7.061
d	d̥_#>	6.97
ˈ_#>	̂_#>	6.912
n	<#_n	6.903
x	x	6.81
ɐ	a_#>	6.786
e	i_#>	6.765
<#_ɔ	j	6.743
bʲ	b	6.718
s_ɪ	s_iː	6.716
ɔ_tʲ	a_t	6.595
p	p	6.533
b	b̥	6.529
s_#>	s_#>	6.364
r_ɑ	r_a	6.34
b	b	6.26
<#_t	<#_t	6.225
<#_b	<#_b	6.216
lʲ_i	l_i	6.213
z	z	6.185
ʋʲ_i	ʋ_iː	6.163
zʲ	z	6.125
j	<#_j	6.015
nʲ	e_n	5.916
u	u	5.864
<#_nʲ	<#_n	5.842
ʊ	uː	5.817
w	u	5.768
r	<#_r	5.763
<#_ʋ	<#_ʋ	5.66
r	r_#>	5.656
mʲ	m	5.627
m	m	5.59
ɔ	o_#>	5.533
d	d	5.333
n	n	5.326
<#_n	n	5.326
d	d̥	5.307
ʋ	ʋ	5.247
ʋʲ	ʋ	5.201
kʲ	k	5.178
nʲ	n	5.169
u	uː	5.166
k	k	5.165
e_#>	i	5.141
ɛ_#>	e	5.083
s	s	5.059
b	<#_b	5.011
sʲ	s	4.997
r_#>	r	4.988
<#_r	r	4.988
nʲ	<#_n	4.981
<#_lʲ	l	4.968
<#_ɔ	e	4.967
w_u	u	4.961
rʲ	r	4.957
<#_rʲ	r	4.957
ʤ	ʧ	4.951
ʧʲ	ʧ	4.934
t	t	4.905
tʲ	t	4.815
s	s_#>	4.785
ɔ_#>	o	4.758
ʋ	<#_ʋ	4.747
ɫ	l	4.654
lʲ	l	4.63
r	r	4.613
ɛ	r̩	4.61
<#_b	b	4.502
t	<#_t	4.482
e	a_r	4.405
ˈ	̂_#>	4.371
j	j	4.352
pʲ	p	4.307
w	ʋ	4.235
ɪ	iː	4.206
r	a_r	4.168
a	a	4.126
ɐ_#>	a	4.043
<#	<#_r	4.022
ɛ	e	4.013
i	oː	4.006
ɑ	a	3.937
ɔ	<#_j_e	3.895
<#	<#_n	3.884
