Upper Sorbian	Old Church Slavonic	probability
ʧ	ʧ	1.0
ʥ_e	d_ɛ	1.0
ʥ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʀʲ_ɔ	r_ɪ	1.0
ʀʲ	r	1.0
ʀ_ɔ	r_ɑ	1.0
ʀ	r	1.0
ɦ	ɡ	1.0
ɥ	v	1.0
ɛ_l	ɛ_l	1.0
ɔ_ʀ	r_ɪ	1.0
ɔ_w	l_ɪ	1.0
ɔ_m	m_ɪ	1.0
ɔ_#>	ɔ_#>	1.0
z	z	1.0
xʲ	x	1.0
w_ɪ	v_ʊ	1.0
w_o	l_ɑ	1.0
s_a	s_ɛ̃	1.0
s_#>	s_ʊ_#>	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l_ɛ	l_æ	1.0
l_#>	l_ɪ_#>	1.0
l	l	1.0
kʲ	k	1.0
k	k	1.0
i_#>	ʊ_#>	1.0
i	i	1.0
e_ʀ	r_ɪ	1.0
d̥	d_ʊ	1.0
d_w	l	1.0
d	d	1.0
b̥	b_ʊ	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_w	<#	1.0
<#_l	<#_l	1.0
s	s	0.871
a	ɑ	0.854
o	ɔ_ˈ	0.818
t	t	0.8
#>	ʊ_#>	0.789
ɔ	ɔ	0.758
j	j	0.75
e	æ	0.75
x	x	0.636
ʦ	ʦ	0.6
ɪ	ʊ	0.577
ʨ	t_ɪ	0.533
u	ɔ̃	0.533
ʃ	ʧ	0.5
ʃ	r	0.5
ʨ	t_i	0.467
ɛ	ɛ	0.45
ʦ	-	0.4
w	l	0.37
x	ɡ_ʊ	0.364
ɲ	nʲ	0.333
ɲ	n_ɪ	0.333
ɲ	n	0.333
w	v	0.333
u	u	0.333
ɪ	ɯ	0.269
ɛ	æ	0.25
j	ɯ	0.25
#>	ɪ_#>	0.211
t	t_ʊ	0.2
w	l_ʊ	0.185
ɔ	ɛ	0.182
o	ʊ_ˈ	0.182
ɛ	ɛ̃	0.15
ɛ	-	0.15
e	-	0.15
u	-	0.133
s	s_ʊ	0.129
w	ʊ	0.111
e	ɛ	0.1
a	ɛ̃	0.098
ɪ	ɛ_ˈ	0.077
ɪ	i	0.077
ɔ	ɪ	0.061
