Phone1	Phone2	Surprisal	OOV_Smoothed
b	b	0.0	4.832
d	d	0.0	4.832
d̥	d̥	0.0	4.832
i	i	0.0	4.832
j	j	0.0	4.832
k	k	0.0	4.832
m	m	0.0	4.832
n	n	0.0	4.832
n_t	n_t	0.0	4.832
p	p	0.0	4.832
r	r	0.0	4.832
r_t	r_t	0.0	4.832
r_χ	r_χ	0.0	4.832
s	s	0.0	4.832
s_ɫ	s_ɫ	0.0	4.832
t	t	0.0	4.832
v	v	0.0	4.832
v̥	v̥	0.0	4.832
ŋ	ŋ	0.0	4.832
ə	ə	0.0	4.832
ɦ	ɦ	0.0	4.832
ɫ	ɫ	0.0	4.832
ˈa	ˈa	0.0	4.832
ˈi	ˈi	0.0	4.832
ˈu	ˈu	0.0	4.832
ˈyː	ˈyː	0.0	4.832
ˈæ	ˈæ	0.0	4.832
ˈæː	ˈæː	0.0	4.832
ˈœ	ˈœ	0.0	4.832
ˈœu̯	ˈœu̯	0.0	4.832
ˈœɪ̯	ˈœɪ̯	0.0	4.832
ˈɑː	ˈɑː	0.0	4.832
ˈɔ	ˈɔ	0.0	4.832
ˈɔː	ˈɔː	0.0	4.832
ˈə	ˈə	0.0	4.832
ˈəɪ̯	ˈəɪ̯	0.0	4.832
ˈɛ	ˈɛ	0.0	4.832
ˈɛː	ˈɛː	0.0	4.832
ˈɪø̯	ˈɪø̯	0.0	4.832
ˈɪə̯	ˈɪə̯	0.0	4.832
ˈʊə̯	ˈʊə̯	0.0	4.832
χ	χ	0.0	4.832
χ_r	χ_r	0.0	4.832
