Phone1	Phone2	PMI
s_t	ʃ_d̥	9.444
χ_r	k_ʀ	8.805
<#_r	<#_ʀ	8.789
v̥_#>	b̥_#>	8.644
d_r	t_ʀ	8.126
ŋ_#>	n_#>	7.823
p_#>	f_#>	7.449
ˈu	ˈuː	7.254
ˈi	ˈiː	6.97
ˈœɪ̯	ˈau̯	6.91
p	f_#>	6.587
ˈa_d̥	ˈɑː_d̥	6.353
d	<#_d̥	6.306
ˈɑː_n	ˈoː_n	6.264
d_ˈə	d̥_ˈi	6.226
<#_ˈʊə̯	<#_ˈoː	6.194
ŋ	ŋ	6.183
ɦ	h	6.172
v̥	b̥_#>	6.095
p	v̥	6.094
ˈɪə̯	ˈɛ	6.09
ˈɔ	ˈu	5.816
ˈɔ	ˈo	5.755
b	p	5.733
ŋ	n_#>	5.677
<#_n	<#_n	5.663
v̥_#>	b̥	5.648
ə	i	5.623
m	m	5.546
v	v	5.505
ˈa	ˈɑ	5.414
ˈɑː	ˈɑː	5.331
r	<#_ʀ	5.288
b	b̥	5.27
<#_r	ʀ	5.145
k	kʰ	5.129
ˈœ	ˈi	4.973
ˈæː	ˈæ	4.971
ə	æ̆	4.971
ˈə	ˈi	4.963
v̥	f	4.939
t	ʦ	4.89
ˈʊə̯	ˈɔ	4.834
ɫ	l	4.786
ˈæ	ˈæ	4.658
ˈɛ	ˈe	4.629
d̥_#>	d̥_#>	4.629
p_#>	f	4.56
ˈɑː	ˈa	4.538
χ	ɣ̥	4.498
n	n	4.489
ˈəɪ̯	ˈai̯	4.476
d̥	d̥_#>	4.449
ˈʊə̯	ˈaː	4.442
ˈyː	ˈoi̯	4.319
ˈʊə̯	<#_ˈoː	4.289
ŋ_#>	n	4.272
χ	ɡ̊	4.176
d̥	d̥	4.144
χ	x	4.109
s	s	4.062
p	f	4.055
ˈa	ˈa	4.003
<#_ˈʊə̯	ˈoː	3.97
n	<#_n	3.956
ˈa	ˈɑː	3.943
r	ʀ	3.828
ˈœɪ̯	ˈoi̯	3.776
ˈɪə̯	ˈãː	3.761
ˈœu̯	ˈaː	3.69
d	d̥	3.685
s	ʃ	3.644
d	t	3.639
χ	k	3.593
<#_ˈa	<#_ˈɑ	3.402
<#_ˈɔ	<#_ˈu	3.39
ˈʊə̯	ˈẽː	3.389
k_ˈa	kʰ_ˈa	3.365
ˈəɪ̯	ˈaː	3.239
ə	ɐ	3.214
