Phone1	Phone2	Surprisal	OOV_Smoothed
#>	d̥_#>	0.0	4.796
<#_ʁ	<#_ɾ	0.0	4.796
b̥	b	0.0	4.796
b̥_#>	v̥_#>	0.0	4.796
d̥	d	0.476	4.796
d̥	d̥	1.83	4.796
f	v	0.608	4.796
f	p	2.193	4.796
f	f	3.0	4.796
h	ɦ	0.0	4.796
i	ə	1.0	4.796
i	ɪ_ŋ	1.0	4.796
i_ʃ	k	0.0	4.796
j	χ_ə	0.585	4.796
j	j	1.585	4.796
k	χ	0.485	4.796
k	k	1.807	4.796
k_s	s	0.0	4.796
kʰ	k	0.0	4.796
l	ɫ	0.072	4.796
l	ə_ɫ	4.358	4.796
m	m	0.0	4.796
n	n	0.052	4.796
p͡f	p	0.0	4.796
s	z	1.27	4.796
s	t	1.358	4.796
s	s	2.358	4.796
t	d̥	1.047	4.796
t	t	1.954	4.796
t	d	2.369	4.796
t	-	3.954	4.796
t_ʁ	d_ɾ	0.0	4.796
v	v	0.0	4.796
x	χ	0.485	4.796
x	k	1.807	4.796
ŋ	ŋ	0.0	4.796
ə	ə_n	0.948	4.796
ə	ə	1.507	4.796
ə	n	3.755	4.796
ə	-	4.17	4.796
ə_ʁ	ɾ	0.0	4.796
ɡ̊	χ	0.0	4.796
ʁ	ɾ	0.0	4.796
ʁ_ˈi	ˈɛ_ɾ	0.0	4.796
ʃ	s	0.766	4.796
ʃ	s_χ	2.087	4.796
ʃ	χ	2.503	4.796
ʃ_#>	k_#>	0.0	4.796
ʃ_t	s_t	0.0	4.796
ʃ_w	z_ʋ	0.0	4.796
ʋ	ʋ	0.0	4.796
ʦ	t	0.0	4.796
ˈe	ˈɛ	0.848	4.796
ˈe	ˈeː	2.17	4.796
ˈe	ˈʏ	2.17	4.796
ˈei̯	ˈi	0.737	4.796
ˈei̯	ˈeː	1.322	4.796
ˈeː	ˈi	1.585	4.796
ˈeː	ˈoː	1.585	4.796
ˈeː	ˈɛ	1.585	4.796
ˈi	ˈɪ	0.524	4.796
ˈi	ˈɛ	2.939	4.796
ˈi	ˈeː	3.524	4.796
ˈi	ˈœy̯	3.524	4.796
ˈiː	ˈi	1.848	4.796
ˈiː	ˈɛi̯	1.848	4.796
ˈiː	ˈu	2.585	4.796
ˈiː	ˈɪ	2.585	4.796
ˈiː	ˈyː	3.17	4.796
ˈo	ˈɔ	0.652	4.796
ˈo	ˈoː	1.459	4.796
ˈoː	ˈoː	0.907	4.796
ˈoː	ˈaː	1.1	4.796
ˈu	ˈɔ	0.807	4.796
ˈu	ˈoː	2.07	4.796
ˈu	ˈʏ	2.392	4.796
ˈyː	ˈœy̯	0.0	4.796
ˈæ	ˈeː	1.0	4.796
ˈæ	ˈɛ	1.0	4.796
ˈæː	ˈeː	0.737	4.796
ˈæː	ˈaː	1.322	4.796
ˈøː	ˈu	0.0	4.796
ˈɒ	ˈɑ	0.29	4.796
ˈɒ	ˈaː	2.459	4.796
ˈɒ_l	ˈɑu̯	0.0	4.796
ˈɒː	ˈɑ	0.0	4.796
ˈəi̯	ˈeː	0.737	4.796
ˈəi̯	ˈɛi̯	1.322	4.796
ˈʊː	ˈu	0.531	4.796
ˈʊː	ˈoː	1.7	4.796
