Phone1	Phone2	PMI
ʁ_#>	r_#>	9.868147850405403
<#_b̥	<#_b	9.66341514319689
ʁ_#>	r_ɑ	9.622492652350001
<#_ʋ	<#_w	9.478392492844284
<#_ʋ	<#_xʷ	9.478392492844284
<#_f	<#_ɸ	9.445416626159231
<#_h	<#_x	9.303987762086162
<#_s	<#_s	9.277090084628684
<#_ʃ	<#_s	9.262723634144072
<#_d̥	<#_d	9.261702335569353
j	ɣ_ɑ	9.171261778718865
ŋ_#>	ɡ	8.917798643227218
<#_ˈi	<#_ˈi	8.515248202286323
ˈiː_s	ˈiː_t	8.357319655378092
ˈoː_t	ˈɑu̯_ð	8.2636190348985
ʁ_n	r_n	8.162332155137706
ˈiː_t	ˈiː_ð	8.162332155137706
l_t	l_d	8.162332155137706
<#_j	<#_j	8.125273201805552
ə_#>	n_ɑ̃	8.015459276924734
f_#>	ɸ_#>	7.970808350762898
n_s	n_s	7.970808350762898
ˈəi̯_n	ˈɑi̯_n	7.930285701565166
ˈɒː_s	ˈɑ_s	7.9302857015651655
ˈeː_#>	ˈɑi̯_w	7.73529820132478
l_#>	lː_ɑ	7.674963570825832
b̥_#>	β_ɑ	7.637475017429565
ʃ_t	s_t	7.5943806784479095
ʃ_#>	k_s	7.540249284767316
ˈaː_v	ˈɑ_ɣ	7.499129184336617
ʁ_ˈoː	r_ˈɑu̯	7.473523985319673
ˈəi̯	ˈɑi̯	7.281681496691278
l_#>	l_ɑ	7.044118046318791
<#_t	<#_d	7.004355092360235
ˈæ	ˈe	6.870986028581348
s_#>	t_s	6.826967217158072
ˈoː	ˈɛː	6.817893442833746
ˈæː	ˈe	6.789281862635837
ˈyː	ˈuː	6.717332004145946
<#	<#_x	6.571682612114747
ˈe_n	nː	6.293079419715087
s_#>	s_#>	6.270239599315339
#>	ɔːː_#>	6.188627131689576
ˈu	ˈu_ŋ	6.155233392745735
f_#>	p	6.1291283876051965
ə_ʁ	i_z	6.091864942664882
m	m	6.080346607334998
ˈiː	ˈeu̯	5.912452332779328
ˈʊː	ˈɔː	5.898392380324259
ˈi	ˈi_s	5.82435428726546
ŋ	ŋ_ɡ	5.78084679169688
ˈo	ˈu	5.68586277298915
#>	ɑ̃_#>	5.593728130539619
ʦ	t	5.588751982364571
d̥	θ	5.553259647499012
ˈoː	ˈɑu̯	5.438725601583768
ˈi	ˈi	5.363658528653504
ˈe	ˈe	5.329007934655526
ˈiː	ˈɔː	5.31597466142588
ʁ	r_i	5.314335344514782
ˈʊː	ˈɑu̯	5.260022012853097
ˈu	ˈu	5.259075444697156
ˈei̯_#>	j	5.251302827382936
l	l	5.2496759414284275
x	x	5.171244434782795
ˈeː_ʁ	j	5.169598661437425
n_#>	n_ɑ̃	5.066620426442138
ˈɒː	ˈɑ	4.978278121769675
#>	s_#>	4.962444162375947
ˈɒ	ˈɑ	4.9452271710547295
t	t	4.925716862732336
ə	ɛː	4.623377849435782
#>	ɔ̃ː_#>	4.308313967072589
ʁ	r	4.265428037240165
ˈøː	ˈɔː	4.21168741544021
i	ɑ_ɣ	4.209686216570781
n_#>	n	4.192649961165622
ˈɒ_n	ˈɑ_n	4.091941221100481
ˈoː_ʁ	ˈɛː_r	4.064368448835564
f_ə	p_ɑ	4.044785735020281
#>	ɔː_#>	3.9564483922486753
ˈo_ʁ	ˈu_r	3.926022615742617
n_d̥	n_θ	3.9078733544018243
ˈe_n	nː_i	3.906439901927334
ɡ̊	ɣ	3.8898731561189996
<#_t_ʁ	d_r	3.8748872678881274
ˈɒ_s	ˈɑ_t	3.8659172527296017
l_#>	l	3.7993569267888323
s_#>	t_#>	3.757286909603593
k_s	x_s	3.7310351155022317
ˈu_ʁ	ˈu_r	3.6607847038719314
x_t	x_t	3.6607847038719314
ˈyː_s	ˈuː_s	3.6202620546741997
ʃ_#>	k_i	3.600262641242644
w	w	3.559599244463415
t_#>	ð_i	3.5206163978372005
n	n	3.5187015353126565
n_d̥	n_d	3.515096768668984
t_#>	ð_ɑ	3.5019720225576023
ʁ_#>	r_ɑ̃	3.474221683876905
ə_ʁ	r_ɔː	3.448369479983915
f	p_ɑ	3.447885476950031
ə_ʁ	r_ɑ̃	3.4027859288348736
ə_ʁ	ɛː_r	3.3100236468909667
n	m	3.0611811220787537
d̥	d	3.0387909883395463
ʃ	s_k	3.010801963136125
l_#>	lː	2.8740901973945796
v_ə	β	2.8492537345683897
<#	<#_j	2.7620403935837845
ʁ	r_ˈɑ	2.7249045425468217
s	t_ɑ	2.7172841097823563
ə_#>	ɑ_n	2.713815543282388
s	s	2.7004970586373584
i_#>	ɣ	2.680882848720253
l	l_ɑ	2.6148665866572744
k_ə	k	2.439829583839861
ə	ɑ_n	2.370650188739351
n	nː	2.3031779587587646
ˈu_k	ˈu	2.2831085669706557
#>	u_#>	2.1679637134601015
ˈiː	ˈiː	2.032955293295578
s_#>	t	2.029974239208668
<#	<#_ˈɑ	2.016724390979134
<#_ˈu	<#_ˈu	12.421688104213656
ʁ_m	r_m	12.421688104213656
<#_ʁ	<#_r	12.314378739251202
m_ə	m_ɔːː	12.119391239010817
<#_ʦ	<#_t	11.900940629473299
k_#>	ɣ_j	11.867762071622993
ˈʊː_t	ˈɔː_θ	11.8367256034925
ʁ_ˈu	r_ˈu	11.661369332936637
l_ˈɒ	l_ˈɑ	11.610701635121622
<#_n	<#_n	11.302320868400042
m_#>	m_ɑ	11.097417587028305
t_#>	ð_ɑ̃	11.068061955940145
ˈi_n	ˈi_n	11.01892285572503
ʃ_#>	k_ɑ	10.98253486323249
ə_ʁ	e_r	10.980877120944584
<#_m	<#_m	10.955239874322746
ʁ_ˈi	r_ˈi	10.8367256034925
ˈɒ_l	ˈɑ_l	10.830641701973759
d̥_#>	θ_ɑ̃	10.749047468214568
<#_l	<#_l	10.702121249620303
ˈu_n	ˈu_n	10.702011317433984
<#_ɡ̊	<#_ɣ	10.686132222610567
s_ə	t_ɑ	10.573581265472386
<#_ˈɒ	<#_ˈɑ	10.473845259343292
<#_kʰ	<#_k	10.20527237685845
d̥_#>	d_ɑ	10.203237494676138
n_#>	n_#>	10.166627276583206
<#_d̥	<#_θ	10.058049765817987
ŋ	ŋ	1.9553992539523142
s	t	1.792071981252441
t	ð	1.609720153270758
x	k	1.5563689262944511
ˈiː	ˈe	1.456160098325906
j	ɣ	1.3899580507293605
t	d	1.388660025248423
ə	ɔː	1.3792312488129772
ə_ʁ	r	1.3371042943098794
ˈiː	i	1.135871512619322
ʁ_#>	#>	0.8304007840205182
