Alsatian	Ripuarian	probability
ˈʊː	ˈoː	1.0
ˈəi̯	ˈeː	1.0
ˈøː	ˈoː	1.0
ˈæː	ˈɛː	1.0
ˈyː	ˈuː	1.0
ˈoː_t	ˈuː_d̥	1.0
ˈo_ʁ	ˈoː	1.0
ˈo	ˈɔ	1.0
ˈi_ŋ	ˈɪ_ŋ	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈei̯_#>	ˈeɪ̯_#>	1.0
ˈei̯	ˈeɪ̯	1.0
ˈe	ˈɛ	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ʁ_ˈu	ʀ_ˈœ	1.0
ʁ_ˈoː	ʀ_ˈuː	1.0
ʁ_#>	ɐ_#>	1.0
ə_#>	ə_#>	1.0
ə	-	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ_ɡ̊	1.0
x	x	1.0
w	ʋ	1.0
v	v	1.0
t_ʁ	ʀ	1.0
s_ə_ʁ	s_ɐ	1.0
s_ə	s_ə	1.0
s_#>	s_#>	1.0
p͡f	p	1.0
n_ə	ˈo_n	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈʊː	l_ˈoː	1.0
k_#>	k_#>	1.0
k	k	1.0
j	j	1.0
f_#>	f_#>	1.0
d̥_#>	ɡ̊_#>	1.0
d̥	d	1.0
b̥_#>	v̥_#>	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʋ	<#_ʋ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʁ	<#_ʀ	1.0
<#_ɡ̊	<#_j	1.0
<#_s	<#_z	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d̥	<#_d	1.0
<#_b̥	<#_b	1.0
<#	<#_d	1.0
l	l	0.882
l_#>	l_#>	0.857
n_#>	n_#>	0.833
ˈɒ	ˈa	0.773
t	t	0.75
ˈɒː	ˈaː	0.714
ʁ	ʀ	0.706
ˈoː	ˈoː	0.6
n_d̥	ŋ	0.6
i	ɪ	0.6
n	n	0.571
t_#>	#>	0.526
ˈi	ˈe	0.524
ˈæ	ˈɛː	0.5
ˈæ	ˈɛ	0.5
t_ə	t	0.5
t_ə	d	0.5
f	p	0.5
f	f	0.5
t_#>	d̥_#>	0.474
ˈu	ˈo	0.471
ʃ	ɕ	0.429
ʃ_#>	ʃ_#>	0.4
ʃ_#>	ɕ_#>	0.4
n_d̥	n_d̥	0.4
i	ɕ	0.4
ˈeː	ˈyː	0.333
ˈeː	ˈiː	0.333
ˈeː	ˈeː	0.333
n	ŋ	0.333
ʁ	ɐ	0.294
ˈɒː	ˈa	0.286
ʃ	ʃ	0.286
ʃ	s	0.286
ˈiː	ˈøː	0.25
ˈiː	ˈyː	0.25
ˈiː	ˈiː	0.25
ˈiː	ˈeː	0.25
t	d	0.25
ˈɒ	ˈaː	0.227
ˈoː	ˈɔ	0.2
ˈoː	-	0.2
ʃ_#>	x_#>	0.2
ˈu	ˈu	0.176
n_#>	ŋ_#>	0.167
ˈi	ˈʏ	0.143
ˈi	ˈɪ	0.143
l_#>	ə_l_#>	0.143
ˈu	ˈɔ	0.118
ˈu	ˈœ	0.118
ˈu	-	0.118
l	l_ə	0.118
ˈi	ˈœ	0.095
ˈi	ˈeː	0.095
n	ŋ_ɡ̊	0.095
