Phone1	Phone2	PMI
ˈɛ_n	ˈɛ_n	11.889
ˈʊ_ɫ	ˈʊ_l	11.468
ˈaʊ̯_s	ˈuː_s	11.078
ˈi_#>	ˈiː_#>	10.967
ʃ_#>	ʃ_#>	10.959
ˈi_ɚ	ˈiː_æ	10.756
ˈoʊ̯_ɫ	ˈɔ_l	10.626
<#_j	<#_j	10.583
<#_ɹ	<#_r	10.278
<#_kʰ	<#_kʰ	10.078
p_#>	p_#>	10.033
<#_m	<#_m	9.922
<#_tʰ	<#_tʰ	9.861
<#_n	<#_n	9.682
k_#>	k_#>	9.67
f_#>	f_#>	9.653
<#_ɫ	<#_l	9.53
<#_ʧ	<#_kʰ	9.53
s_#>	s_#>	9.335
<#_ɡ	<#_ɡ	9.319
ɫ_#>	l_#>	9.278
v	b_m	9.124
<#_b	<#_b	8.902
ˈɑ_ɹ	ˈaː	8.898
m_#>	m_#>	8.817
<#_h	<#_h	8.659
<#_f	<#_f	8.634
ʔ	t_n	8.577
<#_ʃ	<#_ʃ	8.511
<#_w	<#_v	8.447
<#_ɡ	<#_j	8.289
<#_d	<#_d	8.168
d_#>	d_#>	8.136
<#_θ	<#_d	8.133
ɚ_#>	æ_#>	8.132
<#_s	<#_z	8.096
n_t	n_t	7.516
ŋ_ɡ	ŋ	7.499
ɹ_n	æ_n	7.46
n_#>	n_#>	7.406
#>	ŋ_#>	7.373
<#_s	<#_ʃ	7.287
ˈaɪ̯_n	ˈiː_n	7.262
ˈɔ_ɹ	ˈuː_æ	7.198
k_ɪ	k	7.14
n_d_ɚ	n_æ	7.026
i	ɪ_ç	6.638
ˈɪ_n	ˈɪ_n	6.623
ŋ_#>	ŋ_#>	6.547
ˈoʊ̯	ˈeː	6.52
n_d	n_d	6.491
p	p_n	6.462
ɫ_#>	ɡ_l_#>	6.427
ŋ	ŋ_k	6.102
d	d_n	6.056
ˈʊ	ˈaʊ̯	6.0
ˈaʊ̯	ˈuː	5.968
k	k_n	5.897
ˈaɪ̯	ˈaʊ̯_x	5.727
ɹ	r	5.694
ˈʌ	ˈʊ	5.492
ˈi	ˈɔʏ̯	5.379
w	w	5.34
<#	<#_kʰ	5.334
ʔ_#>	t_#>	5.134
ˈæ	ˈa	5.125
ˈæ	ˈa_l	5.03
t	t	4.959
ˈeɪ̯	ˈɒː	4.956
ɫ	l	4.851
ˈɪ	ˈɪ	4.83
ˈeɪ̯	ˈa_x	4.772
ˈu	ˈae̯	4.682
d_#>	t_#>	4.656
ˈaɪ̯	ˈɪ	4.564
ˈoʊ̯	ˈae̯	4.477
ʤ	ç	4.406
ˈɑ	ˈɔ	4.37
p	p	4.251
ˈɔ	ˈuː	4.21
ˈɛ	ˈoː	4.127
ˈi	ˈɒː	4.058
ˈi	ˈae̯	4.045
ˈʌɪ̯_ʔ_#>	ˈɪ_ç_#>	4.032
<#_ˈʌ	<#_ˈʊ	3.977
ˈʌɪ̯	ˈiː	3.932
ˈɪ_ʤ	ˈʏ_ç	3.927
ˈi_n	ˈɔʏ̯_n	3.927
ˈaɪ̯_#>	ˈaʊ̯_x_#>	3.896
ˈʌ_ð	ˈaʊ̯_ɾ	3.757
ˈɪ_ŋ	ˈɪ_ŋ	3.757
ˈeɪ̯	ˈa	3.703
ˈæ_n	ˈa_n	3.697
ˈi_ɚ	ˈyː_æ	3.65
#>	t_#>	3.643
ˈʌɪ̯_ʔ	ˈɪ_ç	3.624
ˈɛ_ɚ	ˈoː_æ	3.562
ˈɛ_ɫ	ˈɛ_l	3.562
s_t	s_t	3.551
ˈoʊ̯_n	ˈae̯_n	3.537
<#_ˈaʊ̯	<#_ˈuː	3.537
ˈɛ	ˈɛ	3.469
ˈɑ_ɫ	ˈɔ_l	3.451
ð_ɚ	ɾ_æ	3.432
ˈʌ	ˈuː	3.427
ˈaɪ̯_d	ˈiː_t	3.424
<#_ˈæ	<#_ˈa	3.398
ˈɑ	ˈa	3.394
ˈɪ	ˈiː	3.327
ˈu	ˈaʊ̯	3.311
ˈʌɪ̯_ʔ	ˈa_x	3.291
ˈɪ	ˈʏ	3.216
v	m	3.201
ˈi	ˈɛː	3.162
ˈi_#>	ˈae̯_#>	3.131
ˈaɪ̯	ˈiː	3.128
ˈʌ	ˈœː	3.098
ˈi	ˈoː	3.088
ʧ_#>	k_#>	3.075
θ_#>	d_#>	3.042
v_#>	f_#>	3.008
ˈaʊ̯_#>	ç_#>	2.987
ˈaɪ̯_n	ˈɪ_n	2.895
ˈaɪ̯	ˈae̯_ŋ	2.739
ˈeɪ̯	ˈɛ	2.719
ˈɪ	ˈɛ	2.689
n	n	2.667
k_s	s	2.618
ɹ_#>	æ_#>	2.523
ˈʌ	ˈɔ	2.482
ˈɛ_s	s	2.423
ð	ɾ	2.271
ˈi	ˈaʊ̯	2.263
s	s	2.061
ʧ	k	1.987
#>	m_#>	1.981
#>	k_#>	1.981
ˈʌ	ˈɒː	1.981
ɫ_oʊ̯	l	1.862
ˈʌ_n	n	1.831
ˈæ	ˈaː	1.779
n_d	n	1.734
d	d	1.658
ˈɝ	æ	1.603
ʔ	t	1.501
ˈɛ	ˈaʊ̯	1.461
n_#>	#>	1.334
ˈoʊ̯	ˈaʊ̯	1.181
d	t	1.099
ɹ	æ	1.007
ˈɪ	ˈae̯	0.974
