Phone1	Phone2	PMI
s_#>	z̥_#>	9.736
ˈi_#>	ˈiː_#>	9.269
ˈoʊ̯_n	ˈɛɪ̯_n	9.253
i	ɪ	8.578
s_#>	z̥	8.464
tʰ	<#_t	8.373
<#_tʰ	<#_t	8.373
j	j	7.741
ʃ	ʃ	6.828
ˈɝ	ˈoː	6.81
ŋ	ŋ	6.721
ˈoʊ̯_k	ˈɛɪ̯_k	6.664
p	p	6.59
ˈu	ˈaʊ̯	6.587
ˈi	ˈiː_#>	6.47
s	z̥_#>	6.408
d_ˈɛ	d_ˈeo̯	6.364
ˈaɪ̯_n	ˈiː_n	6.318
i	ɪ_ç	6.25
h	h	6.231
ɡ	ɣ	6.072
z	z	6.027
ˈi_#>	ˈiː	6.023
ˈaʊ̯	ˈuː	5.952
ˈɝ	ˈoː_ɐ	5.825
<#_n	<#_n	5.805
b	b	5.762
v_#>	f_#>	5.739
m	m	5.626
ˈʌ	ˈʊ	5.607
ɹ_ʔ	ɐ_t	5.531
k	k	5.516
f	f	5.435
kʰ	k	5.425
w	w	5.343
ɹ_m	ɐ_m	5.332
ˈɑ_ɹ	ˈa_ɐ	5.295
ˈæ	ˈa	5.283
ˈeɪ̯	ˈɒː	5.279
ˈɑ	ˈɔ	5.218
v	v	5.189
s	z̥	5.137
ˈɪ	ˈɪ	5.065
ˈɛə̯	ˈa	5.036
ˈɛ	ˈeː	5.023
s	s	5.006
ˈaɪ̯	ˈiː	4.912
l	l	4.839
t	t	4.746
ɫ	l	4.693
s	z	4.689
v	f_#>	4.682
ˈɝ	ɐ	4.671
d	d̥	4.66
tʰ	t	4.652
<#_tʰ	t	4.652
<#_d	<#_d	4.635
ɚ	ɐ	4.633
ˈoʊ̯	ˈɔ	4.624
ˈɑ	ˈa	4.591
ˈɛ	ˈʏ	4.538
ˈæ	ˈaː	4.498
ˈæ	ˈa_l	4.452
ɹ	r	4.412
ˈi	ˈɔʏ̯	4.398
p	b_m	4.348
#>	z̥_#>	4.338
ˈoʊ̯	ˈɛɪ̯	4.329
ˈɪ	ˈɛ	4.285
θ	d	4.282
ˈɪ	ˈʏ	4.175
ʔ	t	4.145
n	<#_n	4.125
ˈʊ	ˈʊ	4.117
ʧ	k	4.108
z	z_ə	4.048
θ_#>	d̥_#>	4.035
#>	ˈiː_#>	4.005
n	n	3.919
<#	<#_t	3.874
d	d	3.843
ˈi	ˈɒː	3.816
ˈʌɪ̯	ˈiː	3.723
<#_d	d	3.649
ˈoʊ̯	ˈɛɪ̯_n	3.54
v_#>	f	3.522
p	b	3.446
n_t	n_t	3.433
s_ˈɪ	z_ˈɪ	3.397
ˈi	ˈøː	3.394
i	ç	3.337
ˈi	ˈɛɪ̯	3.315
ˈi	ˈiː	3.224
ˈɪ_n	ˈɪ_n	3.221
ˈɛ	ˈɛ	3.204
θ_#>	d̥	3.184
d	<#_d	3.145
ˈɛ	ˈɛɪ̯	3.091
ˈi_z	ˈɛɪ̯_z	3.089
d_ˈi	d_ˈɛɪ̯	3.089
<#_ˈɑ	<#_ˈa	3.086
ˈaɪ̯_n	ˈɪ_nː	3.083
#>	z̥	3.067
θ	d̥	3.034
θ_ˈɪ	d_ˈɪ	3.026
n	nː	2.978
n_ˈeɪ̯	n_ˈɒː	2.972
ˈoʊ̯	ˈoː	2.944
ʔ	t_n	2.893
ˈʌ	ˈɔ	2.813
ˈʌ	ˈoː	2.777
ˈʌ	ˈuː	2.776
θ	d̥_#>	2.763
<#_n	n	2.703
ˈaɪ̯	ˈɛɪ̯_ŋ	2.702
ð	d	2.681
ˈɛ	ˈeo̯	2.6
k	ˈɛɪ̯_k	2.562
ˈɑ	<#_ˈa	2.558
<#	<#	2.511
#>	#>	2.511
ˈi	ˈeo̯	2.49
ˈi_#>	ˈɛɪ̯_#>	2.471
v	f	2.466
ˈoʊ̯	ˈɛɪ̯_k	2.417
ˈaɪ̯	ˈɛɪ̯	2.372
d_ɚ	n_ɐ	2.345
ˈɔ	ˈoː	2.258
ˈaɪ̯	ˈiː_n	2.216
ˈɑ	ˈa_ɐ	2.215
ˈɑ	ɐ	2.085
ˈaɪ̯	ˈɪ	2.082
ˈɪ	ˈiː	2.081
ɡ	ŋ	1.996
<#_ˈɑ	ˈa	1.887
ˈoʊ̯_n	ˈɛɪ̯	1.842
<#	<#_n	1.787
n	ˈɛɪ̯_n	1.751
ˈi	ˈɛɪ̯_#>	1.737
ˈɛ	d_ˈeo̯	1.702
ŋ_ɡ	ŋ	1.65
ɫ	l_ə	1.604
p	m	1.591
ɹ	ɐ	1.588
ˈɛ	ˈɛː	1.539
ˈʌɪ̯	ˈɪ	1.53
ˈæ	l	1.504
ˈʊ	ˈaʊ̯	1.488
ˈɑ	ˈɒː	1.485
ˈʌ	ˈʏ	1.471
ʔ	ɐ_t	1.468
d	d_ˈeo̯	1.427
z	ˈɛɪ̯_z	1.416
m	ɐ_m	1.411
#>	f_#>	1.389
ˈaɪ̯	ŋ	1.374
d_ˈɛ	ˈeo̯	1.328
n	ˈiː_n	1.282
ˈi_#>	ˈɛɪ̯	1.211
ˈeɪ̯	ˈa	1.129
ˈʌ	ˈaʊ̯	1.123
ˈeɪ̯	n_ˈɒː	0.972
w	v	0.951
ɹ_m	m	0.914
ˈɑ_ɹ	ˈa	0.888
ˈoʊ̯_k	ˈɛɪ̯	0.853
ˈoʊ̯_k	k	0.853
ˈaɪ̯_n	ˈiː	0.836
d_ˈɛ	d	0.815
ˈaɪ̯_n	nː	0.796
#>	ˈiː	0.759
t	n_t	0.71
<#	<#_d	0.704
ɫ	ə	0.681
ɹ	ɐ_t	0.661
n_d	nː	0.645
ˈaɪ̯	ˈɪ_nː	0.571
ɹ	ˈa	0.54
ˈaɪ̯	nː	0.535
#>	d̥_#>	0.526
ɾ	t	0.476
d	nː	0.458
ˈoʊ̯_n	n	0.431
k	k_n	0.416
ˈɑ_ɹ	ɐ	0.415
ˈɪ	d_ˈɪ	0.386
ˈɪ	z_ˈɪ	0.35
ð_ɚ	ɐ	0.268
#>	ˈɛɪ̯_#>	0.238
ɹ	ˈa_ɐ	0.197
ˈɪ	ˈɪ_n	0.191
ɹ	ɐ_m	0.189
ˈʌ_n	ˈʊ	0.186
<#	t	0.153
ɚ	n_ɐ	0.139
d	d_ˈɛɪ̯	0.113
s	z_ˈɪ	0.111
θ	d_ˈɪ	0.09
ˈi_z	z	0.059
n	n_t	0.043
n	ˈɪ_nː	0.026
ˈi	ˈɛɪ̯_z	-0.018
s_ˈɪ	z	-0.028
<#	<#_ˈa	-0.031
ˈi	d_ˈɛɪ̯	-0.064
ɹ_ʔ	t	-0.126
θ_ˈɪ	ˈɪ	-0.136
ˈɪ_n	ˈɪ	-0.136
ˈaɪ̯_n	n	-0.141
d_ˈi	d	-0.184
n	ˈɪ_n	-0.195
s_ˈɪ	ˈɪ	-0.207
<#	d	-0.282
t	n	-0.302
#>	d̥	-0.325
n_ˈeɪ̯	ˈɒː	-0.349
ɹ_ʔ	ɐ	-0.377
ɹ_m	ɐ	-0.377
n_t	t	-0.409
ˈeɪ̯	n	-0.42
d_ˈi	ˈɛɪ̯	-0.467
ˈi_z	ˈɛɪ̯	-0.486
n	k_n	-0.529
ˈaɪ̯_n	ˈɪ	-0.541
d_ɚ	ɐ	-0.551
θ_ˈɪ	d	-0.59
ʔ	n	-0.591
n_t	n	-0.628
n_d	n	-0.628
ˈɪ_n	n	-0.672
n_ˈeɪ̯	n	-0.672
n	t	-0.749
d	n_ɐ	-0.764
k	n	-0.808
#>	f	-0.827
ɹ	m	-1.019
#>	ˈɛɪ̯	-1.022
n	k	-1.026
ˈoʊ̯	n	-1.045
ˈaɪ̯	n	-1.066
m	ɐ	-1.077
ˈi_#>	#>	-1.089
tʰ	<#	-1.089
s_#>	#>	-1.089
<#_tʰ	<#	-1.089
θ_#>	#>	-1.124
<#_n	<#	-1.124
<#_d	<#	-1.124
v_#>	#>	-1.126
d	n	-1.145
d_#>	#>	-1.162
<#_ˈɑ	<#	-1.162
n	ˈʊ	-1.164
<#	ˈa	-1.231
<#	n	-1.315
