Phone1	Phone2	PMI
ˈɪ_v	ˈeː_v	9.767
ɹ_n	ɾ_n	9.114
ˈɛ_n	ˈiə̯_n	8.937
d_ˈi	d_ˈiə̯	8.88
f_#>	v̥_#>	8.823
<#_n	<#_n	8.573
tʰ	<#_t	8.567
<#_ɹ	<#_ɾ	7.933
f_#>	v̥	7.274
ʃ	ʃ	6.972
ŋ	ŋ	6.82
p	p	6.82
pʰ	<#_p	6.733
s_ˈʌ	z_ˈoː	6.628
f	v̥_#>	6.609
<#_ˈʌ	<#_ˈɔ	6.348
b	b	6.324
d_ˈɛ	d_ˈoː	6.258
ˈaʊ̯	ˈyː	6.143
n	<#_n	6.004
m	m	5.939
f_ˈi	v_ˈuə̯	5.879
ɚ_#>	ɾ_#>	5.732
ˈæ	ˈɑ	5.695
ˈaɪ̯	ˈi	5.628
ˈoʊ̯	ˈɛː	5.553
w	ʋ	5.496
ɹ	<#_ɾ	5.42
ˈɪ	ˈɪ	5.346
ɚ	ɾ_#>	5.233
kʰ	k	5.22
ˈɑ	ˈɒː	5.164
ˈu	ˈuə̯	5.152
d_ɹ	d_ɾ	5.123
v	v	5.11
ˈʌ	ˈøː	5.08
f	v̥	5.061
k	k	5.052
ˈɔ	ˈoː	5.015
ˈeɪ̯	ˈɒː	5.002
ɫ	l	4.937
ˈʊ	ˈuə̯	4.934
t	t	4.713
f	v	4.691
tʰ	t	4.619
d	d̥	4.579
s	z	4.565
ˈʌ	<#_ˈɔ	4.512
s	s	4.48
pʰ	p	4.48
ˈɛ	ˈeː	4.396
v	v_ə	4.363
ˈoʊ̯	ˈu	4.36
ˈɝ	ˈæ	4.304
<#_ˈʌ	ˈɔ	4.286
v	ˈeː_v	4.25
d	d	4.186
θ	d	4.173
ʔ	t	4.112
ʃ	ʃ_h	4.092
θ_#>	d̥_#>	4.041
<#_n	n	4.019
ˈi	ˈiə̯	4.012
ˈʌɪ̯	ˈɑ_h	4.006
n	n	3.993
ˈɪ	ˈi	3.945
ʧ	k	3.903
ˈɪ	ˈœ	3.887
ˈʌɪ̯	ˈɑ	3.841
ˈʊ	ˈœ	3.746
ˈɛ	ˈoː	3.711
ʃ	s	3.663
ˈʌɪ̯	ˈɛ	3.6
ˈɑ	ˈɔ	3.534
ˈʌ	ˈoː	3.509
ɚ	ə_ɾ	3.461
<#_ɹ	ɾ	3.411
ˈæ_n	ˈɑ_n	3.386
s_ɫ	s_l	3.34
ˈɪ	ˈeː	3.336
ɹ	ɾ	3.327
ˈɪ	ˈɛ	3.248
ˈɔ	ˈɔ	3.226
#>	v̥_#>	3.222
θ_#>	d̥	3.179
θ	d̥	3.16
ˈɪ	ˈeː_v	3.138
ˈɝ	ˈæ_ɾ	3.1
ð	d	3.097
ˈɛ_d	ˈoː_d̥	3.043
ˈi	ˈuə̯	3.039
ˈɛ	ˈiə̯	3.038
ˈɛ	ˈiə̯_n	3.011
j	j	2.967
ˈi_m	ˈoː_m	2.959
θ	d̥_#>	2.93
ɚ_#>	ɾ	2.899
ɚ	ɾ	2.899
ˈi_#>	ˈiə̯_#>	2.868
ˈaɪ̯	ˈɪ	2.843
ˈʌ	ˈuə̯	2.824
<#	<#_t	2.783
ˈɪ_v	ˈeː	2.765
ˈʌ	ˈœ	2.713
<#	<#_n	2.696
ʃ_#>	s_#>	2.658
kʰ	<#_k	2.647
ʔ	t_n	2.622
<#	<#_ɾ	2.622
ˈʌ	ˈu	2.62
ˈʌ	ˈyː	2.619
ɚ	ə	2.599
ʃ	h	2.581
ˈi_ʔ	ˈuə̯_t	2.543
ˈɛ_ɫ	ˈæ_w	2.542
<#	<#	2.53
#>	#>	2.53
n	ɾ_n	2.492
ˈɛ	ˈæ	2.476
ɫ	w	2.471
ˈʌ	ˈɔ	2.45
ˈi	ˈɒː	2.444
ˈoʊ̯	ˈeː	2.43
#>	ɾ_#>	2.426
ˈoʊ̯_ɫ	ˈu	2.419
ɹ_ˈi	ɾ_ˈoː	2.367
ˈi	d_ˈiə̯	2.309
ˈeɪ̯	ˈɑ	2.27
ˈi	ˈeː	2.258
ˈi	ˈoː	2.199
ʃ	s_#>	2.13
d	d_ˈiə̯	2.107
ˈɛ	w	2.103
ˈi	ˈiə̯_#>	2.034
ˈʌ	z_ˈoː	2.007
ɹ	ɾ_n	1.982
n	ˈiə̯_n	1.963
ɫ	ˈu	1.938
ˈɛ	d_ˈoː	1.873
k	k_n	1.856
d_ˈi	d	1.817
z	s	1.795
ˈɛ_n	ˈiə̯	1.764
ʃ_#>	s	1.763
ɫ_#>	l	1.729
d_ˈi	ˈiə̯	1.707
ˈɝ	ɾ	1.705
#>	v̥	1.674
ˈi_#>	ˈiə̯	1.632
ˈɑ	ˈæ	1.602
ˈoʊ̯_ɫ	l_ə	1.536
<#	<#_p	1.511
ˈɪ_v	v	1.51
ɫ_#>	l_ə_#>	1.496
ɾ_ɚ	t_ɾ	1.408
ˈaɪ̯	ˈiə̯	1.353
ə	ə	1.349
ɾ	ɾ	1.341
ˈu	ˈɑ	1.313
ɾ	t_ɾ	1.226
f	v_ˈuə̯	1.178
s	z_ˈoː	1.171
ˈɔ	ˈɑ	1.113
ˈɛ_ɫ	w	1.1
ɹ	ˈæ	1.098
ˈi	v_ˈuə̯	1.074
ˈʌ	ˈɑ	1.071
ˈɪ	ˈæ	1.057
<#	<#_ˈɔ	1.009
k	s	1.007
ɫ_#>	ə	1.006
d	d_ˈoː	0.981
s_ˈʌ	z	0.946
f_ˈi	ˈuə̯	0.83
d_ˈɛ	d	0.83
d_ɹ	d	0.83
k_s	s	0.824
ˈaɪ̯	ˈiə̯_ɦ	0.818
d_ˈɛ	ˈoː	0.79
s_ˈʌ	ˈoː	0.756
ˈæ	ˈɑ_n	0.662
f_ˈi	v	0.558
ˈu	ˈɑ_n	0.518
ɾ	t	0.466
ˈɛ_n	n	0.419
ɹ_n	n	0.419
ˈʌɪ̯	h	0.388
ˈɛ	ˈoː_d̥	0.354
ˈoʊ̯	ə	0.35
#>	ˈiə̯_#>	0.33
ˈoʊ̯	l	0.273
ʔ	h_t	0.273
d	d_ɾ	0.24
ˈɛ	ˈæ_w	0.212
ɫ	l_ə_#>	0.21
ɫ	ˈæ	0.083
ˈɛ_ɫ	ˈæ	0.071
n	ˈɑ_n	0.064
ɫ	s_l	0.054
s	s_l	0.044
m	ˈoː_m	0.023
d	ˈoː_d̥	0.013
#>	d̥_#>	-0.001
ˈoʊ̯	l_ə	-0.024
ɹ	ˈoː	-0.056
ˈi	ˈoː_m	-0.07
ˈi_m	m	-0.075
ɫ	l_ə	-0.097
<#	<#_k	-0.122
ˈæ_n	ˈɑ	-0.128
ʔ	ˈuə̯_t	-0.165
s_ɫ	s	-0.169
ɹ_n	ɾ	-0.189
ɫ	ə	-0.192
ʤ	ɦ	-0.2
ɹ_ˈi	ˈoː	-0.219
ˈɛ_d	d̥	-0.223
ˈi	ˈuə̯_t	-0.231
s_ɫ	l	-0.271
ˈi_m	ˈoː	-0.292
ˈɛ_d	ˈoː	-0.294
ʧ	k_ə	-0.297
ɹ	d_ɾ	-0.298
ˈi_ʔ	ˈuə̯	-0.301
ˈi	ɾ_ˈoː	-0.336
ˈɛ	ɾ	-0.352
#>	ɾ	-0.408
#>	s_#>	-0.442
ɫ	s	-0.572
s	l	-0.577
ˈoʊ̯_ɫ	l	-0.607
ˈi	ɾ	-0.634
ɚ	t_ɾ	-0.637
ˈæ_n	n	-0.638
d_ɹ	ɾ	-0.652
ɾ_ɚ	ɾ	-0.659
ɫ	ˈæ_w	-0.731
ʔ	n	-0.735
ˈi_ʔ	t	-0.739
<#	p	-0.741
k	n	-0.796
ɹ	ɾ_ˈoː	-0.814
#>	d̥	-0.863
n	ɾ	-0.869
#>	ˈiə̯	-0.906
m	ˈoː	-0.972
<#	ˈɔ	-1.053
ɹ_ˈi	ɾ	-1.064
<#	k	-1.069
ɚ_#>	#>	-1.07
tʰ	<#	-1.07
h	<#	-1.07
f_#>	#>	-1.07
<#_ɹ	<#	-1.07
<#_n	<#	-1.07
ʤ	ɦ_ə	-1.074
<#_ˈʌ	<#	-1.113
θ_#>	#>	-1.115
pʰ	<#	-1.115
ˈi	m	-1.121
ˈoʊ̯_ɫ	ə	-1.122
n	ˈiə̯	-1.126
ɫ_#>	#>	-1.155
kʰ	<#	-1.155
ˈi_#>	#>	-1.157
ʃ_#>	#>	-1.158
<#	t	-1.164
ˈaɪ̯	ɦ	-1.189
ˈu	n	-1.228
#>	s	-1.338
#>	l	-1.343
ˈæ	n	-1.388
d	ɾ	-1.408
#>	ə	-1.471
n	ˈɑ	-1.476
ɾ_ɚ	t	-1.534
ɚ	#>	-1.569
#>	l_ə_#>	-1.576
ʃ	#>	-1.686
ɡ	ɦ	-1.738
<#	n	-1.858
v	ˈeː	-1.885
<#	ɾ	-1.9
ˈɛ	n	-1.929
ɹ	n	-1.971
ˈi	#>	-1.992
θ	#>	-2.226
ɫ	#>	-2.441
v	ə	-2.664
ˈʌ	<#	-2.948
ˈʌ	z	-2.998
ɚ	t	-3.004
ɹ	d	-3.099
f	ˈuə̯	-3.233
f	#>	-3.284
ˈi	v	-3.569
ɹ	<#	-3.583
n	<#	-3.639
ʤ	ə	-4.208
ˈɪ	v	-4.216
s	ˈoː	-4.806
ˈɛ	d	-5.94
d	ˈiə̯	-7.407
ˈi	d	-7.89
d	ˈoː	-8.722
ˈɛ	d̥	-inf
ˈi	t	-inf
ʧ	ə	-inf
ʔ	ˈuə̯	-inf
ʔ	h	-inf
