Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ə_#>	0.29	5.192
#>	v̥_#>	2.459	5.192
<#_d̥	<#_t	0.0	5.192
<#_l	<#_l	0.0	5.192
<#_n	<#_n	0.0	5.192
<#_r	<#_ʀ	0.0	5.192
a	ə_ʀ	1.0	5.192
a	ə	1.531	5.192
a	-	2.7	5.192
b̥	b	0.337	5.192
b̥	v̥	3.0	5.192
b̥	v	3.585	5.192
d̥	d	0.893	5.192
d̥	dʲ	1.893	5.192
d̥	d̥	2.379	5.192
d̥_n	ə	0.0	5.192
f	f	0.632	5.192
f	p	1.954	5.192
f	v_ə	3.369	5.192
h	h	0.0	5.192
i	-	0.0	5.192
j	l	0.222	5.192
j	l_ə	2.807	5.192
j_d̥	lʲ	0.0	5.192
k	k	0.0	5.192
kʰ	k	0.0	5.192
l	l	0.0	5.192
l_#>	z̥_#>	0.0	5.192
m	m	0.131	5.192
m	v_ə	3.524	5.192
n	n	1.178	5.192
n	ə	1.178	5.192
n	nʲ	3.841	5.192
n	ʀ_n	4.426	5.192
n_#>	#>	0.0	5.192
n_d̥	n	0.807	5.192
n_d̥	nʲ	1.222	5.192
p͡f	p	0.0	5.192
r	ʀ	0.0	5.192
s	s	0.585	5.192
s	tʲ	2.7	5.192
s	z	3.7	5.192
s	d	4.285	5.192
s	t	4.285	5.192
t	t	0.692	5.192
t	d	2.392	5.192
t	d̥	2.392	5.192
t_#>	#>	0.0	5.192
x	x	0.893	5.192
x	k	1.115	5.192
ç	k	0.0	5.192
ŋ	ŋ	0.0	5.192
ɐ	ʀ	0.0	5.192
ə	-	0.0	5.192
ɡ̊	ɡ	1.152	5.192
ɡ̊	-	2.322	5.192
ɡ̊	j	2.737	5.192
ɡ̊	i	3.322	5.192
ɡ̊	x	3.322	5.192
ɡ̊_n	j_ə	0.0	5.192
ʃ	s	0.737	5.192
ʃ	ʃ	1.322	5.192
ʃ_#>	ʃ_#>	0.0	5.192
ʋ	v	0.0	5.192
ʋ_ˈo	ˈʊ	0.0	5.192
ʦ	t	0.0	5.192
ˈa	ˈa	1.585	5.192
ˈa	ˈuː	1.585	5.192
ˈa	ˈʊ	1.585	5.192
ˈai̯	ˈi	0.322	5.192
ˈai̯	ˈa	2.322	5.192
ˈai̯_s	ˈi_t	0.0	5.192
ˈau̯	ˈʏ	0.415	5.192
ˈau̯	ˈuː	2.0	5.192
ˈaː	ˈuː	0.0	5.192
ˈe	ˈa	1.585	5.192
ˈe	ˈeː	2.17	5.192
ˈe	ˈiː	2.17	5.192
ˈe	ˈɛː	2.17	5.192
ˈeɐ̯	n	0.0	5.192
ˈeː	ˈi	0.0	5.192
ˈi	ˈi	1.663	5.192
ˈi	ˈa	2.663	5.192
ˈi	ˈai̯	2.663	5.192
ˈi	ˈɛ	2.663	5.192
ˈi	ˈœ	3.248	5.192
ˈi	ˈʊ	3.248	5.192
ˈiɐ̯	ˈiː	0.737	5.192
ˈiɐ̯	ˈɛ	1.322	5.192
ˈiː	ˈa	1.0	5.192
ˈiː	ˈiː	1.0	5.192
ˈo	ˈœ	1.585	5.192
ˈo	ˈɒ	1.585	5.192
ˈo	ˈaː	2.585	5.192
ˈo	ˈeː	2.585	5.192
ˈou̯	ˈyː	0.0	5.192
ˈoɐ̯	ˈiː	1.485	5.192
ˈoɐ̯	ˈɔ	2.222	5.192
ˈoɐ̯	ˈiː_nʲ	2.807	5.192
ˈoɐ̯	ˈuː	2.807	5.192
ˈoɐ̯	ˈɛː_ʀ	2.807	5.192
ˈoː	ˈɔu̯	1.0	5.192
ˈoː	ˈɛi̯	1.0	5.192
ˈu	ˈʊ	1.138	5.192
ˈu	ˈʏ	1.459	5.192
ˈu	ˈa	2.459	5.192
ˈuɐ̯	ˈœ	0.585	5.192
ˈuɐ̯	ˈɛ	1.585	5.192
ˈɒ	ˈɒː	0.0	5.192
ˈɔ	ˈɒ	1.0	5.192
ˈɔ	ˈɔː	1.0	5.192
ˈɛ	ˈɛː	0.0	5.192
ˈɛː	ˈiː	0.0	5.192
