Phone1	Phone2	PMI
ʃ_n	ʃ_n	10.211
ɐ_d̥	æ_d̥	10.062
s_n	t_n	8.371
b̥_#>	v̥_#>	8.091
<#_s	<#_z	7.342
<#_d̥	<#_d	6.779
b̥_#>	v̥	6.769
d̥_n	d_n	6.725
kʰ	kʰ	6.679
<#_ˈi	<#_ˈɪ	6.6
ˈɑː	ˈɒː	6.186
ɐ_n	æ_n	6.17
ŋ	ŋ	6.165
<#_j	<#_j	6.087
ˈi_n	ˈʏ_n	6.019
<#_s	z	5.965
ʦ	tʰ	5.923
h	h	5.911
s	<#_z	5.854
ˈɑ	ˈa	5.77
j_d̥	l_d̥	5.741
r	r	5.701
b̥	v̥_#>	5.688
ˈou̯	ˈaʊ̯	5.664
ʃ	ʃ	5.581
ˈe	ˈɛ	5.58
ˈu	ˈʊ	5.497
ˈuɐ̯	ˈaʊ̯	5.494
<#_d̥	d	5.45
b̥	b	5.405
ˈau̯	ˈuː	5.393
f	f	5.375
f_#>	p_#>	5.334
m	m	5.287
<#_j	j	5.278
ˈeː	ˈɛ	5.27
ç	k	5.234
ˈoɐ̯	ˈae̯	5.227
ˈi	ˈɪ	5.19
ˈo	ˈɔ	5.184
d̥	<#_d	5.169
ˈu	ˈʏ	5.16
ˈiɐ̯	ˈae̯	5.13
ɡ̊	ɡ	5.041
ˈu	ˈɔ	5.001
x	k	4.984
ˈai̯	ˈyː	4.965
ˈiɐ̯	ˈɔʏ̯	4.951
s	z̥	4.927
l	l	4.899
ɡ̊_a	k_n	4.842
ˈo	ˈʊ	4.76
ɐ	æ	4.741
ˈɒː	ˈa	4.73
ˈai̯	ˈiː	4.683
n_a	nː	4.644
ˈɒː	ˈɒː	4.638
s	z	4.62
ˈi	<#_ˈɪ	4.591
ɐ	æ_d̥	4.448
b̥	v̥	4.367
a	æ	4.331
ʃ	s	4.291
ʦ_#>	t_#>	4.287
j	<#_j	4.287
x	x	4.222
ˈo	ˈuː	4.21
ɡ̊	ç	4.169
n	nː	4.109
f	p	4.065
f_#>	p	3.995
d̥	d	3.933
ɡ̊	k	3.927
ˈoː	ˈɒː	3.878
n	n	3.878
d̥	d̥	3.855
f	p_#>	3.848
ɐ	ˈoː	3.787
ˈeː	ˈae̯	3.764
<#_ˈi	ˈɪ	3.753
ʋ	w	3.724
ˈo	ˈa	3.663
j	l	3.611
f_a	p_n	3.507
j	j	3.478
ˈi	ˈiː	3.416
ˈuɐ̯	ˈɔʏ̯	3.408
x_d̥	x_t	3.4
l_ˈiɐ̯	l_ˈae̯	3.4
<#_ˈe	<#_ˈɛ	3.4
ˈoɐ̯	ˈae̯_n	3.393
#>	v̥_#>	3.347
ˈuɐ̯_#>	ˈaʊ̯_#>	3.318
ʦ	t	3.3
ˈɒː	ˈaː	3.231
ɡ̊	ɣ̊	3.221
ʃ	ʃ_n	3.219
<#_ˈɑ	<#_ˈa	3.192
ʃ_d̥	ʃ_t	3.08
ˈai̯	ˈʏ	3.072
ˈai̯_d̥	ˈiː_d̥	3.047
ˈaː	ˈaʊ̯	3.039
<#_n	<#_n	2.973
ʦ_#>	t	2.962
ʦ	t_#>	2.957
ˈiɐ̯_s	ˈɔʏ̯_t	2.954
s	t	2.846
d̥_a	t_æ	2.717
ˈɑ	<#_ˈa	2.663
ˈo_j	ˈa_l	2.663
ˈe	<#_ˈɛ	2.626
ˈuɐ̯	ˈaʊ̯_#>	2.498
<#	<#	2.46
#>	#>	2.46
s	s	2.453
d̥	t	2.414
ˈi	ˈʏ	2.321
<#	<#_d	2.291
j_#>	l_#>	2.184
ʃ_n	ʃ	2.176
ɐ	æ_n	2.175
<#_ˈe	ˈɛ	2.175
ɡ̊_#>	ç_#>	2.146
n	ʃ_n	2.143
<#	<#_z	2.09
ʋ	v	2.066
ɐ_d̥	d̥	2.053
ɐ	ˈoː_æ	2.042
#>	v̥	2.025
<#_ɡ̊	<#_j	2.023
ɡ̊	k_n	2.005
<#	<#_j	1.892
<#_ˈɑ	ˈa	1.874
ɡ̊_a	k	1.856
#>	p_#>	1.843
ˈai̯	ˈae̯	1.809
ŋ_#>	n_#>	1.805
n	<#_n	1.788
ˈuɐ̯_#>	ˈaʊ̯	1.781
d̥	ɾ	1.769
ɡ̊_#>	ç	1.74
ˈɑ	ˈɒː	1.732
ŋ	n	1.701
kʰ_ˈe	kʰ	1.691
d̥	æ_d̥	1.684
n	t_n	1.651
ˈi_n	ˈʏ	1.58
ˈe	ˈaː	1.576
x	ç	1.46
ˈa	ˈa	1.447
ɐ	ˈaː	1.446
s	t_n	1.425
<#_n	n	1.414
ɐ_d̥	æ	1.326
j	l_#>	1.284
<#_ɡ̊	j	1.213
f_a	p	1.195
ɡ̊	ç_#>	1.188
j	l_d̥	1.18
ˈi	ˈʏ_n	1.161
ŋ_#>	n	1.143
f	p_n	1.135
ŋ	n_#>	1.1
<#	<#_ˈɪ	1.063
n	d_n	1.048
ˈi	ˈɛ	0.987
j_#>	l	0.966
<#	d	0.963
j_d̥	d̥	0.942
j	ˈa	0.867
ˈiɐ̯	l_ˈae̯	0.798
d̥_n	d	0.794
<#	z	0.713
ˈoɐ̯	ˈɪ	0.698
<#	j	0.678
x	x_t	0.677
d̥	d_n	0.672
d̥_n	nː	0.658
s_n	t	0.657
a	nː	0.637
ˈiɐ̯	ˈɔʏ̯_t	0.578
d̥_a	æ	0.565
x_d̥	x	0.554
#>	p	0.504
ʃ_n	n	0.5
s_n	n	0.5
ŋ	ɡ	0.499
d̥	l_d̥	0.485
ˈiɐ̯	l	0.479
n	æ_n	0.469
ɐ_n	æ	0.467
ʋ	ˈɪ	0.443
ɡ̊_a	ç	0.441
ɡ̊_s	s	0.391
ɡ̊	s	0.384
n	ˈʏ_n	0.381
l	l_ˈae̯	0.371
ˈe_ɐ	ˈaː	0.35
ŋ	ɡ_n	0.344
#>	ˈaʊ̯_#>	0.331
ˈo	ˈa_l	0.32
l	ˈae̯	0.278
ˈiɐ̯_s	ˈɔʏ̯	0.232
#>	n_#>	0.178
l	ˈaʊ̯	0.166
j	ˈa_l	0.132
m	b_m	0.087
#>	t_#>	0.083
x	t	0.076
x_d̥	ç	0.063
d̥	x	0.062
ɡ̊	<#_j	0.045
d̥	nː	0.027
ˈo_j	ˈa	0.024
ʃ	t	0.008
ˈai̯	ˈiː_d̥	-0.036
ɐ_n	n	-0.05
l	l_ˈaʊ̯	-0.051
ʃ	ʃ_t	-0.073
d̥	ç	-0.073
a	t_æ	-0.073
<#	<#_ˈɛ	-0.084
ʃ_d̥	ʃ	-0.099
l_ˈiɐ̯	ˈae̯	-0.113
ˈi_n	n	-0.114
d̥_n	n	-0.114
m	b	-0.137
ˈai̯_d̥	d̥	-0.145
ˈi_n	ˈɪ	-0.18
<#	<#_n	-0.191
d̥	ʃ	-0.23
ˈo	l	-0.243
<#	<#_ˈa	-0.247
#>	ç_#>	-0.248
m_a	m	-0.258
d̥	x_t	-0.259
d̥	ˈiː_d̥	-0.261
#>	l_#>	-0.272
ɡ̊	ɪ_ç	-0.308
ˈai̯_d̥	ˈiː	-0.327
d̥	t_æ	-0.335
l_ˈiɐ̯	l	-0.339
s	ˈɔʏ̯_t	-0.353
x_d̥	t	-0.368
ʃ_d̥	t	-0.382
j_d̥	l	-0.424
ʋ	v_ˈɪ	-0.487
n	d	-0.511
n	t	-0.573
ɐ_ʦ	t	-0.575
n_d̥	n	-0.586
d̥	ʃ_t	-0.594
#>	ç	-0.654
d̥_a	t	-0.702
ˈiɐ̯_s	t	-0.716
ɡ̊	j	-0.765
n	ʃ	-0.968
ˈo_j	l	-0.981
ˈoɐ̯	n	-0.998
#>	n	-1.114
b̥_#>	#>	-1.14
<#_s	<#	-1.14
<#_d̥	<#	-1.14
ʦ_#>	#>	-1.159
