Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	0.7	5.301
#>	v̥_#>	2.115	5.301
#>	ç_#>	2.7	5.301
a	æ	0.541	5.301
a	-	3.0	5.301
a	m	3.415	5.301
a	n	3.415	5.301
b̥	b	0.0	5.301
b̥_#>	v̥_#>	0.0	5.301
b̥͡v̥	p	0.0	5.301
d̥	d	1.408	5.301
d̥	d̥	1.716	5.301
d̥	t	2.109	5.301
d̥	ɾ	3.524	5.301
d̥_n	nː	0.0	5.301
f	f	0.476	5.301
f	p	2.415	5.301
f	-	3.415	5.301
f_a	p_n	0.0	5.301
h	h	0.0	5.301
j	l	0.17	5.301
j	j	3.17	5.301
j_d̥	l_d̥	0.0	5.301
kʰ	kʰ	0.0	5.301
l	l	0.0	5.301
m	m	0.107	5.301
m	-	3.807	5.301
m_a	m	0.0	5.301
n	n	0.159	5.301
n	-	3.263	5.301
n_a	nː	0.0	5.301
n_d̥	n	0.0	5.301
r	r	0.0	5.301
s	z	1.188	5.301
s	t	1.657	5.301
s	z̥	2.55	5.301
s	s	3.773	5.301
s_n	t_n	0.0	5.301
x	k	0.7	5.301
x	x	1.379	5.301
ç	k	0.0	5.301
ŋ	ŋ	0.441	5.301
ŋ	n	2.663	5.301
ŋ	ɡ_n	3.248	5.301
ɐ	æ	0.585	5.301
ɐ	-	2.585	5.301
ɐ	ˈaː	2.585	5.301
ɐ_d̥	æ_d̥	0.0	5.301
ɑ	-	0.0	5.301
ə	-	0.0	5.301
ɡ̊	ɡ	1.379	5.301
ɡ̊	j	2.7	5.301
ɡ̊	k	2.7	5.301
ɡ̊	ç	2.7	5.301
ɡ̊	ɣ̊	3.7	5.301
ɡ̊	ɪ_ç	3.7	5.301
ɡ̊_a	ç	0.737	5.301
ɡ̊_a	k_n	1.322	5.301
ɡ̊_s	s	0.0	5.301
ʃ	ʃ	0.17	5.301
ʃ	s	3.17	5.301
ʋ	v	0.202	5.301
ʋ	w	2.939	5.301
ʦ	tʰ	0.459	5.301
ʦ	t	1.874	5.301
ʦ_#>	t_#>	0.0	5.301
ˈa	ˈa	0.0	5.301
ˈai̯	ˈiː	0.862	5.301
ˈai̯	ˈyː	2.322	5.301
ˈai̯	ˈae̯	2.737	5.301
ˈai̯	ˈʏ	3.322	5.301
ˈau̯	ˈuː	0.0	5.301
ˈaː	ˈaʊ̯	0.0	5.301
ˈe	ˈɛ	1.263	5.301
ˈe	ˈɛː	2.0	5.301
ˈe	ˈœ	2.585	5.301
ˈe	ˈʏ	2.585	5.301
ˈe_ɐ	ˈaː	0.0	5.301
ˈeː	ˈɛ	0.807	5.301
ˈeː	ˈae̯	1.222	5.301
ˈi	ˈɪ	0.524	5.301
ˈi	ˈiː	2.939	5.301
ˈi	ˈɛ	3.524	5.301
ˈi	ˈʏ	3.524	5.301
ˈiɐ̯	ˈae̯	0.322	5.301
ˈiɐ̯	ˈɔʏ̯	2.322	5.301
ˈiː	ˈɪ	0.0	5.301
ˈo	ˈɔ	1.737	5.301
ˈo	ˈa	2.0	5.301
ˈo	ˈuː	2.0	5.301
ˈo	ˈʊ	2.322	5.301
ˈou̯	ˈaʊ̯	0.0	5.301
ˈoɐ̯	ˈae̯	0.241	5.301
ˈoɐ̯	ˈɪ	2.7	5.301
ˈoː	ˈɒː	0.0	5.301
ˈu	ˈʊ	1.503	5.301
ˈu	ˈʏ	1.766	5.301
ˈu	ˈɔ	2.087	5.301
ˈu	ˈuː	3.087	5.301
ˈuɐ̯	ˈaʊ̯	0.29	5.301
ˈuɐ̯	ˈɔʏ̯	2.459	5.301
ˈɑ	ˈa	0.363	5.301
ˈɑ	ˈɒː	2.17	5.301
ˈɑː	ˈɒː	0.0	5.301
ˈɒː	ˈa	1.138	5.301
ˈɒː	ˈaː	1.874	5.301
ˈɒː	ˈɒː	1.874	5.301
β	-	0.0	5.301
