Phone1	Phone2	PMI
s_l	ʃ_l	9.531
ɡː_#>	k_#>	8.873
ɡː	k_#>	8.873
s_#>	z̥_#>	8.321
<#_ɾ	<#_ʀ	8.309
n_#>	ŋ_#>	8.258
l_#>	ɫ_#>	7.916
pː	p	7.629
pː	ˈo_p	7.568
ˈʏ	ˈœ	7.33
s_#>	z̥	7.083
ˈyː	ˈøʏ̯	6.913
s_ˈɑ	z_ˈa	6.765
s_t	s_t	6.44
h	h	6.323
ˈuː	ˈɔː	6.275
ˈʉ	ˈo	6.113
b	b	6.019
ˈœʏ̯	ˈoʊ̯	5.967
ˈɑː	ˈaː	5.947
ˈiː	ˈiː	5.897
p_#>	f_#>	5.795
kː	k	5.745
ˈɪ	ˈɪ	5.734
l_#>	ɫ	5.729
kʰ	k	5.726
ˈʉː	ˈuː	5.723
m	m	5.722
lː	ɫ	5.705
f	f	5.695
ɡː_#>	k	5.656
ɡː	k	5.656
ˈʉ	ˈɔ	5.631
ˈøː	ˈuː	5.622
<#_n	<#_n	5.565
n	ŋ_#>	5.548
ˈoː	ˈoː	5.543
s	z̥_#>	5.493
ŋː	ŋ	5.46
l	ɫ_#>	5.456
ˈɪ	ˈe	5.384
k	x	5.357
ɾ	<#_ʀ	5.352
t	t	5.352
ˈuː	ˈoː	5.334
ˈyː	ˈeː	5.294
ʂ	ʃ	5.285
ˈɑ	ˈa	5.268
d	d	5.173
n_#>	ŋ	5.143
ʋ_#>	v̥_#>	5.1
<#_ɾ	ʀ	5.083
l	l	5.063
ʋ	ʋ	5.038
p	f_#>	5.021
ˈɛ	ˈɛ	4.976
ç	k	4.929
ɳ	n	4.9
ˈiː	ˈe	4.823
p	p	4.801
lː	ɫ_d̥	4.672
n	<#_n	4.639
s	z	4.617
t	s	4.589
tʰ	ʦ	4.572
ˈœ	ˈoː	4.499
ˈøː	ˈuː_d̥	4.47
n	n	4.459
tʰ	d	4.446
ˈuː_#>	ˈoː_d̥_#>	4.265
ˈæɪ̯	ˈeɪ̯	4.263
s	z̥	4.255
k	ɕ	4.193
s	ʃ	4.064
nː	n	4.034
ɡ	ɣ	3.97
l	ɫ	3.96
ə	ə	3.903
ˈoː_#>	ˈoː_n_#>	3.885
ˈoː_#>	ˈoː	3.876
ˈuː_#>	ˈoː	3.873
ʋ_#>	v̥	3.862
nː	ŋ	3.831
ˈœ	ˈøː	3.802
<#	<#_ʀ	3.792
ɾ	ʀ	3.79
tː	ʦ	3.775
ˈyː	ˈyː	3.744
mː	m	3.721
ˈeː	ˈaː	3.698
ˈeː	ˈeː	3.536
ˈøː	ˈɔʊ̯	3.462
nː_ə	n_ə	3.403
ˈʉː_#>	ˈoː_#>	3.394
s_ˈøː	z_ˈøː	3.38
p_#>	f	3.331
<#_n	n	3.281
s_ˈɛ	z_ˈɛ	3.184
ˈøː_#>	ˈiː_#>	3.141
s	ʃ_#>	3.125
ɡ_#>	ɣ̊_#>	3.081
m_#>	m_#>	3.081
ˈæɪ̯	ˈeː	3.067
ˈæɪ̯	ˈeɪ̯_ɕ	3.065
ˈɑː	ˈa	3.062
k	ʃ_#>	2.906
ə	e	2.871
ˈuː	ˈoː_d̥_#>	2.767
lː	d̥	2.75
ˈʉː	ˈoː_#>	2.728
ɾ	ɐ	2.714
ˈoː	ˈoː_n_#>	2.69
ɡ_#>	ɣ̊	2.671
ʂ	ʃ_ˈe	2.656
p	f	2.557
ə	ɐ	2.555
m	m_#>	2.553
ˈɑː	ˈa_d̥	2.548
<#	<#	2.48
#>	#>	2.48
tː	s	2.477
ˈøː	ˈiː_#>	2.475
nː	ɡ̊	2.438
n	ŋ	2.433
ʋ	v̥_#>	2.423
ɡ	ɣ̊_#>	2.414
ˈɑ	ˈaː	2.354
nː	ŋ_ɡ̊	2.332
l	ʃ_l	2.302
ˈɑ	ˈɛ	2.29
ˈɛ	ˈeː	2.22
ˈɑ_ɾ	ˈɛ_ɐ	2.044
ˈøː_#>	ˈiː	2.018
ɡ	ɣ̊	2.004
ˈɛ	e	1.999
s	s	1.977
s_l	l	1.965
#>	v̥_#>	1.958
ˈʉː_#>	ˈoː	1.928
ˈɔ	ˈɔ	1.902
s	ʃ_l	1.889
m_#>	m	1.889
<#	<#_n	1.887
ˈɑ	z_ˈa	1.876
ŋː_#>	ŋ	1.798
s_l	ʃ	1.782
#>	z̥_#>	1.767
ˈʉː	ˈɛː	1.708
ˈeː	ˈɛ	1.699
#>	k_#>	1.656
s_t	t	1.654
j	ˈɛ	1.626
ˈøː	ˈøː	1.616
#>	ɫ_#>	1.596
ɡ	j	1.595
ˈɛ	ˈeɪ̯	1.583
ˈʉː	ˈɔʊ̯	1.558
t	s_t	1.528
ɾ_ə	ɐ	1.385
ə_ɾ	ɐ	1.385
ʂ	z	1.384
kː	ŋ_k	1.375
ˈøː	ˈiː	1.351
s	t	1.302
ˈɛ_tː	e	1.301
ˈæɪ̯	ɕ	1.276
ˈʉː	ˈoː	1.261
s	z_ˈa	1.26
ŋː_#>	ɡ̊	1.237
#>	ŋ_#>	1.225
ʋ	v̥	1.186
s_t	s	1.146
s_ˈɑ	z	1.14
nː	n_d̥	1.137
ˈɛ	ˈiː	1.086
ˈɛ	ʀ	1.064
k	ʃ	1.0
s	s_t	0.974
ʋ	v	0.966
ˈʉ	ʋ	0.942
kː	ŋ	0.869
ŋː_#>	ŋ_ɡ̊_#>	0.856
s_ˈɑ	ˈa	0.848
ŋː	ɡ̊	0.83
ˈɛ	h_ˈɛ	0.816
tː	ɕ	0.797
ˈʉ	ʋ_ˈɔ	0.775
j	h_ˈɛ	0.759
<#	<#_j	0.737
#>	f_#>	0.727
#>	v̥	0.721
ˈøː	z_ˈøː	0.692
ˈɑ	ɐ	0.662
<#	<#_ʋ	0.618
ˈoː	ˈoː_n	0.617
<#	ʀ	0.566
#>	z̥	0.53
nː	d̥	0.511
ɾ_ˈɛ	ʀ	0.474
nː	n_ə	0.467
ŋː	ŋ_ɡ̊_#>	0.449
n	d̥	0.405
ˈoː_#>	n	0.347
#>	ʃ_#>	0.347
s_ˈøː	ˈøː	0.339
j_ˈɛ	h_ˈɛ	0.309
ˈɛ	z_ˈɛ	0.251
s_k_ə_#>	ʃ_#>	0.25
b	b_ˈeː	0.22
s_ˈɛ	ˈɛ	0.06
#>	m_#>	0.052
ˈɑ	ˈɛ_ɐ	0.05
ɾ	ˈyː	0.045
s	z_ˈøː	0.032
s_ˈɛ	z	0.025
ˈoː	n	0.005
#>	ˈoː_#>	0.003
#>	ɣ̊_#>	0.003
j_ˈɛ	ˈɛ	-0.047
s_ˈœ	z	-0.086
s_ˈøː	z	-0.086
ˈɑ_ɾ	ˈɛ	-0.088
ɾ	d_ɐ	-0.101
ə	n_ə	-0.129
s	z_ˈɛ	-0.134
#>	ˈiː_#>	-0.143
ɾ	ˈɛ	-0.146
<#	j	-0.189
l	ʃ	-0.229
#>	d̥_#>	-0.238
n_ə	d̥	-0.264
s	l	-0.296
nː_ə	ə	-0.324
nː_ə	n	-0.37
ɾ	t	-0.383
<#	n	-0.397
#>	ɣ̊	-0.407
ˈeː_t	s	-0.408
tː_ə	s	-0.441
pː	ˈo	-0.445
ˈɑ_ɾ	ɐ	-0.45
j	h	-0.47
<#	ʋ	-0.525
ə	t_ɐ	-0.559
#>	ɫ	-0.591
#>	ɡ̊_#>	-0.599
#>	ɐ_#>	-0.856
#>	ɡ̊	-0.882
ɾ	d	-0.895
#>	d̥	-0.896
#>	n_#>	-0.897
ʋ_#>	#>	-1.12
ɾ	ˈɛ_ɐ	-1.12
ɡː_#>	#>	-1.12
ɡː	#>	-1.12
s_#>	#>	-1.12
n_#>	#>	-1.12
l_#>	#>	-1.12
<#_ɾ	<#	-1.12
#>	m	-1.14
t_#>	#>	-1.143
p_#>	#>	-1.143
<#_n	<#	-1.143
ˈuː_#>	#>	-1.144
ˈoː_#>	#>	-1.152
ˈøː_#>	#>	-1.168
tː_#>	#>	-1.168
m_#>	#>	-1.168
ˈʉː_#>	#>	-1.176
ɡ_#>	#>	-1.176
ŋː_#>	#>	-1.176
pʰ	<#	-1.176
k_#>	#>	-1.176
<#_pʰ	<#	-1.176
n	ə	-1.242
nː	ə	-1.258
#>	ˈoː	-1.259
#>	ˈiː	-1.266
#>	ˈoː_d̥_#>	-1.271
ɾ	t_ɐ	-1.298
#>	ɐ	-1.369
ə_ɾ	t	-1.499
ʋ	f	-1.533
#>	ŋ	-1.556
#>	k	-1.561
ŋː	#>	-1.583
ə_ɾ	t_ɐ	-1.604
m	#>	-1.696
#>	ˈoː_n_#>	-1.721
#>	f	-1.737
tː	#>	-1.77
ˈøː	#>	-1.834
ˈʉː	#>	-1.842
ɡ	#>	-1.842
ə	n	-1.884
#>	ʃ	-1.893
p	#>	-1.917
#>	n	-1.968
s_k_ə_#>	ʃ	-1.99
ˈɛ	h	-2.069
n	<#	-2.069
ʂ	ˈe	-2.287
ˈoː	#>	-2.347
#>	ŋ_ɡ̊_#>	-2.348
ˈœ	z	-2.378
ˈeː	s	-2.381
ˈøː	z	-2.412
ˈɛ	z	-2.425
ə	ʃ_#>	-2.629
k	#>	-2.638
ˈuː	#>	-2.641
j_ˈɛ	h	-3.069
s	ˈøː	-3.083
ˈɑ	z	-3.097
s	ˈɛ	-3.208
t	#>	-3.226
ə	s	-3.558
l	#>	-3.579
s	#>	-3.591
ʋ	#>	-3.796
n	#>	-3.829
ɾ	<#	-4.077
ə	#>	-4.257
s	ˈa	-4.587
b	ˈeː	-4.704
ə	ʃ	-4.869
s_k_ə_#>	#>	-6.752
