Phone1	Phone2	Surprisal	OOV_Smoothed
#>	d̥_#>	1.459	4.983
#>	n_#>	2.237	4.983
#>	k_#>	3.044	4.983
#>	ɦ̥_#>	3.459	4.983
#>	ɾ_#>	3.459	4.983
#>	t_#>	4.044	4.983
#>	v̥_#>	4.044	4.983
<#	<#_j	0.0	4.983
<#_h	<#	0.0	4.983
<#_kʰ	<#_k	0.0	4.983
<#_n	<#_n	0.0	4.983
<#_tʰ	<#_t	0.0	4.983
<#_ɾ	<#_ɾ	0.0	4.983
b	b	0.0	4.983
d	d	0.0	4.983
f	v	0.0	4.983
j	ˈæ	0.737	4.983
j	ɦ	1.322	4.983
k	k	0.29	4.983
k	s	2.459	4.983
k_#>	#>	0.0	4.983
k_t	h_t	0.0	4.983
kː_ə	k_n	0.0	4.983
l	l	0.241	4.983
l	w	2.7	4.983
lː	w	0.585	4.983
lː	d̥	1.585	4.983
m	m	0.0	4.983
mː	m	0.0	4.983
n	n	0.222	4.983
n	n_ə	2.807	4.983
nː	n_d̥	1.28	4.983
nː	n	2.087	4.983
nː	n_d	2.087	4.983
nː	n_ə	3.087	4.983
p	p	0.0	4.983
pʰ	p	0.0	4.983
s	z	0.817	4.983
s	s	1.209	4.983
s_#>	z̥_#>	0.0	4.983
s_k	ʃ_h	0.0	4.983
t	t	0.0	4.983
tʰ	d	0.0	4.983
tː	h_t	1.0	4.983
tː	t	1.0	4.983
ç	k	0.0	4.983
ŋː	ŋ	0.0	4.983
ə	ə	1.138	4.983
ə	n	1.372	4.983
ə	-	2.652	4.983
ə_ɾ	ɾ	0.0	4.983
ɡ	ɦ	0.585	4.983
ɡ	ɦ̥	1.585	4.983
ɡ_ə	ɦ_n	0.0	4.983
ɡː	ɦ_ə	0.0	4.983
ɳ	ɾ_n	0.0	4.983
ɾ	ɾ	0.222	4.983
ɾ	-	4.392	4.983
ɾ	d_ɾ	4.392	4.983
ɾ	ˈæ	4.392	4.983
ɾ_ə	ɾ_ə	0.0	4.983
ʂ	z	1.0	4.983
ʂ	ʃ_h	1.0	4.983
ʋ	ʋ	0.263	4.983
ʋ	v	2.585	4.983
ʋ_#>	v̥_#>	0.0	4.983
ˈeː	ˈeː	1.0	4.983
ˈeː	ˈiə̯	1.0	4.983
ˈiː	ˈi	0.459	4.983
ˈiː	ˈiə̯	1.874	4.983
ˈoː	ˈɒː	0.0	4.983
ˈuː	ˈuə̯	0.585	4.983
ˈuː	ˈoː	1.585	4.983
ˈyː	ˈiə̯	0.0	4.983
ˈæɪ̯	ˈeː	1.0	4.983
ˈæɪ̯	ˈɛː	1.0	4.983
ˈøː	ˈoː	0.531	4.983
ˈøː	ˈuə̯	2.7	4.983
ˈøː	ˈɛː	2.7	4.983
ˈœ	ˈoː	1.585	4.983
ˈœ	ˈuə̯	1.585	4.983
ˈœ	ˈøː	1.585	4.983
ˈɑ	ˈɑ	0.415	4.983
ˈɑ	ˈɒː	2.737	4.983
ˈɑ	ˈɔ	3.322	4.983
ˈɑː	ˈɒː	0.678	4.983
ˈɑː	ˈɑ	1.415	4.983
ˈɔ	ˈoː	1.415	4.983
ˈɔ	ˈɔ	1.415	4.983
ˈɔ	ˈɑ	2.0	4.983
ˈɛ	ˈæ	1.678	4.983
ˈɛ	ˈɑ	2.415	4.983
ˈɛ	ɾ	3.0	4.983
ˈɛ	ˈiə̯	3.0	4.983
ˈɛ	ˈœ	3.0	4.983
ˈɛ	ˈɛ	3.0	4.983
ˈɪ	ˈɪ	0.459	4.983
ˈɪ	ˈɛ	1.874	4.983
ˈʉ	ˈu	0.0	4.983
ˈʉː	ˈyː	0.515	4.983
ˈʉː	ˈeː	1.737	4.983
ˈʏ	ˈœ	1.0	4.983
ˈʏ	ˈɪ	1.0	4.983
