Dutch	East Low German	probability
χ_t	ç	1.0
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ɾ	ˈaː	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈyː	ˈyː	1.0
ˈi_ɾ	ˈiː_æ	1.0
ˈeː_n	ˈae̯_n	1.0
ɾ_ˈɑu̯	r_ˈuː	1.0
ɾ_t	t	1.0
ɾ_s	s	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ɾ	æ	1.0
ə_n	m	1.0
z̥	s	1.0
v̥	f	1.0
t_ə	t	1.0
s_χ	ʃ	1.0
p	p	1.0
n_d	n	1.0
k_ə	k	1.0
j	j	1.0
b	b	1.0
ˈɑ	ˈa	0.926
v	f	0.923
ˈaː	ˈɒː	0.889
m	m	0.889
d	d	0.882
n	n	0.867
ʋ	v	0.862
ˈi	ˈae̯	0.857
ˈœy̯	ˈuː	0.846
ŋ	ŋ	0.846
z	z	0.833
ə	-	0.8
ˈɛi̯	ˈiː	0.778
t	t	0.733
s	ʃ	0.714
ˈɔ	ˈʊ	0.7
ˈɛ	ˈɛ	0.688
ˈu	ˈaʊ̯	0.647
ɾ	r	0.595
k	kʰ	0.577
d̥	d	0.567
χ_ə	ŋ	0.556
ˈeː	ˈae̯	0.476
χ_ə	ɡ	0.444
d̥	t	0.433
k	k	0.423
ɾ	æ	0.405
ˈoː	ˈaʊ̯	0.367
ˈu	ˈɔʏ̯	0.353
χ	ç	0.324
ˈɔ	ˈɔ	0.3
χ	ɡ	0.294
ˈeː	ˈɛː	0.286
s	s	0.286
χ	x	0.265
t	tʰ	0.222
ˈɛ	ˈʏ	0.188
ˈoː	ˈuː	0.167
z	ʃ	0.167
ˈœy̯	ˈyː	0.154
ŋ	ç	0.154
ˈi	ˈiː	0.143
ˈeː	ˈɛ	0.143
ʋ	w	0.138
ˈoː	ˈœː	0.133
n	-	0.133
ˈɛ	ˈiː	0.125
χ	j	0.118
d	ɾ	0.118
ˈɛi̯	ˈɪ	0.111
ˈɛi̯	ˈae̯	0.111
ˈaː	ˈoː	0.111
m	-	0.111
ˈoː	ˈɔʏ̯	0.1
ˈoː	ˈɒː	0.1
ə	ɪ	0.1
ə	æ	0.1
ˈeː	ˈeː	0.095
v	-	0.077
ˈɑ	ˈaː	0.074
ˈoː	ˈɔ	0.067
ˈoː	ˈoː	0.067
