Phone1	Phone2	PMI
n_s	n_ʃ	10.575
s_t	s_t	9.299
ɫ_ˈoː	l_ˈaʊ̯	9.206
ˈeː_n	ˈaɪ̯_n	9.108
χ_t	x_t	9.039
m_ə	m_ə	8.901
<#_n	<#_n	8.733
χ_t	ç_t	8.73
ˈʏ	ˈʏ	7.662
ɾ_ˈɛi̯	ʁ_ˈaɪ̯	7.427
v̥	b̥	7.241
ˈɑ_d̥	ˈaː_d̥	7.101
ŋ	ŋ	7.087
χ_ɾ	ɡ_ʁ	6.992
ə_#>	ə_#>	6.885
n_d	n_d	6.807
ˈaː_p	ˈa_f	6.612
ˈu	ˈuː	6.478
p	p͡f	6.441
n_ə	n_ə	6.366
j	j	6.26
ˈi	ˈiː	6.193
ɦ	h	5.954
f_#>	f_#>	5.938
f	f_#>	5.938
b	b	5.856
ˈɪ	ˈɪ	5.84
ˈɔ	ˈʊ	5.829
ˈoː	ˈøː	5.811
z	z	5.78
d̥	d̥	5.779
ˈœy̯	ˈɔʏ̯	5.739
ˈœy̯	ˈaʊ̯	5.713
m	m	5.697
ɾ_d̥	ɐ_t	5.695
χ_#>	ɡ̊_#>	5.653
ˈu	ˈyː	5.65
ˈɛi̯	ˈaɪ̯	5.625
ˈɛ	ˈɛ	5.619
ɾ_t	ɐ_ʦ	5.601
ˈoː_ɾ	ˈɔ_ɐ	5.52
k	kʰ	5.515
ˈoː	ˈoː	5.443
f	f	5.383
ɾ_χ	ɐ_ɡ̊	5.368
ˈɔ	ˈɔ	5.303
ˈaː	ˈaː	5.213
ˈɑu̯	ˈa_l	5.205
d	d	5.133
ə_#>	ə	5.098
v	f	5.09
ˈɑ	ˈa	5.072
n	<#_n	5.072
ˈeː	ˈeː	5.034
s	ʃ	5.025
ˈɑu̯	ˈa	4.988
d	tʰ	4.972
z̥	s	4.945
χ_#>	ɡ̊	4.777
ɫ	l	4.664
t	ʦ	4.298
χ	ɡ̊	4.261
ˈoː	ˈɔ	4.237
ˈeː	ˈaɪ̯	4.233
χ	ɡ	4.22
<#_ɾ	<#_ʁ	4.154
ˈi	ˈeː	4.153
<#_t	ʦ	4.13
d̥	t	4.108
p	f	4.042
ˈaː	ˈɛː	4.011
ˈaː	ˈa	3.929
ˈɑ	ˈaː	3.92
s	s	3.895
k	ç	3.874
<#_n	n	3.851
t	s	3.806
n	n	3.773
k	x	3.773
ˈeː	ˈɛ	3.761
ˈɑu̯	l	3.738
t	t	3.719
ˈɛi̯	ʁ_ˈaɪ̯	3.715
<#	<#_n	3.682
ˈoː	ˈaʊ̯	3.578
<#_ˈɪ	<#_ˈɪ	3.575
<#_ˈoː	<#_ˈoː	3.575
n_ˈaː	n_ˈaː	3.565
f_#>	f	3.557
k_n	kʰ_n	3.525
ˈɛ	ˈɪ	3.523
χ	x	3.494
ɫ_ˈaː	l_ˈaː	3.484
ə	ɪ	3.484
v_ɫ	f_l	3.456
χ	ɡ̊_#>	3.438
ˈɪ_n	ˈɪ_n	3.38
ˈoː_n	ˈoː_n	3.373
ˈu_k	ˈuː_x	3.266
ˈaː_n	ˈoː_n	3.264
z	ʃ	3.256
z̥	z	3.223
<#_ˈɛi̯	<#_ˈaɪ̯	3.223
ˈɛ	ˈaː	3.22
ˈɛi̯_n	ˈaɪ̯_n	3.215
ˈu_t	ˈyː_s	3.19
s	s_t	3.095
s	n_ʃ	3.069
k_#>	k_#>	3.047
ˈɑ_n	ˈa_n	3.033
ˈeː_t	ˈɛ_s	2.995
z̥	z_ə	2.981
ə_χ	ɪ_ç	2.978
χ	k	2.909
<#_ˈɑ	<#_ˈa	2.895
ɪ	ɪ	2.799
ˈaː_t	ˈa_s	2.763
ɫ_#>	l_#>	2.74
ə	ə	2.704
χ	ɡ_ʁ	2.686
χ_t	x	2.679
k	k	2.674
ˈaː_ɾ	ˈaː_ɐ	2.672
χ	x_t	2.654
ɾ	ɐ	2.644
t	ç_t	2.633
t	x_t	2.633
ˈɛi̯	<#_ˈaɪ̯	2.556
χ	ç	2.555
<#	<#	2.541
#>	#>	2.541
t	s_t	2.526
ˈɪ	<#_ˈɪ	2.518
ˈeː	ˈaɪ̯_n	2.51
<#_p	p͡f	2.482
ˈɑ	ˈɛ	2.452
ˈaː	ˈa_f	2.451
ˈoː	<#_ˈoː	2.422
v	b	2.385
k_#>	ç_#>	2.358
χ	ç_t	2.345
<#_ˈoː	ˈoː	2.315
k	k_#>	2.306
ˈyː	ˈɔʏ̯	2.273
ə_n	ə_n	2.266
ɾ_n	ɐ_n	2.234
ˈɑ_ɾ	ˈa_ɐ	2.227
ˈoː	l_ˈaʊ̯	2.212
ɾ_ˈɛi̯	ˈaɪ̯	2.181
ə	ɐ	2.144
#>	ɡ̊_#>	2.122
χ	ʃ	2.113
d	t	2.098
m_ə	m	2.097
χ	k_ə	2.082
ə	ə_#>	2.081
<#	<#_ʁ	2.064
m	m_ə	2.054
ɾ_ˈɪ	ʁ_ˈɪ	2.048
p	ˈa_f	2.035
v_ɾ	f_ʁ	2.007
<#_ˈɪ	ˈɪ	2.004
ɾ	<#_ʁ	1.989
ʋ	v	1.987
<#_ˈɛi̯	ˈaɪ̯	1.985
s_t	s	1.98
ɫ	l_ˈaʊ̯	1.975
ˈɑ	<#_ˈa	1.973
t	x	1.973
ɾ_χ	ɡ̊	1.972
d̥	ˈaː_d̥	1.971
d̥	ɐ_t	1.971
s_χ	ʃ	1.962
n_s	ʃ	1.962
ˈɛi̯	ˈiː	1.957
ɫ_ˈoː	ˈaʊ̯	1.947
χ_ɾ	ʁ	1.922
ɫ	l_#>	1.909
s	t	1.893
<#_ɾ	ʁ	1.852
χ	ʁ	1.751
k_#>	k	1.745
<#_ˈɑ	ˈa	1.731
s	k_s	1.729
ɾ	ʁ	1.726
k_ə	k	1.705
χ_ɾ	ɡ	1.685
χ_ə	ɡ	1.685
n	n_ʃ	1.667
ˈoː	ˈɔ_ɐ	1.664
ˈɑ	ˈaː_d̥	1.652
v_ə	b	1.638
ɾ_ˈoː	ʁ_ˈaʊ̯	1.619
k	ç_#>	1.617
#>	f_#>	1.61
ˈɑ_d̥	d̥	1.593
d	n_d	1.591
ˈeː_n	ˈaɪ̯	1.585
k_#>	ç	1.546
χ_t	t	1.522
s_t	t	1.522
ˈoː_ɾ	ˈɔ	1.521
ɫ_#>	l	1.515
m_ə	ə	1.498
k	x_ə	1.438
χ_t	ç	1.407
n_d	d	1.386
t	ç	1.37
t_ə	s	1.355
ˈɑ_d̥	ˈaː	1.34
ˈoː	ˈyː	1.26
ˈaː	ˈeː	1.258
#>	ɡ̊	1.247
n	ˈaɪ̯_n	1.227
ˈaː	ˈoː	1.215
ɾ_t	ʦ	1.175
d_ə	t	1.16
ˈɛi̯	ˈiː_ɐ	1.15
ə_ɾ	ɐ	1.145
p_ə	f	1.127
#>	ə_#>	1.121
ɫ	ˈaʊ̯	1.097
k	ç_ə	1.097
ɫ_ˈoː	l	1.064
t	ɐ_ʦ	1.005
ɫ_#>	l_ə_#>	0.987
ˈaː_p	ˈa	0.926
χ	ɐ_ɡ̊	0.915
ˈoː	ɐ	0.893
s	k	0.862
χ	t	0.837
ˈɛi̯	ɐ	0.836
ə_χ	ɪ	0.766
n	n_d	0.708
ə	m_ə	0.692
ˈu	ˈuː_x	0.626
ˈɪ	ˈaɪ̯	0.614
ɾ_d̥	t	0.606
n_ə	ə	0.606
ˈu	ˈyː_s	0.601
<#	ʦ	0.551
ɫ_#>	ə	0.547
ɾ	ʁ_ˈaɪ̯	0.532
ˈu_t	ˈyː	0.494
ˈaː	ɐ	0.494
ˈaː	ˈaː_ɐ	0.483
ˈaː	n_ˈaː	0.483
ˈaː	l_ˈaː	0.483
z	v	0.437
v	f_l	0.406
ˈoː_ɾ	ɐ	0.399
#>	k_#>	0.38
n	ˈoː_n	0.348
v	ʁ	0.336
ˈɪ	ˈɪ_n	0.323
ˈɪ	ʁ_ˈɪ	0.316
ɾ_ə	ɐ	0.303
ˈu_k	ˈuː	0.302
ˈaː_n	ˈoː	0.298
#>	l_#>	0.292
ə_ɫ	l	0.287
ˈeː	ˈɛ_s	0.285
