Phone1	Phone2	Surprisal
a	a	0.452
a	-	2.895
a	ɡ̊_a	2.895
b̥	b̥	0.326
b̥	v_ʊ	2.308
b̥͡v̥	pʰ	0.0
d̥	d̥	0.988
d̥	tʰ	2.29
d̥	t	2.799
d̥	ʊ_ɹ	3.582
d̥	j_ʊ	3.963
d̥_n	j_a	0.0
d̥_r	tʰ_ɹ	0.0
eː	a_n	0.0
f	f	0.569
f	p	2.835
f	v	3.335
f	ʰp	3.529
h	h	0.186
h	-	3.048
i	-	0.0
kʰ	kʰ	0.0
l	l	0.527
l	t͡l̥	2.352
l	l̥	3.181
m	m	0.339
m	m_j	2.931
m	v_a	3.673
n	n	1.156
n	a	1.802
n	nː	2.162
n	-	4.605
n_d̥	n	0.0
n_s	sː	0.0
r	ɹ	0.37
r	-	2.143
s	s	0.851
s	t_ʊ	2.063
s	ʃ	3.684
s	t	3.788
s	-	4.158
v	v	0.148
v	-	3.358
v̥	p	0.0
x	k	0.0
x_d̥	ʰt	0.0
z̥	ʰt	0.959
z̥	s	1.042
z̥_n	t_a	0.0
z̥_ɐ	ʰt͡n̥	0.0
ç	k_ʊ	0.863
ç	ɡ̊_ʊ	1.152
ç_d̥	ʰt_ʊ	0.0
ŋ	ŋ	1.428
ŋ	ɡ̊	2.361
ŋ	ʰk	2.465
ŋ	a	2.812
ŋ	ɲ	3.181
ɐ	ɹ	0.927
ɐ	ɪ_ɹ	2.753
ɐ	ʊ	2.753
ɐ	ɹ_ʊ	2.856
ɐ	-	4.677
ɐ_d̥	ˈøː_ɹ	0.0
ɐ_n	t͡n̥	0.0
ə	ɹ	0.0
ɡ̊	-	0.408
ɡ̊	ʰʧ	2.02
ɡ̊_n	ɡ̊ː	0.0
ɡ̊_r	ɡ̊_ɹ	0.0
ɣ	ɡ̊	0.0
ɣ̊	-	0.0
ɪ	a_ŋ	0.0
ɾ	w	0.8
ɾ	-	1.232
ʃ	ʃ	1.246
ʃ	s	1.622
ʃ	s_k	1.98
ʃ_d̥	s_t	0.0
ʦ	tʰ	1.207
ʦ	ʰt	2.199
ʦ	t	2.268
ʦ	ʈ	2.824
ˈa	k_ˈa	0.0
ˈaɪ̯	ˈʊ̯iː	0.391
ˈaɪ̯	ˈa	2.863
ˈaɪ̯	ˈʊ_ʤ̊ː	3.326
ˈaʊ̯	ˈʉːu̯	0.356
ˈaʊ̯	ˈɪ_ɡ̊	2.194
ˈaː	ˈɛːi̯	1.881
ˈaː	-	1.898
ˈaː	ˈai̯	2.11
ˈaː	ˈaːi̯	2.13
ˈeː	-	0.0
ˈiː	ˈɪ	2.146
ˈiː	-	2.487
ˈiː	ˈøː	2.487
ˈiː	ˈɛːa̯	2.684
ˈiː	ˈɔːu̯	2.934
ˈiː	ˈʉːu̯	2.934
ˈiː_ɐ	ˈʊ̯iː_ɹ	0.0
ˈoː	ˈɔ̯aː	0.972
ˈoː	ˈɛːa̯	1.5
ˈoː	-	2.869
ˈoː_ɐ	ˈɔ̯aː_ɹ	0.0
ˈuː	ˈɔːu̯	1.358
ˈuː	ɡ̊	2.665
ˈuː	ˈɛ_ɡ̊	2.665
ˈuː	ˈɛːi̯	2.695
ˈuː	-	2.837
ˈuː_d̥	ˈɔːu̯_w	0.0
ˈɒ	ˈa	1.092
ˈɒ	ˈɔ	2.057
ˈɒ	ˈɛːa̯	2.767
ˈɒ	-	2.798
ˈɒː	ˈɛːa̯	0.0
ˈɔ	-	1.712
ˈɔ	ˈʊ	1.761
ˈɔ	ˈɔ	1.987
ˈɔ	ˈœ	2.761
ˈɛ	-	1.387
ˈɛ	ˈɛ	1.772
ˈɛ	j	2.57
ˈɛ	ˈeː	2.677
ˈɪ	ˈɪ	0.615
ˈɪ	-	2.751
ˈɪ	ˈiː	2.8
ˈɪ	ˈœ	4.179
ˈʊ	ˈʊ	0.559
ˈʊ	-	2.473
ˈʊ	ˈɔ	2.826
β	v	0.0
