Phone1	Phone2	PMI
n_a	nː_ɑ	9.931
<#_r	<#_r	9.583
<#_ˈɒ	<#_ˈɑ	9.503
ˈiː_ɐ	ˈeː_r̥	9.411
z̥_#>	s_#>	9.23
ˈa	k_ˈɑ	9.136
<#_n	<#_n	8.967
ʃ_d̥	s_t	8.74
<#_ɡ̊	<#_ɡ	8.707
<#_l	<#_l	8.552
ɐ_d̥	r_ð	8.427
z̥	s_#>	7.887
kʰ	kʰ	7.471
ɡ̊	<#_ɡ	7.443
r	<#_r	7.285
<#_d̥	<#_d	7.235
kʰ	cʰ	7.206
ˈɒ	<#_ˈɑ	7.019
ʃ_l	s_l	6.965
z̥_n	t_ɑ	6.947
eː	ɑː	6.7
ˈiː_s	ˈøː_t	6.613
ʦ	tʰ	6.556
l	<#_l	6.468
ɡ̊_n	ɡː	6.427
x	tː	6.379
ɣ̊	ɣ	6.292
h	h	6.292
ɡ̊	ɡː	6.186
ŋ	ŋ	6.105
ɡ̊	cː	5.972
b̥	b	5.968
ɐ_ʦ	r_t	5.939
ɐ_ç	r_ɣ	5.938
ˈaʊ̯	ˈuː	5.873
<#_ɡ̊	ɡ	5.871
n	<#_n	5.854
ˈaː	ˈɛi̯	5.765
ˈaɪ̯	ˈiː	5.723
<#_ɡ̊	<#_ɟ	5.709
z̥	t_ɑ	5.618
ɾ	ð_i	5.58
s_#>	t_#>	5.561
ˈiː_ɐ	ˈeː	5.519
f	f	5.509
ˈʊ	ˈu	5.482
m	m	5.474
m	mː	5.454
<#_l	l	5.375
ɐ_n	r_n	5.368
ˈa	ˈɑ	5.341
β	v	5.323
h_ˈɛ	ç_ˈɑ	5.31
ˈɪ	ˈy	5.309
<#_ˈɒ	ˈɑ	5.277
d̥	<#_d	5.263
ˈeː	ˈe	5.231
ˈɪ	ˈi	5.228
ˈiː	ˈeː	5.211
ˈɔ	ˈo	5.177
<#_n	n	5.133
f_#>	p_r̥_#>	5.08
a	nː_ɑ	5.056
l	l	5.046
ˈaː	ˈɑu̯	5.036
l	lː	5.029
ˈuː	ˈoː	5.025
l	l̥	5.024
<#_v	<#_v	4.999
ç	ɣ	4.886
<#_d̥	d	4.885
v	v	4.818
ɡ̊	<#_ɟ	4.816
ˈiː	ˈøː	4.78
ˈʊ	ˈo	4.768
ˈɛ	ˈe	4.764
ˈiː	ˈeː_r̥	4.762
ʃ	c	4.757
ˈɔ	ˈu	4.737
v	<#_v	4.657
z̥_#>	s	4.65
ˈɒ	ˈɑ	4.622
ɡ̊	ɡ	4.606
ˈaɪ̯	ˈyː	4.587
ˈuː	ˈo	4.576
r	r	4.576
<#_r	r	4.576
ʃ	s	4.561
ɾ	ð	4.52
<#_d̥	<#_θ	4.492
f_#>	p	4.456
ʃ	s_c	4.453
ə	r̥ː	4.443
n_a	nː	4.439
ɐ_#>	r_#>	4.425
ʃ	s_t	4.389
z̥	t	4.384
ˈiː	j	4.32
ˈiː	j_ˈoː	4.287
ʃ	s_k	4.188
ɾ	i	4.173
ˈɒ	ˈɑː	4.154
<#_ɡ̊	ɟ	4.126
s	s	4.104
ˈiː	ˈi	4.076
ˈuː	ˈɔː	4.04
n	n	4.039
ʦ	t	4.015
a	ɑ	4.006
ˈɛ	ˈɛ	3.982
d̥	ʦ	3.946
d̥	d	3.928
ˈoː	ˈɑ	3.875
d̥	θ	3.776
s	t_#>	3.733
ˈoː	ˈɑː	3.662
ˈiː	ˈoː	3.655
ɐ	ˈeː_r̥	3.629
a	a	3.596
<#_d̥	θ	3.545
n	nː	3.531
<#_ˈɛ	<#_ˈe	3.505
ˈɔ_l	ˈu_lː	3.482
s_ˈɒ	s_ˈɑ	3.46
ç	r_ɣ	3.455
ɐ	ˈeː	3.412
d̥	<#_θ	3.405
ɐ	r̥ː	3.386
s	t	3.351
<#	<#_ˈɑ	3.344
<#	<#_n	3.344
<#	<#_l	3.344
z̥	s	3.306
ʦ	r_t	3.284
d̥	ð	3.24
ɡ̊	ɟ	3.233
<#_ˈaː	<#_ˈɛi̯	3.233
ɐ	r_#>	3.218
f	p	3.211
ç	k	3.199
l_#>	l_#>	3.189
l_#>	lː_#>	3.171
b̥͡v̥	pʰ	3.166
ʃ_d̥	t	3.165
<#	<#_ɡ	3.132
ˈiː_s	ˈøː	3.13
s_#>	t	3.125
<#	<#_r	3.098
ˈɒ	ˈa	3.085
<#_v	v	3.08
ʃ	t	3.066
d̥	s_t	3.063
<#	<#_d	3.054
ˈɛ	j_ˈɑ	3.026
x_d̥	tː	2.997
ɐ	r	2.988
ŋ	ʝː	2.985
n	n̥	2.926
ˈɛ	ç_ˈɑ	2.866
n	nː_ɑ	2.849
ŋ	ɣ	2.847
ˈuː	ˈɑu̯	2.839
ɐ_m	r_m	2.799
ç_#>	k_#>	2.794
ɐ_d̥	ð	2.79
f	p_r̥_#>	2.777
n	ɡː	2.766
n_d̥	n_d	2.757
z̥_n	t	2.748
d̥	r_ð	2.748
ˈɛ	ˈɑ	2.737
ˈɛ	j	2.733
ˈoː_ɐ	ˈɑː_r	2.725
ɐ	r_ð	2.723
ˈiː	ˈøː_t	2.716
ˈiː	j_ˈuː	2.704
n_a	ɑ	2.691
ˈiː	ˈuː	2.625
<#	<#	2.625
#>	#>	2.625
ʃ	s_l	2.595
ʃ	k	2.581
m	m_ˈa	2.578
m	v_ɑ	2.548
h	ç	2.534
ˈʊ	ˈoː	2.465
d̥	tː	2.443
d̥_#>	ð_#>	2.428
ˈɒː	ˈɔ	2.416
h_ˈɛ	ç	2.403
#>	r̥_#>	2.394
s	ˈøː_t	2.389
ç	k_#>	2.387
ˈɛ	<#_ˈe	2.374
l_#>	lː	2.364
ɐ_ç	ɣ	2.335
l	s_l	2.317
ˈɘ	ˈy	2.306
ɣ	ɣ	2.274
ɐ	ɾ	2.26
b̥͡v̥	p	2.211
ˈaː	<#_ˈɛi̯	2.204
l	l_#>	2.204
ɪ	ɑ_ŋ	2.202
d̥	t	2.2
ˈɒː	ˈɑ_c	2.185
ˈa	k	2.185
<#_ˈɛ	ˈe	2.17
ʃ_d̥	s	2.161
b̥͡v̥	ˈɛ_p	2.086
ɡ̊	kː	2.072
n	t_ɑ	2.068
n	n_d	2.064
ɐ_#>	r	2.06
ˈɛ	e	2.048
ˈaː_#>	ˈɛi̯	2.044
#>	s_#>	2.042
ˈɛ	ˈu	2.032
a	nː	1.949
<#_ˈaː	ˈɛi̯	1.939
ˈaː_#>	ˈɛi̯_nː_#>	1.845
b̥_#>	f_r̥_#>	1.827
l_#>	l	1.796
j	ˈu	1.795
ɐ	r_i	1.783
ɐ	i	1.772
l	lː_#>	1.768
m_f	mː	1.759
ç_#>	k	1.753
b̥_#>	f	1.751
s	t_r̥	1.737
ˈɒː	ˈɑ	1.726
ɪ	ɑ	1.709
<#	<#_θ	1.697
<#	<#_ɟ	1.697
d̥	d_ˈɒu̯	1.661
n	r_n	1.649
d̥_#>	ð	1.645
<#	<#_v	1.596
ɐ	i_r̥	1.594
ʃ_l	l	1.587
v	x	1.566
m	v	1.554
h_ˈɛ	ˈɑ	1.546
ɣ̊	ɡ	1.538
ˈaː	ˈɑ	1.535
f	pː	1.524
ɐ_ʦ	t	1.494
h	ç_ˈɑ	1.482
ˈɒ_f	pː	1.452
l_d̥	lː	1.436
d̥	ð_#>	1.419
ˈɔ	ˈy	1.414
ˈɛ	ç	1.407
