Phone1	Phone2	PMI
<#_p	<#_p	11.411
s_l	s_l	11.021
<#_r	<#_r	10.334
<#_ˈʊ	<#_ˈu	10.281
<#_n	<#_n	9.549
<#_t	<#_t	9.354
<#_l	<#_l	9.196
ɐ_d̥	r_ð	9.101
<#_m	<#_m	9.052
p	<#_p	8.887
<#_k	<#_k	8.826
ɐ_n	r_n	8.588
<#_ɡ	<#_ɣ	8.493
ˈʊ	<#_ˈu	8.363
r	<#_r	8.143
ɐ_#>	r_#>	7.828
m	<#_m	7.734
ɡ	<#_ɣ	7.692
ˈiː	ˈiː	7.602
v̥	β	7.433
<#_p	p	7.416
ŋ	ŋ	7.254
<#_j	<#_j	7.215
ˈæɪ̯_n	ˈɑi̯_n	7.196
ˈuː	ˈuː	7.138
p	p	7.135
ˈɑ_d̥	ˈɑ_θ	7.119
k	<#_k	7.119
j	<#_j	7.077
p	pː	7.054
t	<#_t	6.932
l	<#_l	6.693
ˈɒː	ˈɛː	6.506
b	b	6.495
d_ˈœ	θ_ˈu	6.468
j	jː	6.416
ˈeː	ˈe	6.209
ˈɑʊ̯	ˈɔː	6.194
ˈɪ	ˈĩː	6.122
n	<#_n	6.097
<#_m	m	6.097
f	ɸ	6.059
m	m	6.052
<#_ˈɑːɑ̯	<#_ˈɑ	6.046
ˈæɪ̯	ˈɑi̯	5.871
w	w	5.802
ˈɛ	ˈe	5.801
ˈæɪ̯	ˈeu̯	5.627
ˈoː	ˈɑu̯	5.504
ɣ̊	ɣ	5.502
ˈɪ	ˈi	5.499
<#_k	k	5.476
ˈɑː_ɐ	ˈɑ_r	5.472
ɑɪ̯	e	5.466
k	k	5.449
<#_d	<#_θ	5.418
ˈʊ	ˈu	5.415
<#_ˈʊ	ˈu	5.415
χ	x	5.405
ˈɑːɑ̯	<#_ˈɑ	5.379
ˈœ	ˈu	5.346
ˈiːi̯	ˈi	5.246
<#_l	l	5.246
l	l	5.223
ɡ	ɣ	5.201
<#_ɡ	ɣ	5.201
ˈɑ	ˈɑ	5.189
<#_t	t	5.189
t	t	5.102
d	d	5.065
ɑɪ̯	e_x	5.027
ˈɛ	mː	4.976
ˈɔ	ˈu	4.971
ˈɑː	ˈɑ	4.968
ɐ	r_#>	4.922
d̥	ð	4.788
ˈoː	<#_ˈu	4.774
ˈɛːɪ̯	ˈɑi̯_w	4.757
r	r	4.715
<#_r	r	4.715
z̥	s	4.697
s	s	4.697
ɣ̊	ɣ_ɑ	4.686
ˈøː	ˈu	4.656
ˈɑːɑ̯	ˈɑ	4.638
z	s	4.633
d	<#_θ	4.493
ˈɛːɪ̯	ˈɑi̯	4.358
v	xʷ	4.296
<#_n	n	4.289
ˈɛ_m	mː	4.28
d	θ	4.272
ˈɒː	ˈɑ	4.237
v	β	4.223
ˈɪ	ˈeː	4.219
ˈæɪ̯	ˈe_xʷ	4.196
ˈoː	ˈu	4.185
n	n	4.171
ˈœːy̯	ˈɔː	4.162
m	mː	4.129
<#_j	j	4.089
<#_ˈoː_v	<#_ˈu	4.003
j	j	3.951
ˈœ	θ_ˈu	3.881
s	s_l	3.875
d̥	d	3.868
ŋ	ɡʷ	3.82
ˈɪ_s	ˈi_s	3.794
ˈɪ_k	ˈe_k	3.78
ˈɔ_l	ˈu_l	3.773
z̥	s_ɑ̃	3.705
t_ɐ	t_ɛː	3.696
ˈeːe̯	ˈe	3.692
ˈoːo̯	<#_ˈɑu̯	3.675
<#_ˈoːo̯	<#_ˈɑu̯	3.675
ˈɛːɪ̯	w	3.595
l_d̥	l_d	3.558
d̥	θ	3.555
ɡ_l	ɣ_l	3.518
d̥	r_ð	3.513
ˈɑː	ˈɑ_r	3.483
l	s_l	3.446
k_ˈøː	k_ˈu	3.423
<#_d	θ	3.41
ˈɒː_t	ˈɑ_t	3.393
<#_ˈɑ	<#_ˈɑ	3.365
t	tː	3.359
ˈɑ_n	ˈɑ_n	3.357
ɐ	r_ɑ	3.347
d̥	d_ɑ	3.272
n_d̥	n_θ	3.263
ɐ	e	3.253
d̥	ð_ɑ	3.21
ˈɔ_l	ˈɑ_l	3.198
ɐ_#>	r	3.107
ˈøː	ˈɑu̯	3.089
ˈɔ	ˈɑ	3.051
ˈʏə̯	ˈu	3.046
ɐ	r	3.035
<#_ˈɑːɑ̯	ˈɑ	3.015
z̥_#>	s_#>	2.986
d̥_#>	z_#>	2.976
ˈɑ	ˈɑ_θ	2.936
h	x	2.92
ˈɒːɒ̯	ˈɑ	2.908
<#	<#	2.901
#>	#>	2.901
ɣ̊	ɣ_i	2.836
