Eastphalian	English	probability
ˈɛː	-	1.0
ˈɛɪ̯_ŋ	ˈaɪ̯	1.0
ˈɔʏ̯	ˈiː	1.0
ˈœ	-	1.0
ˈøː	ˈiː	1.0
ˈyː	ˈɪ	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈaː	ˈɑː	1.0
ˈa_ɐ	ˈɑː	1.0
ʃ	ʃ	1.0
ɪ_ç	ɪ	1.0
ɡ	-	1.0
ə	-	1.0
ç	-	1.0
z̥_#>	s_#>	1.0
x	-	1.0
w	w	1.0
t_n	t	1.0
p	p	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
b_m	p	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k_n	<#_n	1.0
m	m	0.92
r	ɹ	0.897
s	s	0.889
t	t	0.857
ˈiː	ˈaɪ̯	0.833
ŋ	ŋ	0.8
v	w	0.786
z	s	0.778
ˈuː	ˈaʊ̯	0.692
ɣ	ɡ	0.667
ɐ	ə	0.667
ˈeː	-	0.625
ˈoː	ˈɐ	0.6
#>	θ_#>	0.6
n	n	0.583
ˈʊ	ˈɐ	0.538
l	l	0.523
ˈɪ	ˈɪ	0.519
ˈɛ	ˈe	0.5
ˈoː_ɐ	ˈɜː	0.5
ˈoː_ɐ	ˈɔː	0.5
ˈa	ˈæ	0.5
nː	n_d	0.5
nː	n	0.5
j	j	0.5
j	-	0.5
d	d	0.484
k	k	0.464
ˈaʊ̯	ˈuː	0.444
d	θ	0.419
ˈɔ	-	0.417
n	-	0.417
l	ɫ	0.409
ˈʏ	ˈɪ	0.4
ˈɒː	-	0.4
ˈoː	ˈəʊ̯	0.4
#>	ˈaɪ̯_#>	0.4
ˈeː	ˈe	0.375
ˈeo̯	ˈe	0.364
ˈeo̯	-	0.364
ˈɔ	ˈɒ	0.333
ˈaʊ̯	-	0.333
ɣ	-	0.333
ˈɛɪ̯	ˈiː	0.318
ˈʊ	ˈʊ	0.308
ˈuː	-	0.308
ˈʏ	ˈɐ	0.3
ˈʏ	-	0.3
ˈɛ	ˈɪ	0.3
ˈa	-	0.3
ˈɪ	ˈaɪ̯	0.296
k	ʧ	0.286
ˈeo̯	ˈiː	0.273
ˈɒː	ˈiː	0.267
ˈɔ	ˈəʊ̯	0.25
k	kʰ	0.25
ˈɛɪ̯	ˈəʊ̯	0.227
ˈaʊ̯	ˈɐ	0.222
z	-	0.222
ˈɛ	-	0.2
ˈɒː	ˈeɪ̯	0.2
ˈa	ˈɑː	0.2
ŋ	ŋ_ɡ	0.2
ˈɛɪ̯	ˈe	0.182
ˈɛɪ̯	-	0.182
ˈiː	ˈɪ	0.167
ˈʊ	-	0.154
v	v	0.143
ˈɒː	ˈɛ	0.133
ɐ	ˈɔː	0.133
ˈɪ	-	0.111
s	ˈe_s	0.111
r	-	0.103
ɐ	ˈɪ_ə	0.1
ɐ	ð_ə	0.1
d	ð	0.097
ˈɛɪ̯	ˈuː	0.091
t	ˈɒ_t	0.086
m	-	0.08
ˈɪ	ˈe	0.074
v	-	0.071
l	-	0.068
t	-	0.057
