Phone1	Phone2	PMI
ɒː	aɪ̯	9.372
<#_n	<#_n	8.627
ɪ	ɪ	8.144
z̥_#>	s_#>	8.042
z̥	s_#>	8.042
l_ə	lʲ	7.436
x	x	7.352
<#_t	<#_tʰ	7.26
p	p	7.157
ŋ	ŋ	6.721
ˈaː	ˈaː	6.571
v_ˈiː	v_ˈʏ	6.435
h	h	6.346
ç	ç	6.262
ɣ	ɡ	6.189
<#_t	tʰ	6.035
b	b	5.995
ˈeo̯	ˈua̯	5.972
ˈɒː	ˈɔː	5.8
ˈɛə̯	ˈeː	5.757
<#_ˈa	<#_ˈɔː	5.749
k	kʰ	5.56
ˈaɪ̯	ˈʊ	5.512
ˈeo̯	ˈoː	5.452
ˈa	ˈa	5.444
m	m	5.409
d	tʲ	5.245
ʃ	s_k	5.244
f	f	5.179
r	r	5.168
v	v	5.149
n	<#_n	5.128
d	d	5.11
ˈiː	ˈə	5.103
ˈuː	ˈʏ	5.096
ɐ	ɐ	5.013
ɣ	ç	4.853
k	k	4.797
l	l	4.762
t	<#_tʰ	4.751
l	lʲ	4.73
<#_n	n	4.677
ˈʊ	ˈʊ	4.659
ˈeː	ˈeː	4.607
z̥_#>	s	4.498
z̥	s	4.498
s	s	4.498
z	s	4.455
ʃ	s	4.41
t	t	4.373
d	tʰ	4.364
ʃ	k	4.236
<#	<#_n	4.199
ˈɛɪ̯	ˈiː	4.184
ˈɪ	ˈə	4.094
ˈʊ	ˈʏ	4.076
<#_ˈa	ˈɔː	4.072
n_d̥	nʲ	4.013
ɣ_ə	ç	3.951
ə	lʲ	3.925
d̥	ɾ	3.907
n	nʲ	3.867
n	n	3.856
ˈa	<#_ˈɔː	3.844
ɐ	ð_ɐ	3.837
ˈiː	ˈiː	3.814
ˈɪ	ˈɛ	3.811
ɐ	r_ə	3.737
ˈɛɪ̯	ˈeː	3.67
ˈɔ	ˈɔ	3.643
ˈɪ	ˈʊ	3.614
ˈuː	ˈyː	3.596
ˈɛ	ˈɛ	3.577
t	tʰ	3.527
v̥	f	3.392
ˈʏ	ˈɛ	3.375
ˈoː	ˈuː	3.374
n_t	n_t	3.368
s_l	s_l	3.352
t_ɐ	d_ɐ	3.329
ˈʏ	ˈœ	3.29
#>	s_#>	3.19
ˈiː_#>	ˈiː_#>	3.157
ˈa_l	ˈua̯_l	3.114
d_ˈɛɪ̯	d_ˈiː	3.096
<#	<#_tʰ	3.075
ˈɛː	ˈiː	3.024
<#_ˈɒː	<#_ˈɔː	3.009
ˈɒː	ˈuː	2.991
ˈɔ	ˈœ	2.974
<#_r	<#_r	2.93
ɐ	ə	2.9
ˈoː	ˈua̯	2.894
ˈɛɪ̯_n	ˈiː_n	2.883
ˈa_n	ˈœ_n	2.851
ˈœ	ˈɛ	2.841
ˈʏ_n	ˈɛ_n	2.775
n_#>	ə_#>	2.755
ˈɛ	ˈeː	2.702
<#_k	<#_kʰ	2.664
b	p	2.643
ˈiː	v_ˈʏ	2.635
x	ɣ̥	2.629
d̥	nʲ	2.605
b_m	p	2.579
ˈyː	ˈyː	2.522
#>	ə_#>	2.463
<#	<#	2.458
#>	#>	2.458
t_n	t	2.396
<#	<#_ˈɔː	2.335
ˈɒː	<#_ˈɔː	2.286
ˈiː	ˈiː_#>	2.257
<#_k	kʰ	2.255
r	<#_r	2.24
v	v_ˈʏ	2.226
k	<#_kʰ	2.223
ˈɔʏ̯	ˈɛ	2.21
<#_ˈɒː	ˈɔː	2.209
ˈa_n	ˈœ	2.174
ˈa	ˈɔː	2.167
w	v	2.163
n	ˈœ_n	2.149
d̥	t	2.106
ˈiː_#>	ˈiː	2.006
ˈiː	ˈʏ	1.982
t	d	1.961
ˈa	ˈœ	1.935
<#	tʰ	1.851
k_ə	k	1.786
v_ˈiː	ˈʏ	1.782
v_ˈiː	v	1.774
<#_r	r	1.767
ˈɛ	ˈɔ	1.634
ˈɔ	ˈɔː	1.618
ˈɛɪ̯	j	1.523
v	f	1.493
ˈɒː	ˈoː	1.456
n	ə_#>	1.455
ɐ	ʁ̥	1.453
m	p	1.297
ˈeː	ˈiː	1.293
ˈɛː	ˈɛ	1.228
ˈɔ	l	1.209
ɐ	r	1.198
ˈɔ_l	l	1.19
ˈɒː	ˈiː	1.178
ˈaʊ̯	ˈœ	1.096
j	ɡ	1.084
h	h_ˈiː	1.048
n_n	nʲ	1.005
s_w	s	1.0
ˈa	ˈua̯	0.911
ɐ_d̥	ʁ̥_t	0.902
ˈa	ˈʊ	0.878
ˈeo̯	ˈoː_ɣ̥	0.777
s	s_l	0.752
ˈa	ˈʏ	0.745
ɐ	ð	0.711
<#	<#_j	0.661
d̥	ʁ̥	0.66
<#	ˈɔː	0.658
d	d_ˈiː	0.576
n_#>	ə	0.563
ˈɛɪ̯	d_ˈiː	0.527
ˈʏ	ˈɛ_n	0.508
ˈeo̯	ɣ̥	0.49
l	ˈua̯	0.469
<#	<#_r	0.469
<#	<#_kʰ	0.469
ˈa_l	ˈua̯	0.442
ɐ	d_ɐ	0.438
v	ə_f	0.42
l	ˈua̯_l	0.405
d_ˈɛɪ̯	d	0.393
ˈa	ˈua̯_l	0.383
#>	ˈiː_#>	0.383
ˈɛɪ̯	ˈiː_n	0.382
t	n_t	0.365
t_ɐ	d	0.352
