Eastphalian	Saterland Frisian	probability
ˈɛː	ˈi	1.0
ˈɛɪ̯_k	ˈeː_k	1.0
ˈɔʏ̯	ˈɛɪ̯	1.0
ˈɒː_k	ˈɔː_k	1.0
ˈøː	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈoː_ɐ	ˈoːu̯_d	1.0
ˈeo̯	ˈoː	1.0
ˈaʊ̯	ˈoːu̯	1.0
ˈa_n	ˈoːu̯_n	1.0
ˈa_l	ˈoː_l	1.0
ɪ_ç_#>	x_#>	1.0
ɣ	ɣ_ə	1.0
ə	ə_n	1.0
ɐ_#>	r_#>	1.0
ɐ	r	1.0
ç	x	1.0
z	z_ə	1.0
x	x	1.0
w	v	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
m_n	m_ə	1.0
m_#>	m_#>	1.0
m	m_ə	1.0
l_#>	l_#>	1.0
k_n	k_ə	1.0
k_#>	k_#>	1.0
k	k	1.0
j	ɣ	1.0
d_#>	d_#>	1.0
d	-	1.0
b_m	p_ə	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ˈeo̯	<#_ˈoː	1.0
<#_ˈa	<#	1.0
<#_z	<#_s	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
<#	<#_s	1.0
l	l	0.917
ˈʊ	ˈʊ	0.778
t	t	0.76
v	v	0.75
<#_ɣ	<#_ɣ	0.667
ˈiː	ˈi	0.636
<#_d	<#_d	0.63
ŋ	ŋ_ə	0.625
t_#>	t_#>	0.625
ˈɪ	ˈɪ	0.609
ˈoː	ˈuː	0.6
ŋ_#>	ŋ_#>	0.6
f_#>	f_#>	0.6
n	n	0.542
ʃ	k	0.533
n_#>	ə_#>	0.526
ə_#>	#>	0.524
ˈɔ_l	ˈoːu̯_l	0.5
ˈɔ_l	ˈoː_l	0.5
ˈiː_#>	ˈɛɪ̯_#>	0.5
ˈiː_#>	ˈi_#>	0.5
ˈeː	ˈiː	0.5
ˈeː	ˈeː	0.5
n_#>	n_#>	0.474
ʃ	s_k	0.467
ˈʏ	ˈɛː	0.429
ə_#>	ə_#>	0.405
ˈɛɪ̯	j_ˈoː	0.4
ˈoː	ˈoː	0.4
ŋ_#>	ɣ_ə_#>	0.4
f_#>	x_#>	0.4
ˈɔ	ˈɔː	0.375
ˈɔ	ˈɔ	0.375
ŋ	ŋ	0.375
t_#>	d_#>	0.375
ˈɒː	ˈɔː	0.364
<#_ɣ	<#_ɡ	0.333
ˈa	ˈaː	0.312
<#_d	<#_t	0.296
ˈʏ	ˈɛ	0.286
ˈʏ	ˈyː	0.286
ˈɒː	ˈɛɪ̯	0.273
ˈɪ	ˈiː	0.261
ˈɛɪ̯	ˈeː	0.25
ˈɛ	ˈʊ	0.25
ˈɛ	ˈɛ	0.25
ˈɛ	ˈɔː	0.25
ˈɛ	ˈa_n	0.25
ˈɔ	ˈuː	0.25
v	-	0.25
n	n_ə	0.25
t	t_ə	0.24
ˈʊ	ˈuː	0.222
n	j_ə	0.208
ˈa	ˈɔː	0.188
ˈa	ˈɔ	0.188
ˈa	ˈa	0.188
ˈɒː	ˈoː	0.182
ˈɒː	ˈiː	0.182
ˈiː	ˈiː_w	0.182
ˈiː	ˈiː	0.182
ˈɛɪ̯	ˈɛɪ̯	0.15
ˈɪ	ˈʊ	0.13
ˈa	ˈoːu̯	0.125
ˈɛɪ̯	ˈoː	0.1
ˈɛɪ̯	ˈaː	0.1
l	l_ɪ	0.083
<#_d	<#_j	0.074
ə_#>	x_#>	0.071
