Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	0.0	5.12
b	b	0.0	5.12
d	d	0.066	5.12
d	t	4.492	5.12
f	f	0.163	5.12
f	ʋ	3.222	5.12
h	h	0.0	5.12
j	x	1.415	5.12
j	ɡ	1.415	5.12
j	j	2.0	5.12
k	k	0.0	5.12
l	l	0.0	5.12
l_d	l_t	0.0	5.12
m	m	0.0	5.12
n	n	0.04	5.12
n_ɐ	n_ɐ	0.0	5.12
p	p	0.0	5.12
r	r	0.1	5.12
r	-	3.907	5.12
s	s	1.0	5.12
s	ʃ	1.0	5.12
t	t	0.246	5.12
t	d	3.087	5.12
t	-	4.672	5.12
t_n	t_n	0.0	5.12
t_v	t_ʋ	0.0	5.12
v	v	0.0	5.12
w	ʋ	0.0	5.12
x	x	0.0	5.12
z	s	0.322	5.12
z	z	2.322	5.12
ç	ç	0.0	5.12
ŋ	ŋ	0.0	5.12
ɐ	ɐ	0.133	5.12
ɐ	-	3.503	5.12
ɐ_m	m	0.0	5.12
ə	ə	0.93	5.12
ə	-	1.234	5.12
ə	ɐ	4.322	5.12
ɡ	ɡ	0.0	5.12
ɣ	x	0.322	5.12
ɣ	ɣ	2.322	5.12
ɣ_ə	ç	0.0	5.12
ɪ	ɪ	0.0	5.12
ʃ	ʃ	0.585	5.12
ʃ	ʃ_k	1.585	5.12
ˈa	ˈa	0.0	5.12
ˈaʊ̯	ˈoː	0.363	5.12
ˈaʊ̯	ˈaʊ̯	2.17	5.12
ˈaː	ˈaː	0.0	5.12
ˈeo̯	ˈaʊ̯	0.0	5.12
ˈeː	ˈɪə̯	1.415	5.12
ˈeː	ˈɪɛ̯	1.415	5.12
ˈeː	ˈɛː	2.0	5.12
ˈiː	ˈiː	0.0	5.12
ˈoː	ˈuːə̯	0.737	5.12
ˈoː	-	1.322	5.12
ˈuː	ˈuː	0.415	5.12
ˈuː	ˈʊ	2.0	5.12
ˈyː	ˈyː	0.0	5.12
ˈɒː	ˈɔː	0.379	5.12
ˈɒː	ˈaː	2.115	5.12
ˈɔ	ˈɔ	0.585	5.12
ˈɔ	ˈuːə̯	1.585	5.12
ˈɔʏ̯	ˈøː	0.0	5.12
ˈɛ	ˈɛ	0.322	5.12
ˈɛ	ˈɪɛ̯	2.322	5.12
ˈɛɪ̯	ˈaɪ̯	0.716	5.12
ˈɛɪ̯	ˈeː	1.354	5.12
ˈɛɪ̯_f	ˈaɪ̯_v	0.0	5.12
ˈɛː	ˈɪɛ̯	0.0	5.12
ˈɪ	ˈɪ	0.163	5.12
ˈɪ	ˈɛ	3.222	5.12
ˈʊ	ˈʊ	0.0	5.12
ˈʏ	ˈʏ	0.585	5.12
ˈʏ	ˈø	1.585	5.12
