Eastphalian	Westphalian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_s	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_s	1.0
<#_ɣ	<#_x	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɛɪ̯	<#_ˈeː	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	b	1.0
d	d	1.0
j	ɡ	1.0
k	k	1.0
k_#>	k_#>	1.0
k_n	k_n	1.0
k_ə	k	1.0
l	l	1.0
l_#>	l_#>	1.0
m_#>	m_#>	1.0
n_ə	n	1.0
r	r	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	d_#>	1.0
t_n	t_n	1.0
t_ə	t_#>	1.0
v_n	v_n	1.0
v_ə	v_ə	1.0
w	ʋ	1.0
z	z	1.0
ç	ç_#>	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɣ_ə	ç	1.0
ɪ	ɪ	1.0
ʃ	ʃ_k	1.0
ˈa	ˈa	1.0
ˈa_ɐ	ˈɪɛ̯	1.0
ˈaː	ˈaː	1.0
ˈeo̯	ˈaʊ̯	1.0
ˈiː	ˈiː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈyː_ɐ	ˈyː_ɐ	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɛ	ˈɛ	1.0
ˈɛɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɛː	ˈɪɛ̯	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ	ˈʊ	1.0
ˈʊ_l	ˈʊ_l	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʊ_ŋ	ˈʊ_ŋ	1.0
t	-	0.071
x	x_#>	0.571
ˈɛɪ̯	ˈaɪ̯	0.611
m	n	0.222
ˈaʊ̯	ˈaʊ̯	0.222
ˈɔ	ˈuːə̯	0.333
ˈʏ	ˈø	0.333
<#_j	<#_j	0.4
v	v	0.4
ɐ	-	0.114
ˈoː	-	0.4
ˈɪ	ˈɪ	0.864
d_#>	t_#>	0.235
d_#>	d_#>	0.765
f_#>	f_#>	0.25
f_#>	v_#>	0.375
f_#>	ʋ_#>	0.375
n	n	0.255
p	p	0.455
p	p_#>	0.545
t	t_#>	0.5
ŋ	ŋ_#>	0.5
ŋ	ŋ	0.5
ə	-	0.25
ə	ə_#>	0.75
ˈeː	ˈɪə̯	0.5
ˈeː	ˈɪɛ̯	0.5
ˈuː	ˈʊ	0.25
ˈuː	ˈuː	0.75
ˈɒː	ˈaː	0.25
ˈɒː	ˈɔː	0.75
<#_j	<#_x	0.6
n	n_#>	0.706
v	ʋ	0.6
ɐ	ɐ	0.086
ˈoː	ˈuːə̯	0.6
ˈɪ	ˈɛ	0.136
ˈɔ	ˈɔ	0.667
ˈʏ	ˈʏ	0.667
m	m	0.778
ɐ	ɐ_#>	0.8
ˈaʊ̯	ˈoː	0.778
t	t	0.429
x	x	0.429
ˈɛɪ̯	ˈeː	0.389
