Elfdalian	Gothic	probability
ˈʏː	-	1.0
ˈʉ̃ːə̯	w	1.0
ˈʉːə̯	ˈoː	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪ	ˈi	1.0
ˈɛː	ˈi_ɡ	1.0
ˈɔː	ˈa_l	1.0
ˈɑːu̯	ˈuː	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː	ˈa	1.0
ˈɑ	ˈa	1.0
ˈœː	ˈɔː	1.0
ˈœ	ˈi	1.0
ˈæː_r	ˈɔː_s	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyːœ̯	ˈoː	1.0
ˈyœ̯	ˈɛ	1.0
ˈo	ˈa	1.0
ˈiːe̯	ˈɛː	1.0
ʨː	t	1.0
ʨ	k	1.0
ʏ	a	1.0
ʉ	-	1.0
ɡː	-	1.0
ɛ_ɽ	l_s	1.0
ŋ	ŋ	1.0
w	w	1.0
sː	k_i	1.0
s	s	1.0
pː	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
lː	lː	1.0
l	l	1.0
kː	k	1.0
kʰ	kʷ	1.0
k	k	1.0
j_ˈʉːə̯	ˈiu̯	1.0
f	f	1.0
b	b	1.0
a	j	1.0
ɡ	ɡ	0.935
n	n	0.918
d	d	0.891
r	r	0.838
ɽ	l	0.827
ˈoː	-	0.735
ˈʉ	ˈu	0.717
t	t	0.678
ˈɔ̃ː	-	0.648
ɔ	a	0.6
ˈɛ	ˈa	0.57
ˈɪː	ˈi	0.553
j	ˈɛ	0.538
ɑ	a	0.516
ˈʉː	ˈu	0.512
tː	t	0.508
ˈɔ	ˈa	0.5
ˈɔ	h_ˈa	0.5
tː	h_t	0.492
ˈɪː	-	0.447
v	f	0.441
nː	nː	0.432
ˈɛ	-	0.43
v	β	0.418
ˈʉə̯	-	0.415
ɔ	aː	0.4
ˈɔ̃ː	ˈa	0.352
ɛ	a	0.337
ˈʉə̯	ˈɔ	0.326
t	t_s	0.322
ð	θ	0.312
ˈʉː	-	0.3
ð	ð	0.295
nː	r_n	0.284
nː	n_θ	0.284
ˈoː	ˈɔː	0.265
ɑ	oː	0.263
ˈʉə̯	w_ˈɔ	0.259
ɛ	-	0.246
ð	θ_s	0.228
ɣ	ɡ	0.22
ɣ	k	0.204
ˈʉː	ˈuː	0.188
ɑ	j_a	0.184
ɽ	l_ˈa	0.173
ɛ	r	0.168
ɛ	i	0.168
ɣ	x	0.166
ɣ	s	0.166
ð	s	0.166
r	s	0.162
j	ˈɛː	0.158
j	ˈi_l	0.158
ˈʉ	-	0.148
j	ˈi	0.146
ɣ	ɣ	0.145
v	b	0.141
ˈʉ	w_ˈu	0.135
d	θ	0.109
ɣ	ɡʷː	0.1
n	oː	0.082
ɛ	e	0.081
ɡ	ɡʷ	0.065
