Phone1	Phone2	Surprisal	OOV_Smoothed
#>	d̥_#>	1.459	5.19
#>	n_#>	1.459	5.19
#>	x_#>	1.874	5.19
<#	<#_j	0.0	5.19
<#_n	<#_n	0.0	5.19
<#_r	<#_ʀ	0.0	5.19
b	b	0.0	5.19
d	d	0.0	5.19
d_#>	d̥_#>	0.0	5.19
f	v	0.0	5.19
j	ˈeː	1.138	5.19
j	-	1.874	5.19
j	ˈæː	1.874	5.19
j_ˈʉːə̯	ˈeː	0.0	5.19
k	k	0.322	5.19
k	ə_k	2.322	5.19
k_t	x	0.0	5.19
kʰ	k	0.0	5.19
kː	k	1.0	5.19
kː	ŋ_k	1.0	5.19
l	j	1.0	5.19
l	l	1.0	5.19
lː	l	0.0	5.19
m	m	0.0	5.19
n	n	0.17	5.19
n	ə	3.17	5.19
n_#>	#>	0.0	5.19
nː	n	0.363	5.19
nː	ʀ	2.17	5.19
nː_#>	ʀ_ə_#>	0.0	5.19
p	p	0.0	5.19
pʰ	p	0.0	5.19
pː	p	0.0	5.19
r	ʀ	0.138	5.19
r	ə	4.196	5.19
r	ə_ʀ	4.781	5.19
s	z	0.521	5.19
s	s	1.722	5.19
s_#>	z̥_#>	0.0	5.19
s_j	z	0.0	5.19
s_k	s	0.737	5.19
s_k	ʃ	1.322	5.19
s_t	s	0.0	5.19
s_ʨ	ʃ	0.485	5.19
s_ʨ	s	1.807	5.19
t	t	0.0	5.19
tʰ	d	0.71	5.19
tʰ	t	1.363	5.19
tː	t	0.415	5.19
tː	x	2.0	5.19
v	v̥	0.459	5.19
v	v	1.874	5.19
w	β	0.0	5.19
ð	d̥	0.441	5.19
ð	j	1.926	5.19
ŋ	ŋ	0.0	5.19
ŋ_ɡ	ŋ	0.0	5.19
ɑ	ə	0.427	5.19
ɑ	-	2.285	5.19
ɑ	d_ə	4.285	5.19
ɔ	ə	0.0	5.19
ɛ	ə	0.0	5.19
ɛ_r	ʀ	0.0	5.19
ɛ_ɽ	ə_l	0.0	5.19
ɡ	ɣ	0.0	5.19
ɡ_#>	k_#>	0.0	5.19
ɡː	k	0.0	5.19
ɣ	x	0.485	5.19
ɣ	ɣ	1.807	5.19
ɪ	-	0.0	5.19
ɽ	l	0.0	5.19
ʉ	ɪ	0.0	5.19
ʉ_#>	#>	0.0	5.19
ʥ	ɣ	0.0	5.19
ʨ	k	0.0	5.19
ˈiːe̯	ˈɛː	0.415	5.19
ˈiːe̯	ɦ_ˈɛː	2.0	5.19
ˈo	ˈaː	0.0	5.19
ˈoː	ɦ	0.0	5.19
ˈyːœ̯	ˈøː	0.0	5.19
ˈæ	ˈeː	0.737	5.19
ˈæ	ˈɑ	1.322	5.19
ˈæː	-	0.0	5.19
ˈœː	ˈu	0.807	5.19
ˈœː	ˈɔː	1.222	5.19
ˈɑ	ˈɑː	1.807	5.19
ˈɑ	ˈaː	2.222	5.19
ˈɑ	ˈɑ	2.222	5.19
ˈɑ	ˈæ	2.807	5.19
ˈɑ	ˈæː	2.807	5.19
ˈɑː	ˈaː	0.363	5.19
ˈɑː	ˈɑː	2.17	5.19
ˈɑːi̯	ˈiː	0.0	5.19
ˈɑːu̯	ˈuː	0.0	5.19
ˈɔː	ˈɒː	1.222	5.19
ˈɔː	ˈaː	1.807	5.19
ˈɔː	ˈi	1.807	5.19
ˈɔ̃ː	j	0.0	5.19
ˈɛ	-	2.0	5.19
ˈɛ	ˈæ	2.0	5.19
ˈɛ	ˈɛː	2.0	5.19
ˈɛ	ˈɪ	2.0	5.19
ˈɪ	ˈɪː	0.83	5.19
ˈɪ	ˈɛ	2.415	5.19
ˈɪ	ˈi	3.0	5.19
ˈɪ	ˈɪ	3.0	5.19
ˈɪː	ˈeː	1.585	5.19
ˈɪː	ˈi	1.585	5.19
ˈɪː	ˈiː	1.585	5.19
ˈʉ	ˈʊː	1.585	5.19
ˈʉ	ˈɔ	2.0	5.19
ˈʉ	ˈɔː	2.0	5.19
ˈʉ	ɦ_ˈʊː	2.585	5.19
ˈʉə̯	ˈʊː	0.585	5.19
ˈʉə̯	ʀ	1.585	5.19
ˈʉː	ˈuː	0.0	5.19
ˈʉːə̯	ˈʊː	1.263	5.19
ˈʉːə̯	ˈeː	2.0	5.19
ˈʉːə̯	l	2.585	5.19
ˈʉːə̯	ˈoː	2.585	5.19
ˈʏ	ˈœ	0.0	5.19
ˈʏː	ˈøː	0.0	5.19
