Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	0.893	5.274
#>	d̥_#>	2.7	5.274
#>	ŋ_#>	3.115	5.274
#>	ɐ_#>	3.115	5.274
#>	ɕ_#>	3.7	5.274
<#	<#_h	0.0	5.274
<#_j	<#	0.0	5.274
<#_n	<#_n	0.0	5.274
<#_r	<#_ʀ	0.0	5.274
<#_ɽ	<#_l	0.0	5.274
a	ə	0.0	5.274
b	b	0.0	5.274
d	d	0.0	5.274
d_#>	d̥_#>	0.415	5.274
d_#>	#>	2.0	5.274
d_ɛ	ɐ	0.0	5.274
f	f	0.0	5.274
j	ˈɜɪ̯	1.585	5.274
j	-	2.585	5.274
j	ˈiː	2.585	5.274
j	h	3.17	5.274
j	ˈə	3.17	5.274
j	ˈɛ	3.17	5.274
j_ˈʉːə̯	ˈɜɪ̯	0.0	5.274
k	ɕ	1.0	5.274
k	χ	1.585	5.274
k	-	2.585	5.274
k_#>	#>	0.0	5.274
kʰ	kʰ	0.0	5.274
kː	-	0.0	5.274
l	l	0.0	5.274
lː	l	0.0	5.274
l̥	ʃ_l	0.0	5.274
m	m	0.0	5.274
n	n	0.372	5.274
n	-	2.138	5.274
n_d	n	0.0	5.274
n_ɑ	n	0.0	5.274
nː	n	0.415	5.274
nː	ɐ	2.0	5.274
nː_#>	ʀ_#>	0.0	5.274
p	f	0.0	5.274
pʰ	-	0.0	5.274
r	ɐ	0.965	5.274
r	ʀ	1.036	5.274
r_#>	#>	0.0	5.274
rː	ɐ	0.0	5.274
s	ʃ	0.888	5.274
s	z	1.303	5.274
s	-	4.209	5.274
s_#>	z̥_#>	0.0	5.274
s_k	ʃ	0.0	5.274
s_ʨ	ʃ	0.0	5.274
s_ˈyːœ̯	z	0.0	5.274
sː	z̥	0.0	5.274
t	s	0.951	5.274
t	t	1.399	5.274
t	ʦ	3.273	5.274
tʰ	d	0.766	5.274
tʰ	ʦ	1.28	5.274
tː	ɕ_t	1.585	5.274
tː	s	2.17	5.274
tː	t	2.17	5.274
tː	ʦ	2.17	5.274
v	v̥	1.459	5.274
v	-	1.874	5.274
v	f	2.459	5.274
v	ə_f	2.459	5.274
w	v	0.441	5.274
w	w	1.926	5.274
ð	d̥	0.862	5.274
ð	t	2.0	5.274
ð	d	2.322	5.274
ŋ	ŋ	0.0	5.274
ŋ_ɡ	ŋ	0.0	5.274
ɑ	ə_n	0.788	5.274
ɑ	-	1.788	5.274
ɑ	n	2.926	5.274
ɑ̃	-	0.0	5.274
ɔ	ə	0.0	5.274
ɔ̃	-	0.0	5.274
ɛ	-	0.0	5.274
ɛ_r	ɐ	0.0	5.274
ɡ	ɡ	0.0	5.274
ɡ_#>	ɡ̊_#>	0.0	5.274
ɡː	k	0.737	5.274
ɡː	-	1.322	5.274
ɣ	ɕ	0.585	5.274
ɣ	-	1.585	5.274
ɣ_#>	#>	0.0	5.274
ɽ	l	0.0	5.274
ɽ_#>	l_#>	0.0	5.274
ʉ	ŋ	0.0	5.274
ʉ_#>	#>	0.0	5.274
ʏ	ˈi_v	0.0	5.274
ʥ	ɡ	0.0	5.274
ʥː	k	0.0	5.274
ʨ	-	0.0	5.274
ʨː	ə	0.0	5.274
ˈiːe̯	ˈeː	0.0	5.274
ˈo	-	0.0	5.274
ˈoː	-	0.0	5.274
ˈyœ̯	ˈiː	0.0	5.274
ˈyːœ̯	-	0.0	5.274
ˈæ	-	0.585	5.274
ˈæ	ˈɛː	1.585	5.274
ˈæː	-	0.0	5.274
ˈœ	ˈə	0.0	5.274
ˈœː	-	1.585	5.274
ˈœː	ˈaː	1.585	5.274
ˈœː	ˈəʊ̯	1.585	5.274
ˈɑ	ˈɑ	0.678	5.274
ˈɑ	ˈaː	1.415	5.274
ˈɑ_r	ˈaː	0.0	5.274
ˈɑː	ˈaː	0.515	5.274
ˈɑː	-	1.737	5.274
ˈɑːi̯	ˈæːɪ̯	0.363	5.274
ˈɑːi̯	-	2.17	5.274
ˈɑːu̯	ˈæːʊ̯	0.485	5.274
ˈɑːu̯	ˈɑʊ̯	1.807	5.274
ˈɔ	-	1.0	5.274
