Phone1	Phone2	PMI
ɔ̃	eː	9.695
v_#>	f_#>	9.425
k_#>	k_#>	9.168
l̥	s_l	9.048
s_#>	s_#>	8.885
ˈɑ_n	ˈɔː_n	8.785
<#_n	<#_n	8.69
<#_tʰ	<#_t	8.642
v	f_#>	8.425
k	k_#>	8.153
tʰ	<#_t	7.572
r_t	r_t	6.992
pʰ	<#_p	6.917
<#_pʰ	<#_p	6.917
ŋ	ŋ	6.86
p	p	6.814
pː	p	6.761
ɛ_ɽ	ə_ɫ	6.741
v	v	6.704
n	<#_n	6.693
ɡ_#>	ɡ_#>	6.658
r_d	r_d	6.447
m	m	6.243
ɡ	ɡ	6.241
mː	m	6.223
ð_#>	θ_#>	6.216
<#_r	<#_r	6.201
b	b	6.095
l	ɫ	6.019
f	f	5.995
v_#>	f	5.949
ʨ	ʃ	5.874
ɣ_#>	x_#>	5.848
s	s_#>	5.848
l̥	l	5.815
ˈɑ	ˈa	5.78
ˈʉ	ˈu	5.749
ˈɑːu̯	ˈuː	5.739
k_#>	k	5.713
r_ɑ	r_ə	5.712
ˈiːe̯	ˈɔː	5.71
ɽ_#>	ɫ_#>	5.697
<#_ɽ	<#_l	5.658
kʰ	k	5.653
ˈʉː	ˈuː	5.471
w	w	5.461
ˈɪ̃ː	ˈeː	5.379
rː	r_ˈiː	5.311
ʥː	ʤ	5.305
ˈœː	ˈɛː	5.242
ɽ	l	5.242
ɣ	x_#>	5.232
ɡ	ɡ_#>	5.172
ˈʉə̯	w_ˈu	5.124
tʰ	θ	5.078
ˈɛ	ˈɛ	5.023
s_#>	s	4.953
v	f	4.949
ˈɑːi̯	ˈiː	4.902
ˈɪː	ˈiː	4.9
ˈɪ	ˈi	4.896
k	k	4.86
r_#>	r_#>	4.855
ˈɔ	ˈaː	4.82
t	t	4.813
tː	t	4.764
k	ʃ	4.763
<#_tʰ	t	4.751
ɡː	ʤ	4.749
ˈɔː	ˈɛː	4.728
ˈæː	ˈau̯	4.723
ˈʉːə̯	ˈoː	4.718
d	d	4.685
ˈæː	ˈɛː	4.661
ð	θ_#>	4.577
ˈʉ	w_ˈu	4.568
s	s	4.563
tː_#>	ç_t_#>	4.547
s	ʃ	4.545
s_ʨ	ʃ	4.536
s_k	ʃ	4.536
tː_#>	ç	4.527
ɣ_#>	x	4.517
ˈɑː	ˈaː	4.446
pʰ	p	4.443
<#_pʰ	p	4.443
ɡ_#>	ɡ	4.325
ˈɑ	ˈɔː_n	4.281
ð_#>	θ	4.218
ˈœː	ˈeː	4.21
ʨ	ʧ	4.176
r	r	4.156
ɽ	<#_l	4.152
w	ʍ	4.15
ð	d	4.081
ɽ	ɫ_#>	4.035
ˈɑ	ˈɔː	3.994
<#_n	n	3.986
ˈɪ	ˈiː	3.932
ð	θ	3.927
ˈo	ˈɔ	3.925
ɣ	x	3.901
ɽ_#>	ɫ	3.886
ɽ	ɫ	3.885
j	ˈɛ	3.881
n	n	3.868
ˈʉə̯	ˈu	3.851
<#	<#_n	3.844
<#	<#_h	3.844
r	<#_r	3.823
ˈʉə̯	w	3.807
a	ə	3.806
l̥	s	3.77
<#	<#_t	3.77
kː	k	3.751
ˈʉːə̯	ˈeː	3.747
ɛ	ə	3.725
ɔ	ə	3.722
<#_ɽ	l	3.715
ˈɑ_n	ˈɔː	3.698
tʰ	t	3.681
r	r_#>	3.675
ˈɪː	ˈi	3.634
ˈœ	ˈeː	3.607
ɑ	ə	3.555
ɡ_r	ɡ_r	3.497
nː	n	3.495
kʰ_n	k_n	3.456
r_ˈœː	r_ˈɛː	3.442
tː	ç_t_#>	3.416
ˈʉːə̯_ɣ	ˈiː_ə	3.404
tː	ç	3.396
ˈyːœ̯	ˈeː	3.322
ˈʏ	ˈu	3.318
j	ˈeː	3.304
#>	k_#>	3.281
#>	f_#>	3.281
ɛ	ə_ɫ	3.28
ɽ_j	l	3.271
ˈʉə̯	ˈɔ	3.246
tː_#>	t	3.218
ˈʉːə̯_t	ˈoː_t	3.172
ɑ	ə_n	3.141
n	ˈɔː_n	3.112
ˈɑː	ˈa	3.109
#>	s_#>	3.106
s	z	3.082
m_#>	m_#>	3.056
rː	ˈiː	3.03
s_j	s_ˈi	2.936
ˈʉ	w	2.934
ɽ_j	l_ˈiː	2.933
ˈɪ_n	ˈiː_n	2.928
s_j	s_ˈɛː	2.887
j_ˈʉːə̯	ˈeː	2.863
ʨː	ʧ	2.831
<#_r	r	2.788
r_#>	r	2.781
rː	r	2.767
r_ˈɑːi̯	r_ˈeː	2.706
ˈʉːə̯_ð	ˈoː_d	2.698
t	r_t	2.609
m	m_#>	2.596
<#	<#	2.59
#>	#>	2.59
d	r_d	2.566
ɽ	ə_ɫ	2.519
ˈɔ	ˈɛi̯	2.505
<#	h	2.454
ˈʉː_ɣ	ˈuː	2.4
j	l	2.302
<#	<#_p	2.2
<#	<#_r	2.189
ʏ	ˈɔː_v	2.176
m_#>	m	2.069
ŋ	n	2.063
nː_#>	θ_#>	2.027
ʏ	ˈɔː	2.008
lː	ɫ	1.934
ˈʉ	ˈi	1.911
ˈʉ̃ːə̯	ˈoː	1.887
nː_#>	r_n_#>	1.868
ɛ_ɽ	ɫ	1.866
kː	ŋ_k	1.847
r	r_d	1.823
#>	θ_#>	1.815
r	r_t	1.813
<#	<#_l	1.765
ʥː	ˈi_ʤ	1.722
ɛ	ɫ	1.716
ˈɑː	ˈæi̯	1.677
ˈɑ	ˈaː	1.668
sː	s	1.626
ˈʉːə̯	ˈiː_ə	1.621
d	ð	1.592
ˈɑ_n	n	1.586
#>	ɡ_#>	1.579
nː	r	1.538
ˈʉːə̯_ɣ	ˈiː	1.536
kː	ŋ	1.528
#>	r_#>	1.519
ˈæ	ˈi	1.517
ˈœː	r_ˈɛː	1.508
ˈʏ	ˈi	1.485
j	ˈɛː	1.461
#>	ɫ_#>	1.46
ˈɔː	ˈa	1.397
ˈʉ̃ːə̯	ˈoː_d	1.377
nː	θ_#>	1.361
ˈʉːə̯	ˈiː	1.349
s_j	s	1.33
nː_#>	n	1.304
ˈɔː	ˈɔː	1.287
ɡː	ʤ_ə	1.266
#>	x_#>	1.246
ˈʉː	ˈɛː	1.23
nː	r_n_#>	1.201
tː	x_t	1.195
r_t	t	1.177
nː_#>	θ	1.162
nː	r_n	1.159
ˈʏ_ɡː	ʤ	1.151
kʰ	k_n	1.133
ˈɛ	ˈi	1.119
ɡ	j	1.1
tː	x	1.066
#>	n_#>	1.023
ˈɑːi̯	ˈeː	1.019
f	f_ˈɔ	1.017
ʨ	ʧ_ˈi	1.013
kː	k_ə	1.003
ɑ	r_ə	0.946
ˈɔː	ˈa_ɫ	0.929
ɡ	ɡ_r	0.897
ɑ	n	0.856
j	ˈi	0.84
nː_#>	r	0.823
ˈɔː	ɫ	0.818
ˈʏː	ə	0.81
r_d	d	0.801
r_d	r	0.788
r_ɑ	r	0.781
r_t	r	0.781
j	ˈiː	0.78
nː	n_ə	0.745
ʥ	j	0.729
t	ˈoː_t	0.643
n	k_n	0.627
a	ə_n	0.581
ɛ_ɽ	ə	0.565
r	r_ə	0.562
ɣ	ˈuː	0.528
ɔ	ə_n	0.526
ˈɑː_ɣ	ˈæi̯	0.517
j	s_ˈɛː	0.513
j	l_ˈiː	0.508
r_ɑ	ə	0.505
nː	θ	0.495
ɽ	l_ˈiː	0.49
ɡ_r	ɡ	0.469
ˈʉːə̯	ˈoː_t	0.442
s	s_ˈɛː	0.442
ˈɑːi̯	r_ˈeː	0.439
ð	ˈoː_d	0.421
ɣ	ˈiː_ə	0.408
r_ˈœː	ˈɛː	0.407
ɣ	ˈæi̯	0.379
ˈɪ	ˈiː_n	0.359
ˈɪ_n	ˈiː	0.334
r	ɡ_r	0.321
ˈʉːə̯_ð	ˈoː	0.316
ˈœː	r	0.316
n	ˈɔː	0.306
ˈʉːə̯	ˈoː_d	0.304
j_ˈʉː	ˈɛː	0.296
r	r_ˈɛː	0.292
ˈʉːə̯_t	ˈoː	0.287
ʏ	v	0.28
kʰ_n	k	0.245
ˈɑːi̯	r	0.242
ˈʉːə̯_ɣ	ə	0.231
j	s_ˈi	0.206
#>	m_#>	0.201
<#	<#_j	0.198
v_#>	#>	0.19
s_#>	#>	0.19
k_#>	#>	0.19
<#_tʰ	<#	0.19
<#_n	<#	0.19
s	s_ˈu	0.186
ɽ	ˈiː	0.183
ɣ	ˈiː	0.176
n	ˈiː_n	0.176
r	ə_r	0.156
#>	ç	0.117
ɽ_j	ˈiː	0.116
r	r_ˈeː	0.098
r_ˈɑːi̯	ˈeː	0.086
s	s_ˈi	0.066
ˈʉːə̯	ə	0.044
s_j	ˈi	0.037
r	ˈeː	-0.017
s	s_w	-0.041
ˈʉːə̯_t	t	-0.046
#>	ə_#>	-0.072
#>	x	-0.085
<#	t	-0.121
d	r	-0.146
s_j	ˈɛː	-0.148
#>	k	-0.173
<#	l	-0.178
#>	θ	-0.183
#>	f	-0.194
ɡ_r	r	-0.205
r_ˈɑːi̯	r	-0.214
r_ˈœː	r	-0.214
r	ˈɛː	-0.226
<#	j	-0.26
kʰ_n	n	-0.264
a	n	-0.264
ɽ_#>	#>	-0.269
pʰ	<#	-0.269
<#_pʰ	<#	-0.269
<#	p	-0.275
ɣ_#>	#>	-0.276
ɡ_#>	#>	-0.276
ɑ_#>	#>	-0.276
ð_#>	#>	-0.276
tː_#>	#>	-0.276
r_#>	#>	-0.276
nː_#>	#>	-0.276
<#_ɽ	<#	-0.276
<#_r	<#	-0.276
ˈɪ_n	n	-0.283
ˈʉːə̯_ð	d	-0.314
ɔ	n	-0.321
ʉ	n	-0.331
#>	ɫ	-0.351
ɽ	ə	-0.451
ɡː	ə	-0.471
#>	ç_t_#>	-0.484
ʥː	ˈi	-0.487
ˈɑ	n	-0.55
n	k	-0.562
kʰ	n	-0.59
t	r	-0.73
r	ɡ	-0.738
m_#>	#>	-0.741
#>	ɡ	-0.754
nː	ə	-0.781
f	ˈɔ	-0.784
#>	m	-0.786
v	#>	-0.81
ɑ	r	-0.825
k	#>	-0.825
#>	s	-0.826
ɡ	r	-0.837
<#	n	-0.86
n	ˈiː	-0.863
r	d	-0.875
tʰ	<#	-0.88
ɣ	#>	-0.892
#>	ə	-0.92
#>	r	-0.938
#>	n	-1.0
#>	r_n_#>	-1.096
r	t	-1.131
m	#>	-1.201
ɣ	ə	-1.222
