Phone1	Phone2	PMI
ˈaʊ̯_#>	ˈəʊ̯_#>	10.392
ˈaɪ̯_d	ˈæːɪ̯_t	10.281
f_#>	v̥_#>	9.725
ʃ_#>	ʃ_#>	9.53
pʰ	pʰ	9.423
t_#>	ʦ_#>	9.421
<#_n	<#_n	8.908
f_#>	v̥	8.423
s_#>	z̥_#>	8.335
ʃ	ʃ_#>	8.32
ˈɔː_n	ˈaː_ʀ	8.253
ˈɜː	ˈuː	8.1
ˈaʊ̯	ˈəʊ̯_#>	7.978
p_#>	f_#>	7.962
ɫ_#>	l_#>	7.811
ɜː	ʀ_ˈæːɪ̯	7.111
p	p	7.046
ɫ	l_#>	7.035
s_#>	z̥	7.033
kʰ	kʰ	7.033
f	v̥_#>	6.914
ˈaɪ̯_n	ˈæːɪ̯_n	6.881
v	v_ə	6.828
ˈaʊ̯_#>	ˈəʊ̯	6.768
ɪ	ə_ɕ	6.743
ŋ	ŋ	6.685
p	f_#>	6.642
θ_#>	d̥_#>	6.618
d_ˈe	d_ˈəʊ̯	6.587
ɜː	ˈæːɪ̯	6.477
ˈaʊ̯	ˈæːʊ̯	6.436
l_ˈiː	l_ˈaː	6.339
h	h	6.318
ʤ	k	6.3
ɡ	ɡ	6.298
b	b	6.244
ˈɑː_θ	ˈaː_d̥	6.17
t_#>	ʦ	6.111
n	<#_n	6.085
tʰ	ʦ	6.056
s	z̥_#>	5.999
t	ʦ_#>	5.951
ˈuː	ˈu	5.867
m	m	5.655
f	v̥	5.611
w	w	5.567
ʃ_#>	ʃ	5.556
ʃ	ʃ	5.556
<#_ɹ	<#_ʀ	5.464
θ_#>	d̥	5.316
ˈʊ	ˈo	5.208
ˈɔː	ˈaː_ʀ	5.187
ˈe	ˈiə̯	5.154
ˈæ	ˈɑ	5.145
f	f	5.115
ˈɪ	ˈe	5.069
ˈɑː	ˈaː	5.027
v	v	4.924
ˈe	ˈɛ	4.922
ˈaɪ̯	ˈæːɪ̯	4.917
p_#>	f	4.906
ə	ɐ	4.889
ˈəʊ̯	ˈeː	4.867
s	z	4.857
ð	d	4.855
ˈɐ	ˈo	4.853
ɜː	ʀ	4.796
ɪ	ə	4.751
l	l	4.734
s	z̥	4.697
<#	<#_n	4.696
ɹ	ʀ	4.678
ɫ_#>	l	4.637
ɫ	l	4.637
t	t	4.62
ˈeɪ̯	ˈaː_χ	4.581
ˈaɪ̯	ˈɑɪ̯	4.556
<#_d	<#_d	4.531
θ	d̥_#>	4.515
ˈɔː	ˈaː	4.503
əʊ̯	ʑ	4.481
ˈɪ	ˈə	4.474
ˈaɪ̯	ˈæːɪ̯_t	4.42
t	s	4.413
ˈaɪ̯_d	ˈæːɪ̯	4.381
ˈaʊ̯	ˈəʊ̯	4.354
p	f	4.346
ˈɛ	ˈiː	4.304
s	ʃ	4.27
k	ɕ	4.269
d	d̥	4.235
θ	d	4.23
ɹ	<#_ʀ	4.214
ˈeɪ̯	ˈaː	4.169
ˈaʊ̯	ˈɑʊ̯	4.11
k	k	4.064
<#_n	n	4.047
ˈaɪ̯	ˈiː_ɕ	4.028
ˈiː	ˈɜɪ̯	4.001
ˈɐ	ˈɔ	3.879
d	d	3.828
n	n	3.822
ˈɐ	ˈʊ	3.797
θ	d̥	3.653
d	ˈæːɪ̯_t	3.635
ˈɪ	ˈɑ	3.626
ˈe	ˈəʊ̯	3.606
ˈe	ˈeː	3.596
j	ɡ	3.58
ˈaɪ̯	ˈiː	3.537
#>	ˈəʊ̯_#>	3.535
#>	ʦ_#>	3.535
#>	ʃ_#>	3.535
k	χ	3.499
t	ʦ	3.489
<#_d	d	3.485
#>	z̥_#>	3.471
l_ˈæ	l_ˈɑ	3.449
s_l	ʃ_l	3.411
s_ˈɪ	z_ˈə	3.4
#>	v̥_#>	3.397
v	ə_f	3.386
ˈɑː	ˈaː_d̥	3.266
ˈaɪ̯_d	t	3.236
ˈɪ	ˈi	3.232
d	<#_d	3.174
ˈiː	ˈoː	3.164
#>	l_#>	3.141
p	f_ə	3.136
ɫ_d_#>	l_#>	3.131
<#_ɹ	ʀ	3.119
ˈeɪ̯	ˈoː_ə	3.078
ɪ	ɕ	3.04
ˈeɪ̯	ˈoː	3.026
ˈəʊ̯_n	ˈeː_n	2.995
n_#>	ŋ_#>	2.983
ˈɑː	ˈɑ_l	2.952
ˈɔː_n	ˈaː	2.934
ˈiː	ˈeː	2.911
ˈɔː	ʀ	2.9
ˈiː_#>	ˈæːɪ̯_#>	2.881
ˈiː_t	ˈɜɪ̯_s	2.88
ˈiː	ˈaː	2.853
ˈaɪ̯	ˈuə̯	2.845
<#_l	<#_l	2.804
ˈeɪ̯	χ	2.793
ɹ_ˈe	ʀ_ˈə	2.777
<#	<#_ʀ	2.756
ˈɪ_n	ˈɑ_n	2.704
ˈaɪ̯	ˈɜɪ̯_ə	2.592
ˈe	ˈɑ	2.578
ˈaɪ̯	ˈæːɪ̯_n	2.532
<#	<#	2.515
#>	#>	2.515
#>	f_#>	2.512
ˈiː_#>	ˈɜɪ̯_#>	2.511
v	f	2.497
ˈaɪ̯	ˈɜɪ̯	2.495
ˈe	d_ˈəʊ̯	2.451
ˈeɪ̯	ˈeː	2.422
ˈaɪ̯_n	ˈæːɪ̯	2.422
ˈɑː	ˈɑ	2.419
w	v	2.404
d_ə	n_ɐ	2.368
n	ŋ	2.342
ˈɔː_n	ʀ	2.33
