Phone1	PhonEnv	Phone2	Surprisal
a	<|S|	ə	0.427
a	<|S|#	ə	0.439
a	<|S|>	ə	1.216
a	<|S|>	ɛi̯	2.361
a	<|S|>_N	ɛi̯	1.301
a	<|S|>_N	ə	2.364
a	<|S|>_R	ə	0.008
a	<|S|N	ɛi̯	1.388
a	<|S|N	ə	2.042
a	<|S|R	ə	0.01
a	=|S|	ə	1.627
a	=|S|#	ə	2.042
a	F_<|S|	ə	0.429
a	F_<|S|#	ə	0.459
a	F|S|	ə	0.38
a	F|S|#	ə	0.429
a	|S|#	ə	0.405
a	|S|>	ə	1.028
a	|S|>	ɛi̯	2.505
a	|S|>_N	ɛi̯	1.388
a	|S|>_N	ə	2.042
a	|S|>_R	ə	0.01
a	|S|N	ɛi̯	1.544
a	|S|N	ə	1.627
a	|S|R	ə	0.014
b̥	#|S|	b	0.0
b̥	#|S|<	b	0.0
b̥	#|S|<_F	b	0.0
b̥	#|S|<_R	b	0.0
b̥	#|S|F	b	0.0
b̥	#|S|R	b	0.0
b̥	>|S|	b	1.585
b̥	>|S|#	b	2.0
b̥	|S|#	b	1.585
b̥	|S|<	b	0.0
b̥	|S|<_F	b	0.0
b̥	|S|<_R	b	0.0
b̥	|S|F	b	0.0
b̥	|S|R	b	0.0
d̥	#|S|	d	0.6
d̥	#|S|	-	3.0
d̥	#|S|	nʲ	4.0
d̥	#|S|	d̥	4.585
d̥	#|S|<	d	0.508
d̥	#|S|<	-	3.415
d̥	#|S|<	nʲ	4.415
d̥	#|S|<	d̥	5.0
d̥	#|S|<_F	d	0.213
d̥	#|S|<_F	-	3.737
d̥	#|S|<_F	nʲ	4.737
d̥	#|S|F	d	0.272
d̥	#|S|F	-	3.415
d̥	#|S|F	nʲ	4.415
d̥	#|S|F	d̥	5.0
d̥	>|S|	-	1.126
d̥	>|S|	nʲ	2.126
d̥	>|S|	d̥	2.71
d̥	>|S|	d	3.263
d̥	>|S|#	nʲ	0.871
d̥	>|S|#	d̥	1.83
d̥	>|S|#	-	3.415
d̥	>|S|#	d	3.678
d̥	>|S|<	-	0.752
d̥	>|S|<	nʲ	2.941
d̥	>|S|<	d̥	3.126
d̥	>|S|<	d	3.678
d̥	>|S|<_F	-	0.193
d̥	>|S|<_F	d	4.0
d̥	>|S|<_F	nʲ	4.737
d̥	>|S|<_R	-	3.737
d̥	>|S|<_R	d	4.0
d̥	>|S|<_R	nʲ	4.737
d̥	>|S|F	-	0.245
d̥	>|S|F	d	3.678
d̥	>|S|F	nʲ	4.415
d̥	>|S|F	d̥	5.0
d̥	>|S|R	-	3.415
d̥	>|S|R	d	3.678
d̥	>|S|R	nʲ	4.415
d̥	>|S|R	d̥	5.0
d̥	F_>|S|	d̥	0.356
d̥	F_>|S|	-	3.415
d̥	F_>|S|	d	3.678
d̥	F_>|S|	nʲ	4.415
d̥	F_>|S|#	d̥	0.278
d̥	F_>|S|#	-	3.737
d̥	F_>|S|#	d	4.0
d̥	F_>|S|#	nʲ	4.737
d̥	F|S|	d̥	0.497
d̥	F|S|	-	3.0
d̥	F|S|	d	3.263
d̥	F|S|	nʲ	4.0
d̥	F|S|#	d̥	0.356
d̥	F|S|#	-	3.415
d̥	F|S|#	d	3.678
d̥	F|S|#	nʲ	4.415
d̥	|S|#	nʲ	0.98
d̥	|S|#	d̥	1.922
d̥	|S|#	-	3.0
d̥	|S|#	d	3.263
d̥	|S|<	-	1.352
d̥	|S|<	d	1.615
d̥	|S|<	nʲ	3.225
d̥	|S|<	d̥	3.538
