Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ʊ_ɹ_#>	0.743	5.305
#>	ɹ_#>	1.743	5.305
#>	ɪ_#>	3.945	5.305
#>	ɡ̊_ʊ_ɹ_#>	4.682	5.305
<#	<#_n	0.0	5.305
<#_j	<#	0.0	5.305
<#_l	<#_l	0.0	5.305
<#_n	<#_n	0.0	5.305
<#_v	<#	0.0	5.305
<#_ʁ	<#_ɹ	0.0	5.305
b	b̥	0.138	5.305
b	v_ʊ	3.459	5.305
b_n	v_a	0.0	5.305
b̥	v	0.0	5.305
d	tʰ	0.7	5.305
d	d̥	2.115	5.305
d	ʧʰ	2.7	5.305
d̥	d̥_ʊ	1.459	5.305
d̥	d̥	1.874	5.305
d̥	ɪ	2.459	5.305
d̥	ʊ	2.459	5.305
d̥_#>	#>	0.0	5.305
f	f	0.474	5.305
f	p	2.322	5.305
f	ʰp	3.644	5.305
f_#>	#>	0.0	5.305
h	h	0.0	5.305
k	ʰkː	0.737	5.305
k	k	1.322	5.305
kʰ	kʰ	0.322	5.305
kʰ	ʧʰ	2.322	5.305
l	l	0.485	5.305
l	l̥	1.807	5.305
m	m	0.0	5.305
n	n	1.333	5.305
n	a	1.392	5.305
n	nː	3.655	5.305
n	n̥	3.977	5.305
n	-	4.392	5.305
n	ˈʊ	4.977	5.305
n_#>	#>	0.0	5.305
n_d	nː	0.0	5.305
n_ə	nː	0.0	5.305
s	s	1.926	5.305
s	ʰt	1.926	5.305
s	t_ʊ	2.248	5.305
s	t	2.663	5.305
s	sː	3.248	5.305
s_#>	s_#>	0.0	5.305
s_n	t_a	0.0	5.305
s_ə	t_ʊ	0.0	5.305
t	t	1.954	5.305
t	-	2.632	5.305
t	j	2.632	5.305
t	w	2.954	5.305
t	ʊ	2.954	5.305
t	ʰt_ʊ	3.369	5.305
t	a	3.954	5.305
t_ɐ	ɪ_ɹ	0.0	5.305
tʰ	d̥	0.0	5.305
v	v	0.202	5.305
v	kʰ_v	2.939	5.305
x	k	1.0	5.305
x	ʰtː	1.0	5.305
z	s	0.17	5.305
z	ʃ	3.17	5.305
ç	k	0.0	5.305
ç_t	ʰtː	0.0	5.305
ŋ	ŋ	0.0	5.305
ɐ	ɹ	0.637	5.305
ɐ	ɪ_ɹ	2.807	5.305
ɐ	-	3.807	5.305
ɐ	ɡ̊_ʊ	3.807	5.305
ɐ	ɹ_a	3.807	5.305
ɐ_n	n̥	0.0	5.305
ə	a	0.907	5.305
ə	-	1.907	5.305
ə	n	3.907	5.305
ə	ɡ̊_a	3.907	5.305
ə	ʊ	3.907	5.305
ɡ	ɡ̊	0.503	5.305
ɡ	ɡ̊_v̥	2.503	5.305
ɡ	j	3.087	5.305
ɡ̊	ʊ_ɹ	0.0	5.305
ʁ	ɹ	0.0	5.305
ʃ	s	1.0	5.305
ʃ	ʃ	1.874	5.305
ʃ	s_k	2.138	5.305
ʦ	tʰ	0.322	5.305
ʦ	t	2.322	5.305
ˈa	ˈa	1.379	5.305
ˈa	ˈɔ	1.893	5.305
ˈa	ˈɛːa̯	1.893	5.305
ˈa	ˈɛ	3.7	5.305
ˈa_ɐ	ˈa_ɹ	0.0	5.305
ˈaɪ̯	ˈʊ̯iː	1.126	5.305
ˈaɪ̯	ˈai̯	1.778	5.305
ˈaɪ̯	ˈaːi̯	2.585	5.305
ˈaɪ̯	ˈɛ	3.585	5.305
ˈaʊ̯	ˈʉːu̯	0.652	5.305
ˈaʊ̯	ˈɛːi̯	1.459	5.305
ˈaː	ˈɛːa̯	1.1	5.305
ˈaː	ˈɔ̯aː	1.322	5.305
ˈaː	ˈa	2.907	5.305
ˈeː	ˈeː	0.737	5.305
ˈeː	ˈɔ̯aː	1.322	5.305
ˈiː	ˈɔːu̯	1.585	5.305
ˈiː	ˈʉːu̯	1.585	5.305
ˈiː	ˈʊ̯iː	1.585	5.305
ˈiː_ɐ	ˈɛːa̯_ɹ	0.0	5.305
ˈoː	ˈɔ̯aː	1.322	5.305
ˈoː	ˈɛːi̯	1.322	5.305
ˈoː	ˈɔ	2.322	5.305
ˈuː	ˈɔːu̯	0.415	5.305
ˈuː	ˈɛ_ɡ̊	2.0	5.305
ˈyː	ˈøː	0.737	5.305
ˈyː	ˈiː	1.322	5.305
ˈɔ	ˈʊ_t	1.585	5.305
ˈɔ	ˈoː	2.17	5.305
ˈɔ	ˈœ	2.17	5.305
ˈɔ	ˈɔ_t	2.17	5.305
ˈɔʏ̯	ˈʊ̯iː	0.0	5.305
ˈɛ	ˈɛ	0.585	5.305
ˈɛ	ˈɔ	1.585	5.305
ˈɪ	ˈɪ	0.628	5.305
ˈɪ	ˈiː	2.087	5.305
ˈɪ	ˈœ	3.087	5.305
ˈɪ_ç_#>	ˈeː_#>	0.0	5.305
ˈʊ	ˈʊ	0.459	5.305
ˈʊ	ˈɔ	1.874	5.305
ˈʏ	ˈɪ	0.0	5.305
