Phone1	Phone2	Surprisal	OOV_Smoothed
#>	d̥_#>	1.415	5.192
#>	ʀ_#>	1.415	5.192
#>	t_#>	2.0	5.192
<#_h	<#	0.0	5.192
<#_k	<#_k	0.0	5.192
<#_l	<#_l	0.0	5.192
<#_n	<#_n	0.0	5.192
<#_r	<#_ʀ	0.0	5.192
<#_s	<#_s	0.0	5.192
<#_t	<#_t	0.0	5.192
<#_ˈa	<#	0.0	5.192
<#_ˈu	<#	0.0	5.192
<#_θ	<#_t	0.0	5.192
a	ə	0.0	5.192
a_#>	#>	0.0	5.192
aː	ə	0.0	5.192
b	b	0.222	5.192
b	ə_v̥	2.807	5.192
d	d	0.459	5.192
d	-	1.874	5.192
e	ə	0.0	5.192
f	f	0.0	5.192
f_s	v̥	0.0	5.192
h	h	0.778	5.192
h	-	2.263	5.192
h	x	2.263	5.192
i	-	0.0	5.192
i_f	ə_n	0.0	5.192
iː	-	0.0	5.192
j	-	0.0	5.192
j_a	ə	0.0	5.192
k	k	0.415	5.192
k	-	2.0	5.192
kʷ	k	0.0	5.192
l	l	0.144	5.192
l	lʲ	3.392	5.192
l_s	ə_l	0.0	5.192
l_θ	lʲ	0.0	5.192
lː	l	0.0	5.192
m	m	0.0	5.192
n	n	0.755	5.192
n	nʲ	2.755	5.192
n	-	3.17	5.192
n	ə	3.755	5.192
n	ə_n	3.755	5.192
n_#>	#>	0.0	5.192
n_d	n	0.0	5.192
nː	n	0.0	5.192
oː	ə	0.0	5.192
oː_#>	#>	0.0	5.192
p	p	0.0	5.192
r	ʀ	0.0	5.192
s	s	0.874	5.192
s	ə	1.874	5.192
s	-	2.459	5.192
s_#>	#>	0.0	5.192
s_k	ʃ	0.0	5.192
t	t	0.29	5.192
t	-	3.459	5.192
t	tʲ	3.459	5.192
u	-	0.0	5.192
w	v	0.585	5.192
w	-	1.585	5.192
w_ˈu	ˈʊ	0.0	5.192
x	-	0.0	5.192
z	-	0.0	5.192
ð	d	0.0	5.192
ŋ	ŋ	0.0	5.192
ɔː	-	0.0	5.192
ɡ	-	1.503	5.192
ɡ	ɡ	1.503	5.192
ɡ	j	2.503	5.192
ɡ	ŋ	3.087	5.192
ɡʷ	ŋ	0.0	5.192
ɡʷː	ˈœː	0.0	5.192
ɣ	-	0.585	5.192
ɣ	w	1.585	5.192
ʍ	v	0.0	5.192
ˈa	ˈa	2.7	5.192
ˈa	ˈuː	2.7	5.192
ˈa	ˈœ	2.7	5.192
ˈa	ˈɒ	2.7	5.192
ˈa	ˈeː	3.115	5.192
ˈa	ˈɔː	3.115	5.192
ˈa	ˈɒː	3.7	5.192
ˈa	ˈɛː	3.7	5.192
ˈa_t	ˈɒː_d	0.0	5.192
ˈa_ŋ	ˈʊ	0.0	5.192
ˈeː	ˈeː	1.0	5.192
ˈeː	ˈɔu̯	1.0	5.192
ˈi	-	1.858	5.192
ˈi	ˈi	2.051	5.192
ˈi	ˈa	2.536	5.192
ˈi	ˈaː	3.273	5.192
ˈi	ˈeː	3.858	5.192
ˈi	ˈɔː	3.858	5.192
ˈi	ˈɛ	3.858	5.192
ˈiu̯	-	1.0	5.192
ˈiu̯	ˈiː	1.0	5.192
ˈiː	ˈi	0.363	5.192
ˈiː	-	2.17	5.192
ˈoː	ˈœ	0.585	5.192
ˈoː	-	1.585	5.192
ˈu	ˈʊ	1.222	5.192
ˈu	-	1.807	5.192
ˈu	ˈɔː	2.807	5.192
ˈu	ˈʏ	2.807	5.192
ˈuː	ˈʏ	0.0	5.192
ˈɔ	ˈyː	1.0	5.192
ˈɔ	ˈɔ	1.0	5.192
ˈɔ_r	ʀ	0.0	5.192
ˈɔː	ˈuː	0.848	5.192
ˈɔː	-	2.17	5.192
ˈɔː	ˈyː	2.17	5.192
ˈɛ	-	1.585	5.192
ˈɛ	ˈa	1.585	5.192
ˈɛ	ˈiː	1.585	5.192
ˈɛ_r	ʀ	0.0	5.192
ˈɛː	ˈiː	0.515	5.192
ˈɛː	-	1.737	5.192
β	v	0.737	5.192
β	-	1.322	5.192
θ	-	1.7	5.192
θ	d̥	2.115	5.192
θ	d	2.7	5.192
θ	dʲ	2.7	5.192
θ	ˈɔu̯_d	2.7	5.192
θ_s	dʲ	0.0	5.192
θ_u	z̥	0.0	5.192
