Phone1	Phone2	Surprisal
b̥	b	0.56
b̥	v̥	1.637
d̥	d	0.733
d̥	d̥	1.576
d̥	t	3.989
f	f	0.126
f	ə_f	3.579
h	h	0.0
i	ə	0.0
j	-	0.45
j	j	1.899
k	k	0.98
k	ɡ	1.762
k	-	2.335
kʰ	kʰ	0.0
l	l	0.0
m	m	0.147
m	ˈu_m	3.368
n	n	0.15
n	ˈə_n	3.903
n	-	4.977
n_æ̆	n_ɐ	0.0
oː	ˈəʊ̯	0.0
p	b	0.302
p	p	2.403
pʰ	pʰ	0.0
s	z	1.062
s	z̥	2.045
s	s	2.299
s	ʃ	3.728
t	d	1.154
t	t	1.223
t	d̥	3.952
t	tʰ	4.113
v	v	0.399
v	w	2.644
v	-	3.613
v̥	f_ə	0.0
x	χ	1.0
x	ɕ	1.982
x	-	2.018
z̥	s	0.0
æ̆	ɐ	0.164
æ̆	ˈiː_ɐ	3.22
ŋ	ŋ	0.0
ɐ	ɐ	0.335
ɐ	ə_ʀ	2.269
ɑ	-	0.0
ə	ə_n	0.492
ə	n	2.496
ə	-	3.163
ɛː	e_ŋ	0.0
ɡ̊	ɡ	0.57
ɡ̊	k	1.615
ɣ̊	-	0.0
ɣ̊_l	l	0.0
ʀ	ʀ	0.0
ʃ	ʃ	1.091
ʃ	ɕ	1.323
ʃ	ˈiː_ɕ	3.882
ʃ	-	3.991
ʃ_d̥	ʃ_t	0.0
ʒ̊	-	0.453
ʒ̊	ʃ	1.893
ʦ	ʦ	0.0
ˈa	ˈaː	0.874
ˈa	ˈɑ	1.138
ˈai̯	ˈæːɪ̯	0.489
ˈai̯	-	1.798
ˈau̯	ˈɑʊ̯	0.918
ˈau̯	ˈæːʊ̯	1.087
ˈaː	ˈaː	0.86
ˈaː	ˈeː	1.155
ˈãː	ˈeː_n	0.0
ˈe	ˈə	1.028
ˈe	-	1.74
ˈe	ˈɛ	2.249
ˈeː	ˈɜɪ̯	0.959
ˈeː	ˈi	1.043
ˈi	ˈɑ	1.327
ˈi	ˈə	1.568
ˈi	ˈe	2.405
ˈi	ˈi	4.727
ˈi	ˈiː	4.741
ˈiː	ˈɜɪ̯	0.536
ˈiː	-	2.428
ˈiː	ˈi	3.007
ˈĩː	ˈe_ŋ	0.0
ˈo	ˈo	0.41
ˈo	-	2.014
ˈoĩ̯	ˈe_ŋ	0.0
ˈoi̯	ˈɑɪ̯	0.654
ˈoi̯	-	1.455
ˈoː	ˈəʊ̯	0.705
ˈoː	ˈu	2.131
ˈoː	-	2.658
ˈu	ˈo	1.066
ˈu	-	1.508
ˈu	ˈɔ	2.551
ˈuː	ˈu	0.585
ˈuː	ˈəʊ̯	1.585
ˈæ	ˈiː	0.737
ˈæ	ˈɛː	1.322
ˈæː	-	1.0
ˈæː	ˈiː	1.0
ˈɑ	ˈɑ	1.222
ˈɑ	ˈaː	1.52
ˈɑ	-	2.928
ˈɑ	ˈuə̯	3.453
ˈɑː	ˈaː	0.876
ˈɑː	ˈoː	1.55
ˈɑː	ˈuə̯	3.135
ˈɑ̃i̯	ˈæːɪ̯_n	0.0
ˈɔ	ˈuː	0.807
ˈɔ	ˈaː	1.222
ˈɛ	ˈiə̯	1.18
ˈɛ	-	1.577
ˈɛ	ˈɛ	2.162
ˈɛː	-	0.594
ˈɛː	ˈeː	1.567
ˈɛ̃ː	ˈoː_ə	0.0
