Phone1	Phone2	Surprisal
a	a	0.331
a	ŋ	2.287
a_r̥	ɐ	0.0
aːu̯_n	eː	0.0
b̥	b̥	0.0
c	-	0.0
cʰ	kʰ	0.0
d̥	d̥	0.0
f	f	0.0
h	h	0.0
j	-	0.986
j	ˈiɐ̯	2.315
j	ˈe	2.752
j	ˈeː	2.78
j_a	n	0.0
j_ˈoːu̯	ˈiɐ̯	0.775
j_ˈoːu̯	ˈeː	1.266
j_ˈuː	ˈiɐ̯	0.0
j_ˈɛː	ˈi	0.0
k	x	0.618
k	-	1.52
kʰ	kʰ	0.0
kʰ_v	ʋ	0.0
l	l	0.573
l	j	1.891
l	ˈo_j	4.101
l̥	j	0.805
l̥	l	1.226
m	m	0.0
n	n	0.431
n	-	1.952
nː	n	0.354
nː	n_d̥	2.199
n̥	n	0.0
p	fː	0.0
pʰ	b̥͡v̥	0.0
r	ɐ	1.018
r	r	1.235
r	-	3.617
r_t͡n̥	ɐ_n	0.0
r̥	ɐ	0.0
s	s	0.588
s	ʃ	2.189
s	d̥	3.118
s_c	ʃ	0.0
s_j	s	0.0
s_k	ʃ	0.0
s_t	ʃ_d̥	0.0
s_ˈa	s_ˈo	0.0
sː	n_s	0.0
t	s	0.456
t	ʦ	1.885
t_a	s_n	0.0
tʰ	ʦ	0.0
t͡l̥	j	0.0
t͡n̥	-	0.0
u	-	0.0
v	ʋ	0.773
v	f	2.073
v	β	2.497
v_a	m	0.0
v_ʏ	b̥	0.747
v_ʏ	β	1.308
ç	h	0.0
ð	d̥	0.333
ð	-	2.648
ð	d̥_n	4.423
ð_a	d̥_n	0.0
ð_ʏ	d̥	0.0
ŋ	ŋ	0.0
ɑu̯	-	0.0
ɛ	-	0.0
ɟ̊	ɡ̊	0.671
ɟ̊	-	1.428
ɟ̊ː	-	0.0
ɡ̊	ɡ̊	0.919
ɡ̊	-	1.085
ɡ̊_ʏ	ɐ	0.0
ɡ̊ː	-	0.0
ɣ	ɡ̊	0.0
ɪ	-	0.188
ɪ	ɐ	3.035
ɪ_n	ɑ	0.0
ɪ_r̥	ɐ	0.0
ɲ	-	0.0
ʏ	-	0.0
ʰc	ɡ̊	0.0
ʰk	ŋ_ɡ̊	0.0
ʰp	ˈaː_f	0.0
ʰt	d̥	0.875
ʰt	ʦ	1.137
ʰt͡n̥	sː	0.0
ˈa	ˈe	1.745
ˈa	ˈɒ	1.936
ˈa	ˈo	2.059
ˈa	-	2.32
ˈai̯	-	0.0
ˈau̯	-	1.0
ˈau̯	ˈe	1.0
ˈaː	ˈɒː	0.956
ˈaː	-	1.676
ˈaː	ˈɑː	2.541
ˈaːi̯	-	0.904
ˈaːi̯	ˈiɐ̯	2.103
ˈaːi̯	ˈuɐ̯	2.103
ˈaːu̯	-	0.0
ˈeːi̯	-	0.0
ˈi	ˈi	0.0
ˈiː	ˈai̯	0.0
ˈou̯	-	0.0
ˈoːu̯	ˈuɐ̯	0.593
ˈoːu̯	-	1.57
ˈu	ˈu	0.47
ˈu	ʋ	1.846
ˈuː	ˈau̯	0.227
ˈuː	-	2.777
ˈuː_a	ŋ	0.0
ˈœ	-	0.0
ˈœː	-	0.0
ˈœːy̯	-	1.315
ˈœːy̯	ˈou̯	1.73
ˈœːy̯	ˈaː	1.753
ˈɑu̯	ˈɑ	0.0
ˈɑːu̯	ˈoː	0.605
ˈɑːu̯	-	1.545
ˈɔ	ˈo	0.715
ˈɔ	ˈu	1.355
ˈɔu̯	x	0.0
ˈɔː	ˈu	0.669
ˈɔː	-	1.43
ˈɛ	ˈe	1.044
ˈɛ	-	1.441
ˈɛ	ˈai̯	2.77
ˈɛi̯	ˈoɐ̯	0.0
ˈɛː	ˈeː	1.157
ˈɛː	ˈi	1.321
ˈɛː	ˈe	2.724
ˈɛːi̯	ˈoɐ̯	0.887
ˈɛːi̯	-	1.122
ˈɪ	ˈi	0.838
ˈɪ	ˈu	2.311
ˈɪ	ˈo	2.83
ˈɪ	-	3.344
ˈɪː	ˈi	0.498
ˈɪː	-	1.777
ˈʏ	ˈu	1.35
ˈʏ	-	1.632
ˈʏ	ˈo	1.81
ˈʏː	-	0.817
ˈʏː	ˈu	1.21
