Icelandic	Icelandic	probability
ˈɛː_r̥_#>	ˈi_#>	1.0
ˈɛi̯	ˈeː	1.0
ˈɛ_ɡ̊ː	ˈɔːɪ̯	1.0
ˈɔu̯	ˈɔː	1.0
ˈɔ_r	ˈoːu̯	1.0
ˈœːy̯	ˈoː	1.0
ˈœː	n	1.0
ˈœ	-	1.0
ˈu	ˈʊ	1.0
ˈoːu̯_ð	ˈuː	1.0
ˈoːu̯_r̥_#>	ˈeː_#>	1.0
ˈou̯_ŋ	ˈœː	1.0
ˈiː_r̥	ˈɛɪ̯	1.0
ˈeːi̯	ˈeː	1.0
ˈaːu̯	ˈoː	1.0
ˈau̯	ˈɛ	1.0
ˈai̯	-	1.0
ˈa_r	ˈɛɪ̯_d	1.0
ʰt͡n̥	t	1.0
ʰp	p_ə	1.0
ʏ_ð	d	1.0
ʏ_#>	ə_n_#>	1.0
ɲ	ˈʊ_ŋ	1.0
ɪ_r̥	r	1.0
ɣ_ʏ	ˈaːi̯	1.0
ɣ	ɣ	1.0
ɡ̊ː	-	1.0
ɡ̊_ˈau̯	ɡ	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ɑu̯	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ð_#>	#>	1.0
ç	h	1.0
x_#>	#>	1.0
v_ʏ_r̥_#>	f_#>	1.0
t͡l̥	l	1.0
tʰ	t	1.0
t_j	t	1.0
t	t	1.0
sː	ˈuː_s	1.0
s_j	s	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
n̥	n	1.0
nː	n	1.0
m_j	m	1.0
m	m	1.0
l̥	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k	k	1.0
h	h	1.0
f	f	1.0
d̥_r	d_r	1.0
d̥	d	1.0
cʰ	-	1.0
c	k	1.0
aːu̯	i	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ɟ̊	<#_ɣ	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
s	s	0.94
ʏ_r̥_#>	#>	0.923
b̥	b	0.917
ð	d	0.905
a	ə	0.898
n	n	0.87
<#_d̥	<#_d	0.818
v	v	0.786
r	r	0.786
p	p	0.778
<#_kʰ	<#_k	0.75
ʏ	ə	0.7
θ	t	0.692
#>	ə_#>	0.684
ˈɛːi̯	ˈeː	0.667
ʰt	x_t	0.625
ɪ	ə	0.615
ˈʏː	j	0.6
ˈɔː	ˈuː	0.6
ˈɑu̯	ˈɔː	0.6
ˈi	ˈɪ	0.6
ˈaːi̯	ˈɛɪ̯	0.571
r̥	r	0.571
ˈuː	ˈuː	0.562
t͡n̥	n	0.556
ɡ̊	ɣ	0.545
ˈoːu̯	ˈoːu̯	0.538
r̥_#>	r_#>	0.533
ˈɑːu̯	-	0.5
ˈiː	ˈi	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ɡ̊_ʏ	ɪ	0.5
ɡ̊_ʏ	ə	0.5
ˈɛ	-	0.462
ɡ̊	-	0.455
j	j	0.455
ˈaː	ˈɔː	0.444
t͡n̥	ə_n	0.444
<#	<#_v	0.438
ˈɔ	-	0.429
ˈaːi̯	-	0.429
r̥	-	0.429
j	-	0.409
ˈʏː	ˈuː	0.4
ˈɪː	ˈɪ	0.4
ˈɪː	ˈiː	0.4
ˈɛː	-	0.4
ˈɔː	-	0.4
ˈɑu̯	-	0.4
ˈi	-	0.4
ɪ	-	0.385
ʰt	t	0.375
ˈiː	ˈiː	0.357
ˈʏ	ˈʊ	0.333
ˈɪ	ˈiː	0.333
ˈɛːi̯	ˈoː	0.333
ˈaː	ˈɛ	0.333
θ	d	0.308
ˈɛ	ˈɛ	0.308
ˈoːu̯	-	0.308
ˈɛː	ˈi	0.3
ʏ	-	0.3
ˈɔ	ˈɔː	0.286
ˈɔ	ˈoːu̯	0.286
ˈʏ	ˈuː	0.267
ˈʏ	-	0.267
ˈɪ	ˈɛː	0.267
r̥_#>	x_#>	0.267
ˈɑːu̯	ˈoː	0.25
ˈɑːu̯	ˈiː	0.25
ˈa	ˈoː	0.25
<#_kʰ	<#	0.25
<#	<#_j	0.25
ˈɛ	ˈɪ	0.231
ˈaː	-	0.222
p	-	0.222
ˈɪː	ˈiːu̯	0.2
ˈɛː	ˈeː	0.2
r̥_#>	#>	0.2
ˈuː	-	0.188
ˈa	ˈɔː	0.188
ˈa	ˈoːu̯	0.188
<#	<#_k	0.188
<#_d̥	<#	0.182
#>	x_#>	0.158
#>	d_#>	0.158
ˈoːu̯	ˈɛɪ̯	0.154
ˈiː	j_ˈuː	0.143
ˈʏ	ˈoːu̯	0.133
ˈɪ	ˈʊ	0.133
ˈɪ	ˈɪ	0.133
ˈɪ	ˈoːu̯	0.133
n	ˈoːu̯_n	0.13
ˈuː	ˈoː_ɣ	0.125
ˈuː	ˈoː	0.125
ˈa	ˈɔ	0.125
ˈa	ˈiː	0.125
ˈa	ˈaː	0.125
<#	<#_d	0.125
a	j_ə	0.102
ˈɛː	ˈeːu̯	0.1
ð	-	0.095
j	ˈoː	0.091
b̥	-	0.083
v	w	0.071
v	v_ˈɛɪ̯	0.071
v	-	0.071
r	ˈɛɪ̯	0.071
r	ˈɔː	0.071
r	d	0.071
s	z	0.06
