Phone1	Phone2	PMI
aɪ̯	eə̯	9.82
pʰ	p͡f	9.349
t_#>	ʦ_#>	9.283
ˈɔa̯_l	ˈa_l	8.522
ɡ	<#_ɡ	8.297
<#_ɡ	<#_ɡ	8.297
ɪ	i	8.248
s_t	ʃ_d	7.811
s_#>	s_#>	7.211
kʰ	kʰ	6.949
ˈuː	ˈɔ	6.921
<#_d	<#_d	6.777
ˈœ_ɾ	ˈuə̯_d	6.761
ç_t	ç_d	6.637
ŋ	ŋ	6.503
d	<#_d	6.486
ə_#>	a_#>	6.406
<#_tʰ	<#_d	6.176
t_#>	ʦ	6.09
h	h	6.02
tʰ	<#_d	5.917
t	ʦ_#>	5.818
<#_ˈɔː	<#_ˈa	5.783
x	x	5.684
m	m	5.606
<#_n	<#_n	5.603
ˈɪ_t	ˈəi̯_s	5.595
b	b	5.589
ˈɔa̯	ˈoː	5.579
<#_l	<#_l	5.579
f_#>	b_#>	5.534
ˈʊ	ˈo	5.365
ɡ	ɡ	5.142
<#_ɡ	ɡ	5.142
ˈa	ˈa	5.119
ɐ	ˈʌ	5.079
p_#>	f_#>	5.069
ə_#>	a	5.06
f	f	5.029
ɪ	ɪ	5.002
s_#>	s	4.97
ə	a_#>	4.908
ɐ	ʌ	4.906
ˈɪ	ˈəi̯	4.89
ˈoː	ˈɔə̯	4.87
x_#>	ɡ_#>	4.846
ˈɔː	<#_ˈa	4.814
tʰ	ʦ	4.813
tʰ	<#_ʦ	4.809
<#_tʰ	<#_ʦ	4.809
n	n	4.705
<#_r	<#_ʁ	4.693
l	l	4.678
ˈɛ	ˈi	4.63
ˈɔː	ˈa	4.589
ˈʏ	ˈao̯	4.583
p	f_#>	4.541
p	f	4.521
x	ʕ	4.502
t	ʣ	4.462
k	ç	4.422
ˈɪ_ɾ	ˈəi̯_d	4.412
ˈœ	ˈo	4.412
p	f_a	4.341
s	ʃ	4.336
s	s_#>	4.328
n	<#_n	4.233
ˈɔ	ˈo	4.161
ˈɛ	ˈu	4.155
ɐ_x	ˈʌ	4.051
ç	ɡ	3.885
ˈɛː	ˈɛ	3.87
ˈœ	ˈuə̯	3.776
ə	a	3.758
ˈɛ	ˈɛ	3.755
<#_d	d	3.748
l	<#_l	3.718
f	b_#>	3.662
s	s	3.597
ˈœ	eə̯	3.584
ˈɪ	ˈɪ	3.576
d	d	3.553
ˈiː	ˈɔe̯	3.466
ç	ç	3.46
<#_ˈɔː	ˈa	3.446
ˈiː	ˈiə̯	3.416
ˈɛ	ˈae̯	3.389
f_l	f_l	3.384
s_l	ʃ_l	3.311
ˈʊ	ˈe	3.3
<#_n	n	3.283
ˈɔa̯	ˈa_l	3.263
ˈyː	ˈəi̯	3.262
ɾ	ˈuə̯	3.261
ˈɛ	ˈɪ	3.229
ˈɔa̯	ˈa	3.222
ˈɛ_l	ˈɛ_l	3.164
ˈa_l	ˈɛ_l	3.162
r	ʁ	3.162
ˈoː	ˈao̯	3.15
f_#>	b	3.149
<#_tʰ	d	3.147
<#_l	l	3.108
<#_tʰ	ʦ	3.098
ˈɪ	ˈe	3.01
x	ɡ_#>	3.01
j	j	2.96
#>	ʦ_#>	2.932
x_#>	ɡ	2.922
p_#>	f	2.921
t	d	2.915
tʰ	d	2.887
ˈeː	ˈɛ	2.88
d_ɐ	s_ʌ	2.864
ˈœ	ˈu	2.832
l_#>	l_#>	2.823
ˈœ_ɾ	ˈuə̯	2.796
r	<#_ʁ	2.752
<#_s	<#_s	2.748
nʲ	n	2.674
ç	ç_d	2.641
t	ʦ	2.626
k	ʃ	2.578
ˈa	ˈɛ	2.547
ˈɪ	ˈi	2.543
t	ʃ	2.508
<#	<#	2.505
#>	#>	2.505
t	ʃ_d	2.496
ˈœ	ˈuə̯_d	2.436
ˈiː	ˈae̯	2.386
ˈɪ	ˈɛ	2.348
t	s	2.302
v	ʋ	2.162
ˈɪ	ˈəi̯_s	2.128
nʲ	d	2.093
ˈaɪ̯	ˈaː	2.074
s	ʃ_d	2.069
<#	<#_ɡ	2.026
l	l_#>	2.018
<#	<#_d	1.99
ˈɔa̯	l	1.974
s	<#_s	1.974
<#_r	ʁ	1.966
ç_t	ç	1.929
ɾ	ˈuə̯_d	1.922
s	ʃ_#>	1.901
ɾ	d	1.853
ˈiː	ˈɔː	1.803
nʲ	n_d	1.786
ɐ_x	ʕ	1.769
ˈɪ	ˈəi̯_d	1.738
ˈiː	ˈeː	1.715
<#_s	s	1.708
r	ˈae̯	1.66
k	ʃ_#>	1.655
x	ˈʌ	1.641
ˈɔː	ˈɔː	1.627
ˈɔ	ˈuə̯	1.627
ˈʏ	ˈu	1.56
l	ˈa_l	1.541
ɾ	ˈəi̯	1.535
l_#>	l	1.533
k_ˈɛ	ˈi	1.517
ˈeː	ˈi	1.505
#>	b_#>	1.483
ˈeː	ˈɔe̯	1.465
#>	s_#>	1.458
s_t	ʃ	1.445
s_k	ʃ	1.445
t	t	1.44
ŋ	ɡ	1.335
k	x	1.331
d_aɪ̯	eə̯	1.294
ˈɔa̯_l	ˈa	1.281
f	b	1.278
t	ç	1.208
t	ç_d	1.202
<#	<#_ʁ	1.103
ˈeː	ˈa	1.093
x	ɡ	1.086
ˈɔa̯_l	l	1.078
ˈʊ	ˈa	1.04
ˈiː	ˈəi̯	1.0
ˈeː	ʋ	0.983
n	eə̯	0.96
ˈɪ_ɾ	ˈəi̯	0.949
ˈɪ_t	ˈəi̯	0.949
s_k_#>	ʃ_#>	0.944
l	ˈɛ_l	0.933
<#	<#_ʦ	0.896
<#	<#_n	0.896
t	ˈəi̯_s	0.886
ˈʊ	a	0.885
ɾ	ˈəi̯_d	0.872
s	ˈaː_s	0.832
ˈaɪ̯	ˈaː_ɡ	0.829
ɐ_n	ʕ_n	0.82
l	ˈiə̯	0.814
k	ɡ	0.813
s	d	0.81
ˈʏ	ˈəi̯	0.802
ˈœ	ˈa	0.789
#>	f_#>	0.745
ˈʊ	ŋ_a	0.657
ŋ	ŋ_a	0.61
<#	<#_l	0.54
ˈœ_n	n	0.483
t	s_a	0.457
r	ʁ_ˈae̯	0.433
ˈa	ˈɛ_l	0.388
d	s	0.383
r	ʕ	0.315
ç	d	0.268
f	f_l	0.254
nʲ	d_a	0.245
ˈʊ_ŋ	ŋ_a	0.239
ˈʊ_ŋ	ŋ	0.237
ə	l	0.229
ˈiː_n	ˈɔe̯	0.13
<#	<#_ˈa	0.122
ˈoː	m	0.109
ˈɛ	ˈɛ_l	0.082
l	ʃ_l	0.066
l	f_l	0.066
s_t	d	0.054
ˈʊ	ŋ	0.048
ɐ	s_ʌ	0.039
d	s_ʌ	0.025
l	l_ˈiə̯	0.018
l	ˈɛ	0.017
#>	ʃ_#>	0.003
#>	l_#>	0.003
l	ˈa	-0.015
ˈɪ_t	s	-0.025
n	n_ˈɔː	-0.025
ɐ	ʕ	-0.031
#>	ɡ_#>	-0.043
ˈa	l	-0.045
ˈɛ_l	ˈɛ	-0.063
ɪ_ç	ɡ	-0.07
ɐ	d_ʌ	-0.119
<#	<#_s	-0.125
