Phone1	Phone2	PMI
n_t	n_t	10.506
ə_l	ə_l	10.311
l_ˈeː	l_ˈiː	10.288
<#_ʀ	<#_ʀ	8.847
z̥_#>	s_#>	8.635
z̥	s_#>	8.635
p	p	7.027
v̥	v̥	7.014
k_n	k_n	7.003
ˈaː_t	ˈɒː_d	6.819
ˈæː	ˈeː	6.776
t_β	t_v	6.77
z_ˈi	s_ˈiː	6.738
ʃ	ʃ	6.582
ŋ	ŋ	6.568
t_ˈɛː	t_ˈiː	6.437
ˈɔː	ˈuː	6.427
ˈuː	ˈʏ	6.264
k_#>	x_#>	6.255
ʀ_ə	ʀ_n	6.215
x	x	6.198
ɣ	ɡ	6.124
b	b	6.083
ˈɔ	ˈɔː	6.071
m	m	5.995
v_ə	v_ə	5.946
ˈɑ	ˈɒ	5.907
ɦ	h	5.857
<#_n	<#_n	5.839
ˈʊː	ˈɔ	5.777
ˈɑː	ˈœ	5.749
ʀ	<#_ʀ	5.691
ˈɛ	ˈa	5.685
v	f	5.681
d̥	d̥	5.628
ˈiː	ˈi	5.505
ˈɪː	ˈi	5.472
β	v	5.343
ˈɪ	ˈa	5.327
k	k	5.304
ˈi	ˈiː	5.216
ˈaː	ˈɒː	5.198
ɪ	i	5.136
ˈɛː	ˈiː	4.959
z̥_#>	s	4.906
z̥	s	4.906
ˈʊː	ˈʊ	4.899
ˈu	ˈyː	4.868
ˈeː	ˈiː	4.849
z	s	4.842
l	l	4.798
ˈøː	ˈɛ	4.778
ˈɔ	ˈʊ	4.732
ˈaː	ˈuː_l	4.723
d	d	4.723
d̥	dʲ	4.698
ˈʊː	ˈœ	4.636
ˈaː	ˈuː	4.621
n	nʲ	4.591
n	n	4.528
l	lʲ	4.523
s	s	4.492
ˈeː	l_ˈiː	4.478
ˈœ	ˈeː	4.452
ˈʏː	ˈʏ	4.415
s	ʃ	4.394
t	t	4.298
ˈoː	ˈœ	4.29
<#_ʀ	ʀ	4.207
ʀ	ʀ	4.189
n	<#_n	4.11
ə_x	i	4.107
ˈɪː	ˈai̯	4.094
k_#>	x	4.076
#>	s_#>	4.035
x	x_t	4.02
ˈiː	ˈiː	3.987
ˈøː	ˈɛi̯	3.846
ˈɛː	ˈi	3.83
k	x_#>	3.827
ˈɑ	ˈɒː	3.8
ˈaː	ˈʊ	3.78
ə	ə	3.764
d	<#_t	3.756
<#	<#_ʀ	3.743
ˈɪ	ˈɒ	3.739
ˈɛː	ˈaː	3.72
ˈɑː	ˈɒ	3.698
ˈaː	ˈɛː	3.591
ˈeː	ˈɛː	3.572
ˈɒː	ˈɛi̯	3.567
v_ʀ	f_ʀ	3.465
n_s	n_ʃ	3.43
ˈɛːi̯	ˈiː	3.331
ʀ_t	ʀ_t	3.304
ˈɛː_l	ˈi_l	3.267
ˈɛː_n	ˈiː_nʲ	3.252
s_#>	ʃ_#>	3.231
ˈɛː_t	ˈiː_tʲ	3.207
d̥	z̥	3.184
<#_n	n	3.153
ˈuː	ˈuː	3.088
t	tʲ	3.072
ʃ	<#_ʃ	3.063
ɡ	d	3.062
t	n_t	3.024
ˈi	s_ˈiː	2.931
t_ə	t_ə	2.817
ˈi	ˈa	2.81
ˈaː	ˈɒː_d	2.789
d	t	2.754
ə	i	2.738
l	ə_l	2.726
l	l_ˈiː	2.726
n	n_t	2.666
<#	<#	2.533
#>	#>	2.533
ˈeː	j	2.487
ˈɑ	ˈa	2.486
s	s_t	2.412
s	ʃ_#>	2.396
ˈeː	ˈa	2.387
#>	x_#>	2.341
t_ə	d_ə	2.288
x	t	2.228
ˈɛː	t_ˈiː	2.215
t	z	2.208
ˈeː	ˈɛː_d	2.117
d	<#_tʲ	2.093
ʀ	ʀ_n	2.091
s_#>	ʃ	2.048
l_ˈeː	ˈiː	2.008
<#	<#_n	2.008
ˈaː_t	ˈɒː	1.998
ˈɒː	ˈɔː	1.938
ə	ə_l	1.938
x	ç	1.918
β	t_v	1.914
ˈɒː	ˈɔu̯	1.907
ˈeː	j_ˈa	1.869
ˈæ	ˈeː	1.863
n_d̥	nʲ	1.82
ˈyː	ˈiː	1.788
k	k_n	1.775
z	s_ˈiː	1.768
v	v	1.752
ˈɔː	ˈœ	1.726
ɣ	j	1.716
t	t_v	1.688
j	ˈi	1.675
t	d	1.674
k	x	1.647
ŋ_k	ŋ	1.61
s	t	1.609
d̥	nʲ	1.539
t	ˈɒː_d	1.534
ˈæ	ˈʊ	1.521
ˈɛ	ˈi	1.491
ˈeː	ˈɔː	1.454
<#	<#_t	1.403
n	k_n	1.391
ˈaː	l	1.386
ˈaː	ˈœ	1.313
ə_l	l	1.294
l_ˈeː	l	1.294
v	v_ə	1.258
d	tʲ	1.214
n_t	n	1.205
ə_m	m	1.184
ˈeː	l	1.121
n_t	t	1.079
t	t_ˈiː	1.078
v̥	v	1.027
k_n	k	1.02
t_ˈɛː	ˈiː	0.941
ˈaː_t	d	0.923
z_ˈi	ˈiː	0.876
ə	ʀ_n	0.857
v_ə	v	0.84
k	ŋ	0.819
t_β	v	0.808
x	i	0.76
#>	ʃ_#>	0.638
ʀ_ə	ʀ	0.607
ə_l	ə	0.52
ˈɛː	ˈiː_tʲ	0.508
ˈɛː	ˈiː_nʲ	0.508
<#	<#_tʲ	0.503
ˈɛː	ˈi_l	0.493
ə	v_ə	0.487
ʀ	ʀ_t	0.478
ˈɛː_n	nʲ	0.435
z_ˈi	s	0.419
n_d	n	0.392
k_n	n	0.392
s	n_ʃ	0.347
ˈɛː_t	tʲ	0.326
t_ˈɛː	t	0.319
t_β	t	0.307
#>	s	0.306
v	f_ʀ	0.27
<#	<#_ʃ	0.258
v̥	v_ə	0.21
d	n	0.199
#>	x	0.162
n	n_ʃ	0.156
t	v	0.154
ˈɛː_l	ˈi	0.126
n	z̥	0.105
n_s	ʃ	0.094
l	ˈiː	0.059
n_d̥	z̥	0.044
ˈɛː	l	0.022
ə	ə_n	-0.007
t	t_ə	-0.028
t	ˈiː_tʲ	-0.052
t	ʀ_t	-0.058
ˈɛ_j	ˈi	-0.069
n	ˈiː_nʲ	-0.069
β	t	-0.072
l	ˈi_l	-0.081
v_ə	ə	-0.089
l	ˈi	-0.09
v_ʀ	f	-0.103
m	m_ə	-0.112
ʀ	f_ʀ	-0.116
ˈɛː_t	ˈiː	-0.173
ˈɛː_n	ˈiː	-0.173
ə_v̥	v	-0.249
ˈɛː	nʲ	-0.272
ˈɛː_l	l	-0.348
n_s	n	-0.348
k	k_ə	-0.351
<#	tʲ	-0.375
ə	t_ə	-0.416
ʀ_t	t	-0.429
n	ʃ	-0.445
<#	ʃ	-0.513
ʀ_ə	n	-0.543
#>	ʃ	-0.545
t	d_ə	-0.558
<#	t	-0.563
s	n	-0.586
