Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɑ_#>	1.0	5.564
#>	d_#>	3.322	5.564
#>	k_#>	3.322	5.564
#>	ɡ_#>	3.322	5.564
#>	ɣ_#>	3.322	5.564
#>	ʉ_#>	3.322	5.564
<#	<#_j	0.0	5.564
<#_h	<#	0.0	5.564
<#_l	<#_ɽ	0.0	5.564
<#_n	<#_n	0.0	5.564
<#_ʀ	<#_r	0.0	5.564
b	b	0.0	5.564
d	d	1.0	5.564
d	tʰ	1.485	5.564
d	ð	2.807	5.564
d̥	ð	0.0	5.564
d̥_#>	d_#>	0.737	5.564
d̥_#>	#>	1.322	5.564
f	f	0.644	5.564
f	p	1.837	5.564
f	v	3.644	5.564
j	-	0.0	5.564
k	ɡː	0.737	5.564
k	kː	1.322	5.564
kʰ	kʰ	0.0	5.564
l	ɽ	1.222	5.564
l	lː	2.07	5.564
l	l	2.392	5.564
l	-	2.807	5.564
l_#>	ɽ_#>	0.0	5.564
m	m	0.0	5.564
n	n	0.918	5.564
n	nː	2.28	5.564
n	n_d	3.087	5.564
n	ɑ	3.503	5.564
n	ˈɔ̃ː	4.087	5.564
n_#>	#>	0.0	5.564
p	pː	0.0	5.564
s	t	0.181	5.564
s	tː	3.087	5.564
t	t	0.862	5.564
t	ð	2.0	5.564
t	s	3.322	5.564
t	tː	3.322	5.564
v	w	0.363	5.564
v	-	3.17	5.564
v	v	3.17	5.564
v_ˈo	ˈʉ	0.0	5.564
v_ˈuː	ˈʉə̯	0.0	5.564
v̥	v	0.0	5.564
w	w	0.485	5.564
w	-	1.807	5.564
z	s	0.0	5.564
z̥_#>	s_#>	0.0	5.564
ŋ	ŋ	1.0	5.564
ŋ	ŋ_ɡ	1.0	5.564
ŋ_#>	ʉ_#>	0.0	5.564
ɐ	r	0.807	5.564
ɐ	ɛ_r	1.67	5.564
ɐ	n	4.129	5.564
ɐ	nː	4.129	5.564
ɕ	k	1.0	5.564
ɕ	ɣ	1.585	5.564
ɕ	ʨ	2.585	5.564
ɕ_t_#>	tː_#>	0.0	5.564
ə	-	1.737	5.564
ə	ɔ	1.737	5.564
ə	j	3.322	5.564
ə	ɛ	3.322	5.564
ə	ˈʉːə̯	3.322	5.564
ə	ˈʉːə̯_ɣ	3.322	5.564
ə_f	v	0.0	5.564
ə_n	ɑ	0.0	5.564
ɡ	ɡ	0.415	5.564
ɡ	ʥ	2.0	5.564
ɡ̊	ɡ	0.0	5.564
ʀ	r	0.0	5.564
ʀ_#>	nː_#>	0.0	5.564
ʃ	s	0.379	5.564
ʃ	s_ʨ	2.115	5.564
ʦ	tʰ	0.778	5.564
ʦ	t	2.0	5.564
ʦ	tː	2.585	5.564
ˈaː	ˈɑː	1.441	5.564
ˈaː	ˈɑ_r	2.248	5.564
ˈaː	ˈœː	2.663	5.564
ˈaː	ˈɑ	2.663	5.564
ˈaː	ˈʉə̯	3.248	5.564
ˈe	ˈʏ	0.737	5.564
ˈe	ˈɪː	1.322	5.564
ˈeː	ˈiːe̯	0.807	5.564
ˈeː	ˈɛ	1.807	5.564
ˈeː	ˈɛː	2.807	5.564
ˈiː	j	1.415	5.564
ˈiː	ˈɛ	1.415	5.564
ˈiː	ˈyœ̯	2.0	5.564
ˈo	ˈʉ	0.0	5.564
ˈoː	ˈɔː	0.0	5.564
ˈu	ɛ	1.0	5.564
ˈu	ˈʉːə̯	1.0	5.564
ˈæːɪ̯	ˈɑːi̯	0.515	5.564
ˈæːɪ̯	ˈɪː	1.737	5.564
ˈæːʊ̯	ˈɑːu̯	0.0	5.564
ˈɑ	ˈɪ	0.7	5.564
ˈɑ	ˈɑ	1.379	5.564
ˈɑ_l	ˈɔː	0.0	5.564
ˈɑɪ̯	ˈʏː	0.0	5.564
ˈɑʊ̯	ˈɑːu̯	0.0	5.564
ˈɔ	ˈʉ	0.0	5.564
ˈə	ˈɪ	1.138	5.564
ˈə	ˈɪː	1.874	5.564
ˈə	ˈʉ	1.874	5.564
ˈəʊ̯	ˈœː	1.222	5.564
ˈəʊ̯	ˈoː	1.807	5.564
ˈəʊ̯	ˈʉːə̯	1.807	5.564
ˈɛ	j	1.0	5.564
ˈɛ	ˈɛ	1.0	5.564
ˈɛː	ˈæ	0.0	5.564
ˈɜɪ̯	j	1.0	5.564
ˈɜɪ̯	j_ˈʉːə̯	2.0	5.564
ˈɜɪ̯	ˈʉːə̯	2.0	5.564
ˈʊ	ˈʉːə̯	0.0	5.564
χ	k	0.0	5.564
