Phone1	Phone2	PMI
ʃ_t	s_t	9.635
m_ə	m_ə	9.629
d_ʀ	t_ʀ	9.536
ˈɜɪ̯_s	ˈɪ_s	9.5
n_ə	n_ə	9.276
v̥_#>	b_#>	9.225
v̥	b_#>	9.225
<#_ʀ	<#_ʀ	9.101
f_ˈo	f_ˈɔ	6.983
ɡ_ˈo	ɡ_ˈɔ	6.967
ŋ	ŋ	6.816
n_ʃ	n_ʧ	6.754
ʀ	<#_ʀ	6.726
ʀ_#>	ʀ_n_#>	6.571
ʦ	ʦ	6.435
n_d̥	n_t	6.318
ˈo_n	ˈʊ_n	6.283
h	h	6.228
<#_n	<#_n	6.203
k_#>	k_#>	6.123
ˈɑɪ̯	ˈaɪ̯	6.043
ˈæːɪ̯	ˈaɪ̯	5.971
p	p	5.894
χ	χ	5.816
b	b	5.805
ə_ɕ	ɪ_k	5.776
m	m	5.766
ˈɑʊ̯	ˈɔɪ̯	5.753
ˈæːʊ̯	ˈɔɪ̯	5.75
k	k	5.722
z	z	5.719
ˈeː	ˈɛɪ̯	5.699
ˈʊ	ˈʊ	5.652
kʰ	k	5.631
ˈəʊ̯	ˈɔɪ̯	5.625
k	k_#>	5.544
ˈɛ	ˈɛ	5.536
ʃ	ʃ	5.479
ˈoː	ˈɔ	5.408
ˈu	ˈʊ	5.384
ɡ	ɡ	5.344
v	v	5.297
ɡ̊	ɡ	5.253
s	s	5.25
f	f	5.2
ˈæ	ˈɛ	5.178
ˈiː_ɐ	ˈɪ_ʀ	5.123
ɕ	χ	5.078
v̥_#>	b	5.067
v̥	b	5.067
ˈiə̯	ˈɛ	4.964
ˈo	ˈʊ	4.861
ˈe	ˈɪ	4.799
ˈaː	ˈa	4.783
<#	<#_ʀ	4.76
l	ɫ	4.727
t	t	4.611
ˈiː	ˈɪ	4.497
ˈeː	ˈɛ_ɡ	4.426
d	d	4.409
ˈə	ˈɪ	4.324
s	z	4.253
ˈi	ˈɪ	4.245
ɐ	ə	4.187
#>	b_#>	4.181
ʀ_#>	ʀ	4.172
ʀ	ʀ	4.172
<#_ʀ	ʀ	4.172
ˈo	ˈɔ	4.084
d̥	t	3.998
ˈɑ	ˈa	3.963
d̥	d	3.938
ŋ	ŋ_ɡ	3.93
n	n	3.866
k_#>	k	3.848
ˈɜɪ̯	ˈɪ_s	3.769
ˈɔ	ˈʊ	3.765
ˈɜɪ̯	ˈɪ	3.752
ˈɛː	ˈɛ	3.718
d	t	3.671
ˈɑ	ˈɪ	3.616
ˈuː	ˈɔ	3.609
ɡ_ʀ	ɡ_ʀ	3.506
k_ə	k_ə	3.506
ˈaː_s	ˈa_s	3.491
ˈe_k	ˈɪ_k	3.479
ˈə_ʃ	ˈɪ_ʃ	3.478
kʰ_ˈaː	k_ˈa	3.44
ʃ	ʧ	3.424
t	s_t	3.423
ˈɑɪ̯	ˈaɪ̯_ə	3.422
n	<#_n	3.384
ˈə	ˈɛ	3.319
ʃ_#>	ʃ_#>	3.3
d	t_ʀ	3.253
d_ˈɑʊ̯	t_ˈɔɪ̯	3.229
ʀ	t_ʀ	3.214
ˈo_l	ˈɔ_ɫ	3.202
ˈə_l	ˈɪ_ɫ	3.191
ˈəʊ̯_d̥	ˈɔɪ̯_t	3.162
m	m_ə	3.124
ˈuə̯_s	ˈɔ_z	3.073
ˈeː	ˈɛ	3.071
n_ʃ	ʧ	3.053
s	ˈɪ_s	3.042
j	j	3.041
<#_ˈaː	<#_ˈa	3.04
ʀ_ˈe	ʀ_ˈɪ	3.022
ʃ	s_t	2.981
ˈɑ_l	ˈa_ɫ	2.971
f_#>	f_#>	2.967
ˈaː_m	ˈɔɪ̯_m	2.965
ˈuː	ˈɔ_ʀ	2.947
ɐ	ʀ	2.917
ə	ə	2.898
ʀ	ʀ_n_#>	2.894
ə_n	ə_n	2.892
ˈoː	ˈɔ_ɡ	2.846
ˈaː	ˈa_ʀ	2.826
ˈi	ˈɛ	2.814
ə	ɪ	2.814
l_#>	ɫ_#>	2.811
s_#>	z_#>	2.793
ˈuə̯	ˈɔ	2.774
ʃ	s	2.751
l_ˈɜɪ̯	ɫ_ˈɪ	2.747
ˈuə̯	ˈa	2.735
ʀ_ˈaː	ʀ_ˈɔɪ̯	2.73
d̥_#>	d_#>	2.72
ŋ	ɡ	2.709
ɡ	ɡ_ˈɔ	2.688
ˈiː	ˈɪ_ʀ	2.673
ɡ̊_#>	ɡ_#>	2.67
ɡ̊	ɡ_#>	2.67
ɐ	ə_ʀ	2.661
l	ɫ_t	2.592
ə_ɕ	ɪ	2.586
<#_n	n	2.575
<#	<#	2.568
#>	#>	2.568
t	s	2.567
ˈo	f_ˈɔ	2.547
ˈo	ɡ_ˈɔ	2.486
ˈaː	ˈɔ	2.465
ˈɑ	ˈɔ	2.402
ˈɜɪ̯_s	s	2.337
s	z_#>	2.328
ˈɜɪ̯	ˈɔɪ̯	2.318
d̥	d_#>	2.312
ˈiː	ˈɛ	2.299
ʃ	ʃ_#>	2.261
<#	<#_n	2.222
f	f_#>	2.209
ʃ_t	s	2.204
ˈaː	ˈɔɪ̯	2.197
m_ə	m	2.166
v	b	2.157
ˈɑɪ̯	ə	2.154
ʀ_#>	n	2.119
ˈaː	<#_ˈa	2.104
ə	m_ə	2.067
m	ɛ_m	2.008
m_#>	m	1.913
ə	n_ə	1.909
s_#>	z	1.901
m	ɛ	1.899
ʃ_#>	ʃ	1.89
d	<#_t	1.869
l	ɫ_#>	1.849
ˈuː	ʀ	1.807
ˈo	ˈʊ_n	1.802
<#_ˈaː	ˈa	1.76
d̥_#>	d	1.758
f_#>	f	1.725
ɡ̊_#>	ɡ	1.724
ˈɜɪ̯	ˈɛ	1.717
m_#>	ɛ_m_#>	1.672
#>	k_#>	1.67
d̥	n_t	1.553
f	f_ˈɔ	1.552
ʃ	n_ʧ	1.525
l_#>	ɫ	1.522
v	b_ə	1.51
n_ə	ə	1.499
m_ə	ə	1.499
ɕ	ɪ_k	1.448
ˈæ	ˈa	1.433
ɕ	k	1.402
ˈu	ˈɔ	1.326
ˈɑʊ̯	t_ˈɔɪ̯	1.281
ˈiː	ʀ	1.242
n	n_ə	1.239
ə	ɪ_k	1.2
n	ʧ	1.185
w	v	1.166
ˈe	ˈɪ_k	1.145
ˈuə̯	ˈɔ_z	1.109
ɐ	ˈɪ_ʀ	1.068
ʃ_t	t	1.011
ɐ	ˈɪ	0.999
ˈə	ˈʊ	0.938
ˈo_n	ˈʊ	0.921
d_ʀ	t	0.918
ɡ	ɡ_ʀ	0.903
k	ˈɪ_k	0.903
k	k_ə	0.903
ˈəʊ̯	ˈʊ	0.881
m_#>	ɛ	0.877
f_ˈo	ˈɔ	0.848
ˈəʊ̯	ˈɔɪ̯_t	0.828
n	n_ʧ	0.822
ɡ_ˈo	ˈɔ	0.763
ʃ	t	0.736
ɡ_ˈo	ɡ	0.729
n	n_d	0.707
ˈe	ʀ_ˈɪ	0.689
ˈɜɪ̯_s	ˈɪ	0.647
kʰ	k_ˈa	0.635
v_ə	b	0.634
ˈə	ˈɪ_ʃ	0.617
f_ˈo	f	0.612
#>	ʀ_n_#>	0.595
d_ʀ	ʀ	0.572
m	ɛ_m_#>	0.565
ŋ	n	0.474
ˈo	ˈɔ_ɫ	0.463
ˈe	ʀ	0.438
ɕ	ɪ	0.432
ˈaː	ˈa_s	0.408
ˈaː	k_ˈa	0.408
ˈiː_ɐ	ˈɪ	0.406
ˈə	ˈɪ_ɫ	0.372
ʃ	ˈɪ_ʃ	0.353
s	ˈa_s	0.353
