Phone1	Phone2	Surprisal	OOV_Smoothed
#>	d̥_#>	1.585	5.143
#>	ɡ̊_#>	1.585	5.143
#>	tː_#>	3.17	5.143
#>	b̥_#>	3.755	5.143
#>	i_#>	3.755	5.143
#>	ˈæi̯_#>	3.755	5.143
<#	<#_ɡ̊	2.0	5.143
<#	<#_ʋ	2.0	5.143
<#	<#_d̥	2.585	5.143
<#	<#_tː	2.585	5.143
<#	<#_ɣ̊	2.585	5.143
<#_d	<#_tː	0.0	5.143
<#_j	<#	1.0	5.143
<#_j	<#_l	1.0	5.143
<#_t	<#_d̥	0.0	5.143
<#_ʀ	<#_r	0.0	5.143
b	b̥	0.0	5.143
d	d̥	1.0	5.143
d	sː	2.0	5.143
d	tː	2.0	5.143
d_ə	ə	0.0	5.143
d_ʀ	tː_r	0.0	5.143
dʲ	tː	0.585	5.143
dʲ	-	1.585	5.143
dʲ_ə	tː_ə	0.0	5.143
d̥	tː	0.363	5.143
d̥	d̥	2.17	5.143
f	v̥	0.0	5.143
h	h	0.0	5.143
i	i	0.0	5.143
j	-	1.0	5.143
j	ɡ̊	1.0	5.143
j_ə	ɡ̊	0.0	5.143
j_ˈa	ˈæ	0.0	5.143
k	χː	1.379	5.143
k	ɣ̊	1.7	5.143
k	kː	2.115	5.143
k	χː_ə	3.7	5.143
l	l	0.0	5.143
lʲ	l	0.415	5.143
lʲ	w	2.0	5.143
m	m	0.0	5.143
n	n	0.339	5.143
n	-	2.256	5.143
nʲ	ŋ	0.0	5.143
nʲ_#>	#>	0.0	5.143
p	fː	0.652	5.143
p	p͡f	1.459	5.143
s	z̥	0.881	5.143
s	ʒ̊	1.429	5.143
s	sː	3.544	5.143
s_#>	z̥_#>	0.0	5.143
s_t	ʃː_tː	0.0	5.143
t	tː	1.181	5.143
t	ʦ	1.387	5.143
t	sː	2.503	5.143
tʲ	sː	0.363	5.143
tʲ	-	2.17	5.143
v	ʋ	0.474	5.143
v	b̥	3.059	5.143
v	-	3.644	5.143
v	ʋ_ˈu	3.644	5.143
v_ə	fː	0.0	5.143
v_ˈʊ	ʋ	0.0	5.143
v̥	fː	0.0	5.143
v̥_#>	b̥_#>	0.0	5.143
w	ɡ̊	0.0	5.143
x	χː	0.263	5.143
x	-	2.585	5.143
z	-	0.737	5.143
z	sː	1.322	5.143
z̥	-	0.0	5.143
ç	-	0.0	5.143
ŋ	ŋ	0.0	5.143
ŋ_#>	ɡ̊_#>	0.0	5.143
ə	ə	0.385	5.143
ə	-	3.0	5.143
ə	d̥_ə	3.678	5.143
ə	b̥_ə	5.0	5.143
ə_#>	#>	0.0	5.143
ɛi̯	æ	0.0	5.143
ɡ	ɡ̊	0.0	5.143
ʀ	r	0.193	5.143
ʀ	-	4.222	5.143
ʀ	ˈæ_r	4.807	5.143
ʀ	ˈɒː_r	4.807	5.143
ʀ_n	r_n	0.0	5.143
ʃ	ʃː	0.778	5.143
ʃ	ʒ̊	1.263	5.143
ˈa	-	1.28	5.143
ˈa	ˈi	1.28	5.143
ˈa	ˈu	2.503	5.143
ˈai̯	-	0.737	5.143
ˈai̯	ˈi	1.322	5.143
ˈaː	-	0.0	5.143
ˈeː	ˈæ	1.485	5.143
ˈeː	-	1.807	5.143
ˈeː	ˈɒː	2.222	5.143
ˈeː	ˈy	2.807	5.143
ˈi	ˈiː	1.078	5.143
ˈi	ˈi	1.926	5.143
ˈi	-	2.248	5.143
ˈi	ˈei̯	4.248	5.143
ˈiː	ˈæi̯	1.644	5.143
ˈiː	ˈyː	2.059	5.143
ˈiː	-	2.322	5.143
ˈiː	ˈeː	2.644	5.143
ˈiː	ˈiə̯	3.644	5.143
ˈu	-	0.0	5.143
ˈuː	ˈau̯	1.0	5.143
ˈuː	ˈoː	1.737	5.143
ˈuː	-	2.322	5.143
ˈyː	ˈoː	0.807	5.143
ˈyː	-	1.222	5.143
ˈœ	ˈuə̯	1.585	5.143
ˈœ	ˈɒ	1.907	5.143
ˈœ	-	2.322	5.143
ˈœ	ˈo	2.322	5.143
ˈœi̯	-	0.0	5.143
ˈœː	ˈuː	1.222	5.143
ˈœː	-	1.807	5.143
ˈœː	ˈo	1.807	5.143
ˈɒ	ˈɒ	0.848	5.143
ˈɒ	-	2.17	5.143
ˈɒ	ˈæ	2.17	5.143
ˈɒː	ˈɒ	1.322	5.143
ˈɒː	-	1.737	5.143
ˈɒː	ˈɒː	1.737	5.143
ˈɔ	ˈo	0.807	5.143
ˈɔ	-	1.222	5.143
ˈɔu̯	-	0.0	5.143
ˈɔː	-	1.0	5.143
ˈɔː	ˈi	2.585	5.143
ˈɔː	ˈo	2.585	5.143
ˈɔː	ˈɒ	2.585	5.143
ˈɛ	-	1.415	5.143
ˈɛ	ˈyə̯	1.415	5.143
ˈɛ	ˈi	2.0	5.143
ˈɛi̯	-	0.585	5.143
ˈɛi̯	ˈɒː	1.585	5.143
ˈɛː	-	1.0	5.143
ˈɛː	ˈæ	1.0	5.143
ˈʊ	ˈu	1.078	5.143
ˈʊ	-	2.248	5.143
ˈʊ	ˈo	3.248	5.143
ˈʊ	ˈæ	3.248	5.143
ˈʊ	ˈɒ	3.248	5.143
ˈʏ	ˈuː	1.1	5.143
ˈʏ	-	1.322	5.143
ˈʏ	ˈy	2.907	5.143
