North Frisian	Afrikaans	probability
ˈɛː_d	ˈɪə̯	1.0
ˈɛ	ˈu	1.0
ˈɒ	ˈa	1.0
ˈœi̯	ˈu	1.0
ˈøː	ˈœɪ̯	1.0
ˈai̯	ˈə	1.0
ɡ	χ	1.0
ə_n_#>	#>	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z_ə	t	1.0
z	s	1.0
x_t	χ	1.0
x	χ	1.0
w	χ	1.0
t_ə	t	1.0
t_v	t_w	1.0
t_#>	#>	1.0
r_ˈɔu̯	r	1.0
r_t	r	1.0
r_s	s	1.0
p	p	1.0
n_ʃ	n_s	1.0
n_t	n_t	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
j_ˈa	ˈɑː	1.0
j_ə	χ	1.0
i_#>	ə_χ_#>	1.0
i	ə	1.0
h	ɦ	1.0
dʲ	d̥	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ˈeː	<#_ˈa	1.0
<#_r	<#_r	1.0
s	s	0.941
r	r	0.917
n	n	0.895
f	f	0.833
d	d	0.81
v	v	0.786
tʲ	t	0.75
t	t	0.719
ˈɒː	ˈɑː	0.714
ˈuː	ˈʊə̯	0.692
j	χ	0.625
ˈɛː	ˈɪə̯	0.6
ˈi	ˈəɪ̯	0.6
n_ə	n	0.6
lʲ	d̥	0.6
ə	-	0.592
ˈɔ	ˈʊə̯	0.571
nʲ	n	0.571
ˈɛi̯	ˈɑː	0.556
ʃ	s_k	0.538
ˈʊ	ˈɔ	0.533
ˈiː	ˈi	0.519
ˈʏ	ˈœɪ̯	0.5
ˈʏ	ˈœ	0.5
ˈɔu̯	ˈʊə̯	0.5
ˈɔu̯	ˈɑː	0.5
ˈaː	ˈɪə̯	0.5
ˈaː	ˈɪø̯	0.5
ˈa	ˈə	0.5
v_#>	v̥_#>	0.5
v_#>	#>	0.5
ʃ	s	0.462
#>	d̥_#>	0.462
ˈœ	ˈu	0.455
ˈyː	ˈœɪ̯	0.455
ˈɔ	ˈɔ	0.429
ˈeː	ˈɑː	0.429
nʲ	n_d̥	0.429
ˈɛː	ˈɑː	0.4
n_ə	n_d̥	0.4
lʲ	ɫ	0.4
ˈɔː	ˈɔ	0.375
ˈɔː	ˈa	0.375
j	-	0.375
ˈœ	ˈa	0.364
ˈyː	ˈʊə̯	0.364
ˈuː	ˈa	0.308
#>	χ_#>	0.308
ˈa	ˈa	0.3
ˈɒː	ˈa	0.286
ˈeː	ˈɛː	0.286
ˈeː	ˈœ	0.286
t	d	0.281
ˈi	ˈə	0.267
ə	ə	0.265
ˈɔː	ˈɪə̯	0.25
tʲ	d	0.25
#>	ə_#>	0.231
ˈɛi̯	ˈu	0.222
ˈɛi̯	ˈa	0.222
ˈiː	ˈɪə̯	0.222
ˈʊ	ˈa	0.2
ˈa	ˈɛ	0.2
ˈœ	ˈœu̯	0.182
ˈyː	ˈɔ_n	0.182
ˈiː	ˈʊə̯	0.148
ˈʊ	ˈə	0.133
ˈʊ	v_ˈɔ	0.133
ˈi	ˈɪə̯	0.133
ˈiː	ˈəɪ̯	0.111
n	ŋ	0.105
d	t	0.095
d	-	0.095
r	r_ə	0.083
f	v̥	0.083
f	v	0.083
ə	d_ə	0.082
v	w	0.071
v	f	0.071
v	-	0.071
ə	f	0.061
s	d̥	0.059
