Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɡ_#>	0.363	4.667
#>	χ_#>	2.17	4.667
<#_n	<#_n	0.0	4.667
<#_r	<#_ʀ	0.0	4.667
<#_t	<#_d	0.0	4.667
b	b	0.0	4.667
d	t	0.363	4.667
d	d	2.17	4.667
d_ə	d_ə	1.0	4.667
d_ə	ɡ_n	1.0	4.667
dʲ	t	0.0	4.667
f	f	0.0	4.667
h	h	0.0	4.667
i	ɪ_k	0.0	4.667
j	ɡ	0.0	4.667
j_ə	ɡ	0.0	4.667
j_ˈa	ˈɛ	0.0	4.667
k	k	0.716	4.667
k	χ	1.354	4.667
k_ə	χ	0.0	4.667
l	l	0.0	4.667
lʲ	l	0.0	4.667
m	m	0.0	4.667
n	n	0.29	4.667
n	n_t	3.459	4.667
n	n_ə	3.459	4.667
nʲ	n	0.737	4.667
nʲ	d	1.322	4.667
p	f	0.415	4.667
p	p	2.0	4.667
p_ə	f_n	0.0	4.667
r	ʀ	0.078	4.667
r	ə_ʀ	4.248	4.667
s	z	0.75	4.667
s	ʃ	1.888	4.667
s	s	3.624	4.667
s	ʃ_v	4.209	4.667
s_l	ʃ_l	0.0	4.667
s_t	s_t	0.0	4.667
t	ʦ	1.181	4.667
t	t	1.28	4.667
t	s	2.766	4.667
tʲ	s	0.415	4.667
tʲ	d	2.0	4.667
v	v	0.295	4.667
v	f	3.17	4.667
v	b	3.755	4.667
v_ə	b_n	0.0	4.667
x	χ	0.0	4.667
z_ə	z	0.0	4.667
ŋ	ŋ	0.322	4.667
ŋ	ŋ_ɡ	2.322	4.667
ə	n	1.222	4.667
ə	ə	1.585	4.667
ə	ə_n	3.07	4.667
ə	d_ə	3.807	4.667
ə	-	4.392	4.667
ə_v	b	0.0	4.667
ɡ	ɡ	0.0	4.667
ʃ	ʃ	0.363	4.667
ʃ	ʧ	2.17	4.667
ʃ_#>	ʃ_#>	0.0	4.667
ˈa	ˈɪ	0.737	4.667
ˈa	ˈa	2.322	4.667
ˈa	ˈaɪ̯	2.322	4.667
ˈai̯	ˈaɪ̯	1.0	4.667
ˈai̯	ˈɪ	1.0	4.667
ˈaː	ˈʊ	0.0	4.667
ˈeː	ˈɛ	1.222	4.667
ˈeː	ˈɔ	1.807	4.667
ˈeː	ˈa	2.807	4.667
ˈeː	ˈɪ	2.807	4.667
ˈi	ˈaɪ̯	1.087	4.667
ˈi	ˈɪ	1.503	4.667
ˈi	ˈɛ	2.503	4.667
ˈiː	ˈɛɪ̯	1.354	4.667
ˈiː	ˈɪ	2.202	4.667
ˈiː	ˈɪ_n	2.939	4.667
ˈiː	ˈaɪ̯	3.524	4.667
ˈiː	ˈɔɪ̯	3.524	4.667
ˈiː	ˈɛ	3.524	4.667
ˈuː	ˈɔɪ̯	0.459	4.667
ˈuː	ˈa	1.874	4.667
ˈyː	ˈɔɪ̯	0.447	4.667
ˈyː	ˈaɪ̯	1.907	4.667
ˈyː_#>	ˈʊ_#>	0.0	4.667
ˈøː	ˈɔɪ̯	0.0	4.667
ˈœ	ˈa	1.379	4.667
ˈœ	ˈʊ	1.379	4.667
ˈœ	ˈɔ	2.115	4.667
ˈɒ	ˈa	0.0	4.667
ˈɒː	ˈa_s	0.737	4.667
ˈɒː	ˈa	1.322	4.667
ˈɔ	ˈɔ	0.0	4.667
ˈɔː	ˈɔ	1.322	4.667
ˈɔː	ˈa	2.322	4.667
ˈɔː	ˈɛ	2.322	4.667
ˈɔː	ˈɪ	2.322	4.667
ˈɛ	ˈɪ	0.0	4.667
ˈɛi̯	ˈɔ	1.17	4.667
ˈɛi̯	ˈɛ	1.585	4.667
ˈɛi̯	ˈɪ	2.17	4.667
ˈɛː	ˈɛ	0.585	4.667
ˈɛː	ˈɔ	1.585	4.667
ˈʊ	ˈʊ	1.0	4.667
ˈʊ	ˈa	2.17	4.667
ˈʊ	ˈɪ	2.585	4.667
ˈʊ	v_ˈɔ	3.17	4.667
