Northern Low Saxon	Old Frisian	probability
ˈʊ_n	ˈuː	1.0
ˈɛː	j_ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈe_r	1.0
ˈœː	ˈu	1.0
ˈœ	ˈe	1.0
ˈyː	ˈi̯uː	1.0
ˈuː	ˈuː	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɡ_n	k_ə	1.0
ə	r_ə	1.0
z̥	z	1.0
v̥	f	1.0
pʰ	p	1.0
p	p	1.0
n_n	nː_ə	1.0
kʰ	ʦ	1.0
k	k	1.0
j	ɡ	1.0
i	ə_x	1.0
h	h	1.0
f	f	1.0
d_ˈaɪ̯	d_ˈi̯aː	1.0
d_r	d_r	1.0
d_n	t_ə	1.0
aɪ̯	iː	1.0
v	w	0.959
l	l	0.946
z	s	0.906
t	t	0.884
r	r	0.859
ˈʊ	ˈu	0.849
m	m	0.782
ˈiː	ˈiː	0.753
ˈɛ	ˈe	0.752
n	n	0.724
ˈɪ	ˈi	0.717
ˈʏ	ˈe	0.713
s	s	0.684
x	x	0.669
ɪ	ə	0.667
ʃ	s_k	0.665
b	b	0.657
ˈøː	ˈu	0.648
ɐ	r	0.633
ŋ	ŋ_ɡ	0.632
ˈɔ	ˈo	0.627
ˈɔʏ̯	ˈeː	0.603
ˈeː	ˈe	0.467
ˈa	ˈa	0.435
ˈaʊ̯	ˈaː	0.424
d	d	0.397
ˈɔ	-	0.373
ˈaː	ˈe_r	0.37
ˈaː	ˈa_r	0.37
ˈøː	ˈo	0.352
ç	x	0.342
ˈaɪ̯	ˈi̯aː	0.34
ˈaʊ̯	ˈoː	0.335
ʃ	s	0.335
ɪ	i	0.333
x	-	0.331
ˈaɪ̯	ˈɛː	0.33
ˈa	ˈɔː	0.329
s	s_t	0.316
b	p	0.312
ˈeː	-	0.307
ˈʏ	ˈu	0.287
ˈoː	ˈeː	0.276
ɐ	ə_r	0.274
d	θ	0.274
ɡ	k_ə	0.271
ˈaː	ˈa_l	0.26
ˈɛ	-	0.248
ˈa	ˈe	0.237
ɡ	k	0.227
ˈeː	ˈi	0.226
ˈoː	ˈɔː	0.209
ˈɔʏ̯	ˈɛː	0.198
ˈɔʏ̯	-	0.198
ɡ	ɡ	0.198
ˈɪ	-	0.195
ŋ	ʣ	0.193
d	t	0.185
ŋ	ŋ	0.175
ç	ɡː	0.174
ç	x_t	0.174
ç	-	0.174
ˈoː	ˈaː	0.173
ˈiː	ˈeː	0.153
ˈʊ	ˈo	0.151
ɡ	j	0.144
r	h_r	0.141
ç	ɣ	0.136
ˈoː	ˈe	0.135
ˈaɪ̯	ˈi̯aː_ɣ	0.134
n	ə	0.131
ˈaɪ̯	-	0.124
ˈaʊ̯	ˈɔː	0.119
t	d	0.116
ˈoː	ˈa	0.107
m	ə	0.104
ɡ	ɣ	0.103
ˈoː	-	0.1
ˈiː	-	0.095
z	s_w	0.094
ɐ	r_ə	0.093
ˈɪ	ˈɛː	0.088
m	v_ə	0.076
ˈaɪ̯	ˈeː	0.072
ˈaʊ̯	ˈa	0.066
ɡ	ɡː_ə	0.057
ˈaʊ̯	-	0.055
d	t_ə	0.055
