Phone1	Phone2	PMI
s_l	ʃ_l	9.856
d_ˈaʊ̯	d̥_ˈoː	9.514
d_ˈyː	d̥_ˈaɪ̯	9.487
ɪ	ɪ	8.163
ŋ	ŋ	7.486
kʰ	kʰ	6.769
ˈɛ_l	ˈɛ_r	6.754
ɐ_d	ɐ_d̥	6.513
l_ˈɪ	l_ˈaɪ̯	6.454
ɡ_l	x_l	6.445
l_d	l_d̥	6.212
h	h	6.194
x	x	6.183
d_ˈaɪ̯	d̥_ˈiː	6.138
ˈuː	ˈau̯	6.099
ˈɛ	ˈɛ	6.05
tʰ	ʣ̥	5.942
ˈaʊ̯_#>	ˈuː_#>	5.907
ˈeː	ˈɛː	5.603
ˈʊ	ˈu	5.59
ˈɔ	ˈɔ	5.539
ˈoː	ˈoː	5.508
m	m	5.398
ˈaʊ̯_l	ˈɑ_l	5.395
ˈʏ	ˈɪ	5.331
ˈyː	d̥_ˈaɪ̯	5.314
ˈa	ˈɑ	5.231
ˈiː	ˈaɪ̯	5.23
ˈɪ	ˈɪ	5.227
b_#>	f_#>	5.214
v	β	5.206
r	r	5.178
ˈaɪ̯_ɡ	ˈeː_ʃ	5.142
b	b̥	5.106
ˈyː	ˈaɪ̯	5.091
ˈɔ	ˈu	5.044
ˈaɪ̯	ˈiː	4.935
f	f	4.918
ˈʊ	ˈɔ	4.835
ˈaː	ˈɑ	4.829
ɐ	ɐ	4.814
z	s	4.797
ʃ	ʃ	4.774
ɡ	ɡ̊	4.757
l	l	4.693
ˈaː	ˈɑ_l	4.672
ˈoː	ˈɑː	4.628
ˈuː	ˈuː	4.614
ˈaʊ̯	ˈuː	4.587
s	s	4.374
t	d̥	4.163
n	n	4.162
ç	ʃ	4.008
ˈœ	ˈɛ	3.971
ˈaɪ̯	ˈɛː	3.898
ˈaʊ̯_#>	ˈuː	3.789
ˈaʊ̯	ˈuː_#>	3.768
ˈaɪ̯	ˈeː	3.766
ɡ	x	3.746
s	ʃ_l	3.746
d	d̥	3.7
ˈaʊ̯	ˈoː	3.676
ˈaː	ˈɑː	3.566
ˈeː	ˈɛ	3.494
n_ʃ	n_ʃ	3.461
f_ˈɪ	f_ˈɪ	3.458
