Nynorsk Norwegian	Dutch	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_v	1.0
<#_h	<#_ɦ	1.0
<#_l	<#_ɫ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p	1.0
<#_ɡ	<#_χ	1.0
<#_ɾ	<#_ɾ	1.0
<#_ʋ	<#_ʋ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈʉ	<#_ˈɔ	1.0
d_#>	d̥	1.0
d_e	d_ə	1.0
k_#>	k_#>	1.0
l_#>	ɫ_#>	1.0
lː	d̥	1.0
lː_#>	ɫ_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
n_d	n_d	1.0
nː_#>	n_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_e	z_ə	1.0
s_k	s	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
tː	t	1.0
ç	k	1.0
ŋː_#>	ŋ_#>	1.0
ŋː_e	ŋ	1.0
ɑ_#>	n	1.0
ɡ	χ	1.0
ɡ_#>	χ_#>	1.0
ɡː_#>	χ_#>	1.0
ɾ_#>	ɾ_#>	1.0
ʂ	s	1.0
ʋ	ʋ	1.0
ʰkː	ŋ_k	1.0
ˈeː	ˈeː	1.0
ˈeː_#>	ˈi_#>	1.0
ˈeː_ʋ	ˈeː_v	1.0
ˈoː_#>	ˈaː_n_#>	1.0
ˈuː_#>	ˈu_d̥_#>	1.0
ˈyː	ˈi	1.0
ˈyː_ɾ	ˈyː_ɾ	1.0
ˈæʉ̯	ˈoː	1.0
ˈæʉ̯_#>	ˈoː_d̥_#>	1.0
ˈœ	ˈoː	1.0
ˈœ_l	ˈɛ_ɫ	1.0
ˈœʏ̯	ˈoː	1.0
ˈɑː_#>	ˈɑ_d̥_#>	1.0
ˈɪ	ˈɪ	1.0
ˈʊ	ˈoː	1.0
<#_kʰ	<#	0.231
<#_tʰ	<#_t	0.381
l	-	0.091
ɑ	d̥	0.051
ɑ	ə	0.051
ɑ	ə_n	0.821
ˈɑ	ˈɑu̯	0.091
n	n	0.692
ˈoː	ˈaː	0.562
ˈɑ	ˈaː	0.182
ˈɔ	ˈɑ	0.222
ˈɛ	ˈɛ_ɾ	0.182
ˈʏ	ʋ_ˈɛ	0.182
<#_j	<#_ɫ	0.3
<#_j	<#_χ	0.3
e	ə	0.263
j	χ_ə	0.333
nː	n_d̥	0.583
ə	-	0.333
ɾ	ɾ	0.933
ˈuː	ˈi	0.143
ˈuː	ˈu	0.643
ˈɔ	ˈoː	0.333
ˈɛ	ˈɑ	0.273
ˈʉ	ˈɔ	0.833
ˈʉː	ˈɔ	0.133
ˈʉː	ˈi	0.333
ˈʉː	ˈœy̯	0.533
ˈʏ	-	0.273
<#_j	<#	0.4
<#_ʂ	<#_z	0.4
k	k	0.4
n	-	0.154
n	ɾ	0.154
ʰtː	χ_t	0.714
ˈuː	ˈoː	0.214
ˈøː	ˈu	0.714
ˈɑː	ˈɑ	0.444
ˈɔ	ˈɔ	0.444
<#	j	0.25
<#	<#_ʋ	0.75
<#_s	<#_s	0.355
<#_s	<#_z	0.645
<#_ç	<#_k	0.5
<#_ç	<#_d	0.5
nː	n	0.25
ʋ_#>	f_#>	0.25
ʋ_#>	v̥_#>	0.75
ˈiː	ˈi	0.125
ˈoː	n	0.125
ˈoː	ˈi	0.125
ˈæɪ̯	ˈɛi̯	0.25
ˈæɪ̯	ˈeː	0.75
ˈɛ	ˈɛ	0.545
ˈʏ	ˈʏ	0.545
<#_ʂ	<#_s_χ	0.6
k	χ	0.6
ʰtː	t_#>	0.286
ˈøː	ˈeː	0.286
ˈɑː	ˈaː	0.556
e	-	0.737
j	-	0.667
nː	n_d	0.167
ɑ	-	0.077
ə	ə	0.667
ɾ	-	0.067
ˈɑ	ˈɑ	0.727
ˈʉ	-	0.167
ˈiː	ˈɪ	0.188
ˈiː	ˈɛi̯	0.688
ˈoː	ˈoː	0.188
<#_kʰ	<#_k	0.769
<#_tʰ	<#_d	0.619
l	ɫ	0.909
