Phone1	Phone2	Surprisal	OOV_Smoothed
#>	a_#>	1.222	4.858
#>	b̥_#>	1.807	4.858
#>	ɐ_#>	1.807	4.858
<#_n	<#_n	0.0	4.858
<#_ɾ	<#_r	0.0	4.858
<#_ˈɑ	<#_ˈa	0.0	4.858
b	b̥	0.0	4.858
d	d̥	0.138	4.858
d	-	3.459	4.858
e	-	0.585	4.858
e	a	2.433	4.858
e	n	3.755	4.858
e	s	3.755	4.858
f	f	0.0	4.858
h	h	0.0	4.858
j	-	1.0	4.858
j	h	2.0	4.858
j	ɡ̊	2.0	4.858
j_ɑ	ŋ	0.0	4.858
j_ˈʉː	l_ˈiː	0.0	4.858
k	x	0.585	4.858
k	ç	1.585	4.858
kʰ	ɡ̊	0.0	4.858
l	l	0.0	4.858
l_#>	l_#>	0.0	4.858
lː	l	1.0	4.858
lː	l_d̥	1.0	4.858
m	m	0.0	4.858
mː	m	0.0	4.858
n	n	0.341	4.858
n	-	3.248	4.858
n	ɐ	3.248	4.858
nː	n	0.0	4.858
nː_#>	n_d̥_#>	0.0	4.858
nː_ɑ	n_a	0.0	4.858
p	f	0.0	4.858
p_#>	f_#>	0.0	4.858
s	s	0.752	4.858
s	ʃ	1.541	4.858
s	d̥	4.0	4.858
s_#>	s_#>	0.0	4.858
s_k	ʃ	0.0	4.858
s_t	ʃ_d̥	0.0	4.858
t	s	0.585	4.858
t	ʦ	2.322	4.858
t	d̥	2.907	4.858
t_ɑ	s_n	0.0	4.858
tʰ	d̥	0.848	4.858
tʰ	ʦ	1.17	4.858
tː	ʦ	0.0	4.858
v	v	0.0	4.858
ç	d̥	1.0	4.858
ç	ɡ̊	1.0	4.858
ŋː	ŋ	0.0	4.858
ɑ	n	0.71	4.858
ɑ	a	1.848	4.858
ɑ	-	3.17	4.858
ə	-	0.415	4.858
ə	a	2.0	4.858
ɛ	-	0.0	4.858
ɡ	ɡ̊	1.152	4.858
ɡ	ç	1.737	4.858
ɡ	x	2.0	4.858
ɡ_#>	#>	0.0	4.858
ɡ_ɑ	ŋ	0.0	4.858
ɡː	ɡ̊	1.0	4.858
ɡː	ɡ̊_n	1.0	4.858
ɾ	ɐ	0.837	4.858
ɾ	r	1.556	4.858
ɾ	ɾ_ɐ	3.322	4.858
ɾ_#>	#>	0.0	4.858
ɾ_e	ɐ	0.0	4.858
ɾ_n	ɐ_n	0.0	4.858
ʂ	ʃ	0.652	4.858
ʂ	s	1.459	4.858
ʋ	v	0.322	4.858
ʋ	f	2.322	4.858
ʋ_#>	b̥_#>	0.0	4.858
ʋ_ɑ	m	0.0	4.858
ʰkː	ɡ̊	0.0	4.858
ʰtː	x_d̥	0.585	4.858
ʰtː	ç_d̥	1.585	4.858
ˈeː	ˈiː	1.17	4.858
ˈeː	ˈeː	1.585	4.858
ˈeː	ˈɛ	2.17	4.858
ˈiː	ˈaɪ̯	0.241	4.858
ˈiː	ˈiː	2.7	4.858
ˈoː	ˈoː	0.29	4.858
ˈoː	ˈiː_n	2.459	4.858
ˈuː	ˈuː	0.0	4.858
ˈyː	ˈaɪ̯	1.0	4.858
ˈyː	ˈiː	1.0	4.858
ˈæɪ̯	ˈaː	0.0	4.858
ˈæɪ̯_n_#>	ˈaː_#>	0.0	4.858
ˈæʉ̯	ˈaː	1.0	4.858
ˈæʉ̯	ˈuː_d̥	1.0	4.858
ˈæː	ˈɛ	0.0	4.858
ˈøː	ˈiː	0.807	4.858
ˈøː	ˈeː	1.222	4.858
ˈɑ	ˈa	0.181	4.858
ˈɑ	ˈoː	3.087	4.858
ˈɑ_nː_#>	ˈoː_#>	0.0	4.858
ˈɑː	ˈoː	0.485	4.858
ˈɑː	ˈa	1.807	4.858
ˈɔ	ˈa	1.0	4.858
ˈɔ	ˈʊ	1.0	4.858
ˈɛ	ˈɛ	0.585	4.858
ˈɛ	ˈaɪ̯	2.322	4.858
ˈɛ	ˈɪ	2.907	4.858
ˈɪ	ˈɪ	0.29	4.858
ˈɪ	ˈiː	2.459	4.858
ˈʉ	ˈʊ	0.778	4.858
ˈʉ	ˈɔ	2.0	4.858
ˈʉ	v_ˈɔ	2.585	4.858
ˈʉː	ˈaʊ̯	0.485	4.858
ˈʉː	ˈiː	1.807	4.858
ˈʉː_#>	ˈuː_#>	0.0	4.858
ˈʊ	ˈɔ	0.0	4.858
ˈʏ	ˈɪ	0.363	4.858
ˈʏ	ˈʊ	2.17	4.858
