Nynorsk Norwegian	Zeelandic	probability
ˈœʏ̯	ˈʊə̯	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæʉ̯	ˈʊə̯	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈiː	1.0
ʰpː	p	1.0
ʋ_e	v_ə	1.0
ɲ	ˈi	1.0
ɡː	x_ə	1.0
ɡ	x	1.0
ɛ	-	1.0
ə	ə	1.0
ɑ	ə	1.0
ŋː	ŋ	1.0
ŋ	ɪ	1.0
çː	t	1.0
v	ʋ	1.0
tː	t_iː	1.0
tʰ	d	1.0
t	t	1.0
sː	n_z̥	1.0
s_k	s	1.0
pʰ	-	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
kʰ_ʋ	ʋ	1.0
kʰ	k	1.0
k	k	1.0
jː	x	1.0
j_ˈʉː	ɫ_ˈiː	1.0
f	v	1.0
b	b	1.0
ʋ	ʋ	0.904
l	ɫ	0.881
nː	n	0.867
d	d	0.842
m	m	0.824
ɾ	ɾ	0.786
ç	k	0.785
ˈʉː	ˈyː	0.697
ˈoː	ˈɛː	0.678
ˈæɪ̯	ˈɪə̯	0.674
lː	ɫ	0.667
ʰtː	t	0.666
ʂ	z	0.654
e	ə	0.645
ˈɑ	ˈɑ	0.641
ˈʉ	ˈɔ	0.596
ˈɪ	ˈɪ	0.588
ˈɔ	-	0.587
ˈiː	ˈi	0.574
ˈʏ	-	0.572
j	x	0.567
ˈeː	-	0.557
s	z	0.553
ˈʊ	ˈʊə̯	0.541
ˈøː	ˈɪə̯	0.51
ˈɛ	ˈæ	0.472
ˈʊ	ˈøː	0.459
ˈeː	ˈeː	0.443
j	-	0.433
ˈɑː	ˈɛː	0.427
ˈɪ	ˈi	0.412
ˈɛ	-	0.371
s	s	0.363
e	-	0.355
ˈøː	-	0.352
ˈuː	ˈuː	0.35
ʂ	s_x	0.346
ˈuː	-	0.341
ʰtː	x_t	0.334
lː	d̥	0.333
ˈæɪ̯	ˈæi̯	0.326
ˈɑː	-	0.288
ˈɑː	ˈɑ	0.285
ˈoː	-	0.284
ˈɔ	ˈʏ	0.266
ˈʏ	ˈɔ	0.257
ç	d	0.215
m	v_ə	0.176
ˈʉː	ˈeː	0.175
ˈʏ	ˈʏ	0.171
ˈuː	ʋ	0.169
ˈiː	ˈɪ	0.166
ˈɑ	ˈɛː	0.164
d	d̥	0.158
ˈɛ	ˈɑ	0.157
ˈʉ	ˈu	0.154
ˈiː	ˈiː	0.152
ˈɔ	ˈɔ	0.147
ˈuː	ˈu	0.141
ˈøː	ˈuːə̯	0.138
nː	n_d	0.133
ˈʉ	-	0.131
ˈʉː	ˈiː	0.128
ˈʉ	ˈʏ	0.119
ˈiː	ˈeː	0.108
ˈɑ	ˈæ	0.099
l	-	0.098
ʋ	ə	0.096
s	z̥	0.085
ɾ	ɾ_ə	0.053
