Phone1	Phone2	PMI
s_ˈɛ	s_ˈɛ	10.512
n_ˈɑ	n_ˈɔː	10.341
ˈɑ_l	ˈoː_l	9.456
l_d̥	l_d	9.311
d̥_r	t_r	9.26
<#_j	<#_j	9.071
f_ə	p_ə	9.025
<#_r	<#_r	8.941
b̥_#>	f_#>	8.749
s_#>	s_#>	8.65
ʃ_d̥	s_t	8.377
kʰ	<#_k	8.365
<#_kʰ	<#_k	8.365
f_#>	p_#>	8.359
j	<#_j	8.071
s_ə	t_ə	7.792
ɪ	ɪ	7.504
ˈoː_ɐ	ˈiː_r	7.218
r	<#_r	6.933
d̥_ˈoː	d_ˈoː	6.92
ʃ_l	s_l	6.898
n_ˈɑː	n_ˈoː	6.872
ŋ	ŋ	6.868
ˈaɪ̯_#>	ˈɛɪ̯_#>	6.771
l_ˈɑː	l_ˈoː	6.706
ˈeː_#>	ˈeː_#>	6.611
ˈoː_d̥	ˈoː_d	6.595
ˈaɪ̯_d̥	ˈiː_d	6.407
b̥	f_#>	6.308
ˈɛː_s	ˈeː_t	6.293
s	s_#>	6.101
f_#>	p	5.947
h	h	5.945
ˈeː	ˈeː	5.931
f	p_#>	5.907
d̥_r	d_r	5.863
l_#>	l_#>	5.826
<#_j	j	5.813
m	m	5.729
ˈɪ	ˈɪ	5.72
b̥	b	5.636
ˈɛː	ˈeː	5.531
ˈeː	ˈeː_#>	5.504
ˈu	ˈʊ	5.473
ˈɔ	ˈʊ	5.445
β	v	5.426
ˈau̯	ˈuː	5.274
f	f	5.247
ˈuː	ˈoːu̯	5.213
ˈaɪ̯	ˈɛɪ̯_#>	5.192
ˈɛ	ˈɛ	5.178
ˈɑː	ˈoː	5.065
ˈu	ˈuː	4.946
ˈɑ	ˈɔː	4.938
kʰ	k	4.929
<#_kʰ	k	4.929
j	j	4.813
b̥_#>	f	4.794
ˈɛ	s_ˈɛ	4.781
n	n	4.77
ɡ̊	ɣ	4.729
l_#>	l	4.703
l	l	4.703
ˈɛ_ɐ	ˈiː_r	4.665
ˈaɪ̯	ˈi	4.623
s_#>	s	4.566
ˈɔ	ˈoːu̯	4.536
<#_r	r	4.486
r	r	4.363
ˈaɪ̯_#>	ˈɛɪ̯	4.338
ˈɪ	ˈɛː	4.279
j	ˈoː_ɣ	4.268
ˈaɪ̯	j_ˈuː	4.261
ˈeː_#>	ˈeː	4.253
ʣ̥	t	4.197
s	z	4.18
l	l_#>	4.131
ˈɪ	ˈiː	4.124
f	p	4.098
ˈiː	j	4.046
ə	ə	4.02
ʃ_#>	k_#>	4.006
ˈoː	ˈoː	3.941
<#	<#_r	3.929
ʃ	s	3.911
ˈaɪ̯	ˈɛ	3.855
d̥	d	3.837
ˈoː	ˈiː	3.795
ˈiː	ˈoː	3.758
s	s	3.706
ɡ̊	k	3.671
ˈɛ	ˈa	3.666
j	ˈoː	3.587
x	x	3.56
ˈiː	j_ˈoː	3.535
ɡ̊_s	k_s	3.52
ɡ̊_n	k_n	3.482
ˈɑ	n_ˈɔː	3.459
<#	<#_k	3.411
s_ˈɛ	ˈɛ	3.375
ˈiː	ˈi	3.316
ɡ̊_ə	k_ə	3.316
f_r	f_r	3.316
ˈɑ	ˈaː	3.302
m_ˈoː	m_ˈoːu̯	3.263
β_ˈɛ	v_ˈeː	3.258
ˈoː_n	ˈoːu̯_n	3.254
ˈɑ	ˈoː_l	3.241
ˈɪ_ɡ̊	ˈɛː_x	3.187
ˈaɪ̯	j	3.163
r	t_r	3.138
ˈiː	ˈɛɪ̯	3.113
d̥	t	3.095
ˈɑ_s	ˈɔː_t	3.077
n	n_ˈɔː	3.042
ə	j_ə	2.998
<#_n	<#_n	2.991
x_d̥	x_t	2.982
ɐ	ˈiː	2.937
ˈoː	ˈiː_r	2.936
ɐ_n	ə_n	2.899
#>	p_#>	2.899
s	s_ˈɛ	2.879
#>	s_#>	2.855
ˈiː_s	ˈɛɪ̯_t	2.791
ɐ	ə_r	2.784
ʃ	x	2.774
ɐ	r	2.771
ˈoː	d_ˈoː	2.764
#>	f_#>	2.761
ˈaɪ̯	ˈɛɪ̯	2.759
ˈɑː	n_ˈoː	2.746
ˈaɪ̯	ˈuː	2.726
ˈɛ	ˈeː	2.711
ˈɛː	ˈeː_t	2.71
ˈaɪ̯_s	ˈi_t	2.619
<#	<#	2.583
#>	#>	2.583
ˈɛ	ˈiː	2.563
n_ˈɑ	ˈɔː	2.563
l	ˈoː_l	2.563
ˈɑ	ˈoː	2.56
f_ə	p	2.542
s	t	2.53
ˈɑː	l_ˈoː	2.516
ʃ	s_k	2.499
<#	<#_j	2.489
ˈoː_ɐ	ˈiː	2.485
ɐ	ə	2.413
ʃ	s_t	2.412
ˈoː	ˈoːu̯	2.4
ˈɑ	ˈɛ	2.36
b̥	f	2.353
ˈɛː	ˈoː	2.332
ə	j	2.27
ʃ	k	2.208
ə	p_ə	2.167
ˈoː	ˈoː_d	2.106
ʃ_#>	k	2.102
ɐ	ˈiː_r	2.078
ˈoː	ˈɛɪ̯	2.065
ʃ_d̥	x_t	2.061
j	ɣ	2.043
l	l_d	2.04
ɡ̊	x	1.979
d̥	s_t	1.962
d̥	t_r	1.939
ˈɪ	ˈʊ	1.909
ˈaɪ̯	ˈiː_d	1.906
r	d_r	1.865
ˈaɪ̯	ˈiː	1.858
f	p_ə	1.81
#>	ˈɛɪ̯_#>	1.799
ˈɑ	ˈoːu̯	1.797
n	<#_n	1.758
r_ə	d_ə	1.743
ʃ	k_#>	1.667
n	n_ˈoː	1.65
<#_n	n	1.612
ˈɛ	ˈiː_r	1.587
ˈɑ_l	ˈoː	1.575
#>	l_#>	1.51
ˈɑ	ˈa	1.488
s	t_ə	1.485
ˈɛː_s	ˈeː	1.456
#>	ˈeː_#>	1.418
ˈɑ	ˈɔ	1.402
l	s_l	1.395
ʃ	t	1.382
n	n_d	1.356
l_#>	l_ə_#>	1.332
d̥	l_d	1.323
ə	t_ə	1.293
ˈɛ_ɐ	ˈiː	1.291
l	l_ˈoː	1.284
ʃ	s_l	1.279
b̥	p	1.252
ˈɪ	j_ˈʊ	1.194
