Pennsylvania German	Pennsylvania German	probability
ˈɛː_ɑ	ɾ	1.0
ˈɛ_d	ˈeː	1.0
ˈɔː_d̥	ˈɑ_d̥	1.0
ˈuː	ˈu	1.0
ˈa_x	ˈɑ_χ	1.0
ˈa_s	ˈaː_t	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ɾ_ɪ	ɾ	1.0
ɣ	χ_ə	1.0
ɡ̊_#>	χ_#>	1.0
ɡ	χ	1.0
ɑ_#>	#>	1.0
ŋ	ŋ	1.0
x_#>	k_#>	1.0
x	χ	1.0
t	t	1.0
p	p	1.0
n_ʃ	n_s	1.0
m	m	1.0
l	ɫ	1.0
k_s	s	1.0
h	ɦ	1.0
eː	i	1.0
b̥	v̥	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_ɾ	<#_ɾ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
ɾ	ɾ	0.92
d	d	0.902
d̥	d̥	0.875
ʋ	ʋ	0.848
n	n	0.821
k	k	0.792
ˈaʊ̯	ˈœy̯	0.75
f	v	0.686
ˈa	ˈɑ	0.68
ˈɔ	ˈɔ	0.667
ə	ə_n	0.667
ˈʊ	ˈɔ	0.65
ˈiː	ˈi	0.647
ˈɪ	ˈɪ	0.613
j	χ_ə	0.6
ʃ	s	0.594
ˈoː	ˈoː	0.533
ç	k	0.533
ɑ	ɾ	0.529
ˈɛː	ˈɛ	0.5
ˈɛː	ˈaː	0.5
ˈaɪ̯	ˈɛi̯	0.5
ˈeː	ˈeː	0.481
ɑ	ə_ɾ	0.471
ˈoː	ˈaː	0.467
ɪ	ə	0.429
ˈɛ	ˈɛ	0.421
s	z	0.4
s	t	0.4
j	j	0.4
ˈɔː	ˈoː	0.389
ˈɔː	ˈaː	0.333
ˈaː	ˈɔ	0.333
ˈaː	ˈɑ_ɾ	0.333
ˈaː	ˈoː_ɾ	0.333
ç	χ	0.333
ɪ	ɪ	0.286
ɪ	-	0.286
ˈɛ	ˈeː	0.263
f	p	0.257
ˈʊ	ˈoː	0.25
ˈaʊ̯	-	0.25
ˈiː	ˈu	0.235
ˈɔː	ˈɑ	0.222
ʃ	s_χ	0.219
k	χ	0.208
s	z̥	0.2
ʃ	z	0.188
n	n_d	0.179
ˈɔ	ˈoː	0.167
ˈɔ	-	0.167
ə	n	0.167
ə	-	0.167
ˈɪ	ˈʏ	0.161
ˈa	ˈaː	0.16
ʋ	v_ə	0.152
ˈeː	ˈɛi̯	0.148
ˈeː	ˈoː	0.148
ˈaɪ̯	ˈɪ	0.136
ˈaɪ̯	ˈœy̯	0.136
ˈaɪ̯	ˈi	0.136
ç	ŋ	0.133
ˈiː	-	0.118
ˈeː	ˈi	0.111
ˈeː	ˈeː_n	0.111
ˈɛ	ˈʏ	0.105
ˈɛ	ˈɑ	0.105
ˈɛ	ˈaː	0.105
ˈʊ	ˈu	0.1
d	t	0.098
ˈɪ	ˈɛ	0.097
ˈaɪ̯	ˈyː	0.091
ˈa	ˈɪ	0.08
ˈa	ˈoː_ɾ	0.08
ɾ	-	0.08
ˈɪ	ˈeː	0.065
ˈɪ	-	0.065
d̥	d_ə	0.062
d̥	-	0.062
f	ə_v̥	0.057
ˈɔː	ˈøː	0.056
